book,kind,mode,cut,kappa,def_code,path_fx,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,mean_e45_exposure,exact_t1_ok
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,2,full,0.10017864000158871,-0.19753363131816848,0.0014118243425044752,0.11219177900932328,3351,13046.0,1298367.211544486,5.076650590536082,1.0,True
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,1,heldout_2019_plus,0.1438263911957809,-0.19064713837248692,0.04850282200953743,0.12294358815148317,1856,13456.0,749216.7008103153,5.460278646366922,1.0,True
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,1,sealed_2023_plus,0.19609359338419097,-0.11018173408177268,0.14100272634330463,0.1345938218024949,879,13456.0,749216.7008103153,5.460278646366922,1.0,True
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,1,full,0.11044140579563178,-0.19064713837248692,0.015117836609388313,0.10973695478140358,3351,13456.0,749216.7008103153,5.460278646366922,1.0,True
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,2,heldout_2019_plus,0.12959042007033328,-0.19227890344682874,0.03345096834691891,0.12306123741357727,1856,13447.0,1352173.7625695153,5.420584187748377,1.0,True
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,2,sealed_2023_plus,0.17788225979503625,-0.11489951734013226,0.12043250112497011,0.13474956680167638,879,13447.0,1352173.7625695153,5.420584187748377,1.0,True
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,2,full,0.09643481437278911,-0.19227890344682874,0.0002953626493747419,0.10980504624298346,3351,13447.0,1352173.7625695153,5.420584187748377,1.0,True
M2_RELOC_BIL_FX_C60,cut_grid,RELOC_BIL_FX,0.6,1.0,BIL_FX,None,1,heldout_2019_plus,0.13930960703944772,-0.18599048150021003,0.04631436628934271,0.12000456102790517,1856,14032.0,784858.3708600611,5.85027665202718,1.0,True
M2_RELOC_BIL_FX_C60,cut_grid,RELOC_BIL_FX,0.6,1.0,BIL_FX,None,1,sealed_2023_plus,0.19040565947344978,-0.10619359920332938,0.1373088598717851,0.1311776807585501,879,14032.0,784858.3708600611,5.85027665202718,1.0,True
M2_RELOC_BIL_FX_C60,cut_grid,RELOC_BIL_FX,0.6,1.0,BIL_FX,None,1,full,0.1070617005861767,-0.18599048150021003,0.014066459836071687,0.10734894583957777,3351,14032.0,784858.3708600611,5.85027665202718,1.0,True
M2_RELOC_BIL_FX_C60,cut_grid,RELOC_BIL_FX,0.6,1.0,BIL_FX,None,2,heldout_2019_plus,0.12422193129020709,-0.18770698123678653,0.030368440671813823,0.12009674660694594,1856,13999.0,1405877.029679669,5.7937382193010905,1.0,True
M2_RELOC_BIL_FX_C60,cut_grid,RELOC_BIL_FX,0.6,1.0,BIL_FX,None,2,sealed_2023_plus,0.17091380734893424,-0.11129216990992119,0.11526772239397365,0.13133530389763012,879,13999.0,1405877.029679669,5.7937382193010905,1.0,True
M2_RELOC_BIL_FX_C60,cut_grid,RELOC_BIL_FX,0.6,1.0,BIL_FX,None,2,full,0.09222454490995657,-0.18770698123678653,-0.001628945708436691,0.10740408938687082,3351,13999.0,1405877.029679669,5.7937382193010905,1.0,True
M2_RELOC_BIL_FX_C50_K60,kappa_grid,RELOC_BIL_FX,0.5,0.6,BIL_FX,None,1,heldout_2019_plus,0.1484771462845731,-0.19733028988976375,0.049812001339691214,0.12696208524338737,1856,12837.0,704330.0888212128,4.998793367561157,1.0,True
M2_RELOC_BIL_FX_C50_K60,kappa_grid,RELOC_BIL_FX,0.5,0.6,BIL_FX,None,1,sealed_2023_plus,0.20156000667279916,-0.11797066605897488,0.14257467364331172,0.13893034341858276,879,12837.0,704330.0888212128,4.998793367561157,1.0,True
M2_RELOC_BIL_FX_C50_K60,kappa_grid,RELOC_BIL_FX,0.5,0.6,BIL_FX,None,1,full,0.11411197844922749,-0.19733028988976387,0.015446833504345558,0.11289374836389646,3351,12837.0,704330.0888212128,4.998793367561157,1.0,True
M2_RELOC_BIL_FX_C50_K60,kappa_grid,RELOC_BIL_FX,0.5,0.6,BIL_FX,None,2,heldout_2019_plus,0.13551417481885664,-0.19884308367472336,0.036092632981494954,0.12708365255422707,1856,12795.0,1279337.3904226925,4.95795123986993,1.0,True
M2_RELOC_BIL_FX_C50_K60,kappa_grid,RELOC_BIL_FX,0.5,0.6,BIL_FX,None,2,sealed_2023_plus,0.18482700012201625,-0.1223039368812795,0.1236750316813765,0.1390641564940882,879,12795.0,1279337.3904226925,4.95795123986993,1.0,True
M2_RELOC_BIL_FX_C50_K60,kappa_grid,RELOC_BIL_FX,0.5,0.6,BIL_FX,None,2,full,0.10130293309950855,-0.19884308367472348,0.0018813912621468143,0.11296911811261467,3351,12795.0,1279337.3904226925,4.95795123986993,1.0,True
M2_RELOC_BIL_FX_C50_K80,kappa_grid,RELOC_BIL_FX,0.5,0.8,BIL_FX,None,1,heldout_2019_plus,0.14772105931087443,-0.19584814498939884,0.049796986816175004,0.1258664276029641,1856,13045.0,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50_K80,kappa_grid,RELOC_BIL_FX,0.5,0.8,BIL_FX,None,1,sealed_2023_plus,0.20133832515644912,-0.11434184979423956,0.14416740025932934,0.13791125710614938,879,13045.0,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50_K80,kappa_grid,RELOC_BIL_FX,0.5,0.8,BIL_FX,None,1,full,0.11329330137406912,-0.19584814498939884,0.0153692288793697,0.11209750169531757,3351,13045.0,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50_K80,kappa_grid,RELOC_BIL_FX,0.5,0.8,BIL_FX,None,2,heldout_2019_plus,0.13438295228059993,-0.19753363131816848,0.03561613662151569,0.12601563280249786,1856,13046.0,1298367.211544486,5.076650590536082,1.0,True
M2_RELOC_BIL_FX_C50_K80,kappa_grid,RELOC_BIL_FX,0.5,0.8,BIL_FX,None,2,sealed_2023_plus,0.18454506934629467,-0.11899981432080475,0.1250451621858923,0.13809792592781084,879,13046.0,1298367.211544486,5.076650590536082,1.0,True
M2_RELOC_BIL_FX_C50_K80,kappa_grid,RELOC_BIL_FX,0.5,0.8,BIL_FX,None,2,full,0.10017864000158871,-0.19753363131816848,0.0014118243425044752,0.11219177900932328,3351,13046.0,1298367.211544486,5.076650590536082,1.0,True
M2_RELOC_TWD_CASH_CBC_C50,twd_cbc,RELOC_TWD_720B,0.5,1.0,TWD_CASH_CBC,None,1,heldout_2019_plus,0.14653977228600312,-0.19814725581340353,0.047466144379301356,0.12728803331886912,1856,13073.0,715362.1596486438,5.113036057289026,1.0,True
M2_RELOC_TWD_CASH_CBC_C50,twd_cbc,RELOC_TWD_720B,0.5,1.0,TWD_CASH_CBC,None,1,sealed_2023_plus,0.196100271443578,-0.11709649726479887,0.13755202281117856,0.1390247171709919,879,13073.0,715362.1596486438,5.113036057289026,1.0,True
M2_RELOC_TWD_CASH_CBC_C50,twd_cbc,RELOC_TWD_720B,0.5,1.0,TWD_CASH_CBC,None,1,full,0.11238675457765668,-0.19814725581340353,0.013313126670954911,0.11352252723771936,3351,13073.0,715362.1596486438,5.113036057289026,1.0,True
M2_RELOC_TWD_CASH_CBC_C50,twd_cbc,RELOC_TWD_720B,0.5,1.0,TWD_CASH_CBC,None,2,heldout_2019_plus,0.13314772510513295,-0.19976892337934193,0.033263263415461986,0.12740444485550204,1856,13018.0,1295144.373176951,5.064325939890542,1.0,True
M2_RELOC_TWD_CASH_CBC_C50,twd_cbc,RELOC_TWD_720B,0.5,1.0,TWD_CASH_CBC,None,2,sealed_2023_plus,0.17915664319074698,-0.12167433323783128,0.11831947657183134,0.13916627274310128,879,13018.0,1295144.373176951,5.064325939890542,1.0,True
M2_RELOC_TWD_CASH_CBC_C50,twd_cbc,RELOC_TWD_720B,0.5,1.0,TWD_CASH_CBC,None,2,full,0.09923294627962642,-0.19976892337934182,-0.0006515154100444898,0.11359021734435366,3351,13018.0,1295144.373176951,5.064325939890542,1.0,True
M2_RELOC_TWD_CASH_CBC_C75,twd_cbc,RELOC_TWD_720B,0.75,1.0,TWD_CASH_CBC,None,1,heldout_2019_plus,0.1261704162202315,-0.17451200648849086,0.03891441297598608,0.11350478580650805,1856,14976.0,871000.8256905596,6.86325058944773,1.0,True
M2_RELOC_TWD_CASH_CBC_C75,twd_cbc,RELOC_TWD_720B,0.75,1.0,TWD_CASH_CBC,None,1,sealed_2023_plus,0.1675486838525051,-0.09907522960459947,0.11801106905020536,0.12339180260467472,879,14976.0,871000.8256905596,6.86325058944773,1.0,True
M2_RELOC_TWD_CASH_CBC_C75,twd_cbc,RELOC_TWD_720B,0.75,1.0,TWD_CASH_CBC,None,1,full,0.09712484403740484,-0.17451200648849075,0.009868840793159472,0.10246945737984257,3351,14976.0,871000.8256905596,6.86325058944773,1.0,True
M2_RELOC_TWD_CASH_CBC_C75,twd_cbc,RELOC_TWD_720B,0.75,1.0,TWD_CASH_CBC,None,2,heldout_2019_plus,0.10854566382706388,-0.1768668678312576,0.020112229911435076,0.11369513487715166,1856,14972.0,1535446.9899003822,6.798635047752594,1.0,True
M2_RELOC_TWD_CASH_CBC_C75,twd_cbc,RELOC_TWD_720B,0.75,1.0,TWD_CASH_CBC,None,2,sealed_2023_plus,0.1453600990352759,-0.10475057316926706,0.09298481245064238,0.1235775170200228,879,14972.0,1535446.9899003822,6.798635047752594,1.0,True
M2_RELOC_TWD_CASH_CBC_C75,twd_cbc,RELOC_TWD_720B,0.75,1.0,TWD_CASH_CBC,None,2,full,0.07992700734630986,-0.1768668678312577,-0.008506426569318992,0.10260100925530644,3351,14972.0,1535446.9899003822,6.798635047752594,1.0,True
M2_RELOC_TWD_CASH0_C50,twd_cash0,RELOC_TWD_720B,0.5,1.0,TWD_CASH0,None,1,heldout_2019_plus,0.1440559012333238,-0.19846326315433982,0.04482426965615388,0.12731756768226465,1856,13039.0,702829.2389214844,5.104091235848443,1.0,True
M2_RELOC_TWD_CASH0_C50,twd_cash0,RELOC_TWD_720B,0.5,1.0,TWD_CASH0,None,1,sealed_2023_plus,0.19282567733574218,-0.11792178898494843,0.13386478284326797,0.13905899821665985,879,13039.0,702829.2389214844,5.104091235848443,1.0,True
M2_RELOC_TWD_CASH0_C50,twd_cash0,RELOC_TWD_720B,0.5,1.0,TWD_CASH0,None,1,full,0.11005082161574253,-0.19846326315433982,0.010819190038572624,0.11354053894275393,3351,13039.0,702829.2389214844,5.104091235848443,1.0,True
M2_RELOC_TWD_CASH0_C50,twd_cash0,RELOC_TWD_720B,0.5,1.0,TWD_CASH0,None,2,heldout_2019_plus,0.1306674234619314,-0.2000872635076546,0.030623791708104087,0.12744209728557437,1856,13015.0,1273273.863762409,5.057582597025298,1.0,True
M2_RELOC_TWD_CASH0_C50,twd_cash0,RELOC_TWD_720B,0.5,1.0,TWD_CASH0,None,2,sealed_2023_plus,0.1759376422487242,-0.12252708667921663,0.1146740989091159,0.1392150448505273,879,13015.0,1273273.863762409,5.057582597025298,1.0,True
M2_RELOC_TWD_CASH0_C50,twd_cash0,RELOC_TWD_720B,0.5,1.0,TWD_CASH0,None,2,full,0.09690204931363544,-0.2000872635076545,-0.0031415824401918035,0.11361274750647608,3351,13015.0,1273273.863762409,5.057582597025298,1.0,True
M2_RELOC_TWD_720B_C50,twd_720b,RELOC_TWD_720B,0.5,1.0,TWD_720B,None,1,heldout_2019_plus,0.13889714925068453,-0.24009966103171299,0.018847318734828034,0.1329667637614346,1856,13088.0,692022.1266466507,5.092200835091992,1.0,True
M2_RELOC_TWD_720B_C50,twd_720b,RELOC_TWD_720B,0.5,1.0,TWD_720B,None,1,sealed_2023_plus,0.18482091902575437,-0.12353442200768594,0.1230537080219114,0.142752297855222,879,13088.0,692022.1266466507,5.092200835091992,1.0,True
M2_RELOC_TWD_720B_C50,twd_720b,RELOC_TWD_720B,0.5,1.0,TWD_720B,None,1,full,0.10651759748070777,-0.24009966103171287,-0.013532233035148666,0.11705340166841224,3351,13088.0,692022.1266466507,5.092200835091992,1.0,True
M2_RELOC_TWD_720B_C50,twd_720b,RELOC_TWD_720B,0.5,1.0,TWD_720B,None,2,heldout_2019_plus,0.12543505577930736,-0.24200520380747037,0.004432453875572173,0.13309116782255004,1856,13063.0,1256114.5332344081,5.054597721821692,1.0,True
M2_RELOC_TWD_720B_C50,twd_720b,RELOC_TWD_720B,0.5,1.0,TWD_720B,None,2,sealed_2023_plus,0.16783539939906778,-0.12792811029634132,0.10387134425089711,0.142806845280238,879,13063.0,1256114.5332344081,5.054597721821692,1.0,True
M2_RELOC_TWD_720B_C50,twd_720b,RELOC_TWD_720B,0.5,1.0,TWD_720B,None,2,full,0.09332065084540164,-0.24200520380747048,-0.027681951058333598,0.11712399699522076,3351,13063.0,1256114.5332344081,5.054597721821692,1.0,True
M2_RELOC_BIL_FX_C50_FXPATH,path_fx,RELOC_BIL_FX,0.5,1.0,BIL_FX,path,1,heldout_2019_plus,0.14155143171530193,-0.19643094769742964,0.043335957866587116,0.12586821116778174,1856,,,,,True
M2_RELOC_BIL_FX_C50_FXPATH,path_fx,RELOC_BIL_FX,0.5,1.0,BIL_FX,path,1,sealed_2023_plus,0.19356443485225272,-0.1158277692423485,0.13565055023107847,0.1379077289997032,879,,,,,True
M2_RELOC_BIL_FX_C50_FXPATH,path_fx,RELOC_BIL_FX,0.5,1.0,BIL_FX,path,1,full,0.10753234542723233,-0.19643094769742964,0.009316871578517516,0.11209430893301314,3351,,,,,True
M2_RELOC_BIL_FX_C50_FXPATH,path_fx,RELOC_BIL_FX,0.5,1.0,BIL_FX,path,2,heldout_2019_plus,0.1282850242957807,-0.19811521248329067,0.029227418054135368,0.1260181253155536,1856,,,,,True
M2_RELOC_BIL_FX_C50_FXPATH,path_fx,RELOC_BIL_FX,0.5,1.0,BIL_FX,path,2,sealed_2023_plus,0.1768798486198373,-0.12047791883481496,0.11664088920242982,0.13809517860361867,879,,,,,True
M2_RELOC_BIL_FX_C50_FXPATH,path_fx,RELOC_BIL_FX,0.5,1.0,BIL_FX,path,2,full,0.09448554845879631,-0.19811521248329067,-0.004572057782849026,0.11218919320992209,3351,,,,,True
M2_RELOC_BIL_FX_C50_FXH10,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.001,1,heldout_2019_plus,0.14392463672814793,-0.19619948117408026,0.045824896141107796,0.12586705681424798,1856,,,,,True
M2_RELOC_BIL_FX_C50_FXH10,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.001,1,sealed_2023_plus,0.19640244082928215,-0.11528600112769283,0.13875944026543574,0.13790868753750168,879,,,,,True
M2_RELOC_BIL_FX_C50_FXH10,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.001,1,full,0.10975496124464779,-0.19619948117408026,0.011655220657607657,0.11209520028248139,3351,,,,,True
M2_RELOC_BIL_FX_C50_FXH10,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.001,2,heldout_2019_plus,0.13063064938212032,-0.19788423110917963,0.03168853382753051,0.12601671122353691,1856,,,,,True
M2_RELOC_BIL_FX_C50_FXH10,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.001,2,sealed_2023_plus,0.17967818270813618,-0.11993900005503977,0.1197086826806163,0.13809586499870108,879,,,,,True
M2_RELOC_BIL_FX_C50_FXH10,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.001,2,full,0.09668198172955456,-0.19788423110917974,-0.0022601338250353153,0.1121898564575731,3351,,,,,True
M2_RELOC_BIL_FX_C50_FXH25,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.0025,1,heldout_2019_plus,0.1382532664617251,-0.19672622712637766,0.03989015289853626,0.12586923215864784,1856,,,,,True
M2_RELOC_BIL_FX_C50_FXH25,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.0025,1,sealed_2023_plus,0.18903619175527098,-0.11670043507288819,0.13068597421882688,0.13790649218478726,879,,,,,True
M2_RELOC_BIL_FX_C50_FXH25,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.0025,1,full,0.10446830412865626,-0.19672622712637777,0.006105190565467378,0.11209286680972225,3351,,,,,True
M2_RELOC_BIL_FX_C50_FXH25,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.0025,2,heldout_2019_plus,0.1250251882867528,-0.1986757210280915,0.025687327772707047,0.1260195586501871,1856,,,,,True
M2_RELOC_BIL_FX_C50_FXH25,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.0025,2,sealed_2023_plus,0.17241490488083433,-0.12134599503166543,0.11174190736500161,0.13809443003547522,879,,,,,True
M2_RELOC_BIL_FX_C50_FXH25,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.0025,2,full,0.09145760174914175,-0.1986757210280915,-0.007880258764904002,0.11218809014629846,3351,,,,,True
M2_RELOC_BIL_FX_C50_FXH50,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.005,1,heldout_2019_plus,0.12886268521114475,-0.19814378063264515,0.02979079489482217,0.12587614158460106,1856,,,,,True
M2_RELOC_BIL_FX_C50_FXH50,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.005,1,sealed_2023_plus,0.17685864655711714,-0.11905305116613663,0.11733212097404883,0.13790725744581464,879,,,,,True
M2_RELOC_BIL_FX_C50_FXH50,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.005,1,full,0.09571252913003936,-0.19814378063264526,-0.0033593611862832717,0.11209196092300616,3351,,,,,True
M2_RELOC_BIL_FX_C50_FXH50,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.005,2,heldout_2019_plus,0.11574373858584641,-0.20116001348641865,0.015163731842637085,0.12602758353586316,1856,,,,,True
M2_RELOC_BIL_FX_C50_FXH50,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.005,2,sealed_2023_plus,0.16040758702611035,-0.12368623795101663,0.09856446805060204,0.13809645567794782,879,,,,,True
M2_RELOC_BIL_FX_C50_FXH50,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.005,2,full,0.08280497030130207,-0.20116001348641865,-0.017775036441907255,0.11218812646448571,3351,,,,,True
