date,nav_base_e16_e18_e22_v2s,nav_const_a05,nav_const_a25,nav_const_a100_full,nav_gate_09_a25,nav_gate_09_a50,nav_gate_09_a100,nav_gate_085_a25,nav_gate_085_a50,nav_gate_085_a100,nav_gate_08_a25,nav_gate_08_a50,nav_gate_08_a100,nav_e1bin_a25,nav_e1bin_a50,nav_e1bin_a100
2023-11-22,8161645.588207211,8339065.730324653,8348762.75810093,7907530.645679697,8185842.991213899,8074659.980312206,7801163.515720334,8146084.581488856,8004219.216298069,7729476.88342512,8099650.97071002,7972943.093136769,7737305.572381216,8133911.088973042,8099880.563326366,8068118.297764485
2023-11-23,8158264.147006717,8331653.639475005,8337165.575796891,7893958.558534469,8180213.263798248,8068932.48673617,7795852.680873481,8140872.672403557,7999135.11134533,7724464.725440187,8094892.17026617,7968162.014299919,7732520.54748408,8130361.026085872,8096043.012882518,8063421.061150247
2023-11-24,8176168.8194381315,8340466.431810703,8339083.575796891,7900311.058534469,8192599.674472983,8080903.932190422,7808146.627899533,8154166.642231041,8012354.005024244,7737131.258560184,8109187.857214804,7982010.372644661,7745768.220678352,8147779.295394815,8112654.90948386,8077782.629731495
2023-11-27,8164514.969438132,8330360.981810705,8320862.025796891,7884870.808534469,8181899.024472983,8069898.482190424,7795545.877899533,8143364.892231042,8001568.355024245,7725035.908560185,8098192.007214805,7971177.822644663,7733819.420678352,8136189.945394815,8101190.909483862,8066770.779731496
2023-11-28,8231787.269438132,8391960.431810705,8374613.625796892,7935269.20853447,8245251.274472983,8132690.782190423,7856313.077899533,8207085.142231042,8064443.305024245,7785603.408560185,8162410.307214805,8034291.122644663,7794935.270678352,8202964.345394815,8167187.959483862,8130894.029731496
2023-11-29,8203181.269438132,8353029.881810703,8335521.72579689,7907994.95853447,8210901.674472983,8098973.432190423,7825588.627899533,8173871.042231042,8032078.855024245,7755363.458560185,8130535.007214805,8002725.772644662,7765082.270678352,8174065.095394815,8137711.459483862,8099295.329731496
2023-11-30,8262555.719438132,8413357.831810705,8395957.87579689,7965250.00853447,8270201.874472983,8157417.182190423,7881627.077899533,8232923.592231041,8090107.055024245,7810987.908560185,8189294.307214805,8060556.022644662,7820859.020678352,8233215.195394815,8196573.509483862,8157835.2297314955
2023-12-01,8163811.169438131,8305340.631810704,8289785.475796891,7872249.65853447,8167130.624472983,8056084.732190422,7785676.027899533,8131034.94223104,7990240.255024244,7715927.708560185,8088834.757214804,7961555.272644662,7725903.770678352,8134548.495394815,8097847.959483861,8057891.529731495
2023-12-04,8168163.619438131,8320570.631810703,8307685.325796891,7893711.75853447,8177538.524472984,8066075.832190421,7793577.127899533,8140379.092231041,7999097.605024245,7723474.508560184,8096884.157214804,7969655.872644662,7732986.420678352,8139296.845394815,8103317.40948386,8065719.829731495
2023-12-05,8187216.59456574,8334170.513860145,8315110.688742336,7893638.393653577,8193554.526308482,8082130.978432283,7809085.531371429,8156816.064699689,8015446.305540571,7739184.092953455,8113879.379126011,7986317.373848479,7749075.743672804,8158081.117926173,8121653.18270271,8082772.171141688
2023-12-06,8247470.764561559,8400928.868977236,8381083.877081215,7946006.087671122,8257419.711463401,8144427.159897651,7868013.734436878,8219799.548961758,8076985.284679544,7797714.090713006,8175729.995289327,8047261.43404677,7807401.423309251,8218302.277000258,8181979.880295725,8144242.088085977
2023-12-07,8182757.642803824,8329810.13588173,8313690.30459214,7896306.344835964,8189466.699740571,8077611.908498831,7805152.7525756145,8152699.656857901,8011238.439946605,7735345.978674234,8109647.419341429,7982118.520534691,7745102.032141768,8153613.4048055485,8117200.84205697,8078502.176853636
2023-12-08,8216113.232218077,8365931.285881731,8348769.154592141,7920015.394835964,8223922.698895151,8111653.940363662,7837921.1277576145,8186814.040460247,8044732.947993798,7767721.764693647,8143374.681939282,8015359.302125134,7777406.771744461,8186932.097369764,8150514.231477786,8112078.043266594
2023-12-11,8221819.132218077,8359600.63588173,8328180.70459214,7896205.644835964,8222152.89889515,8109926.490363662,7837297.727757614,8186329.390460245,8044559.447993798,7767731.914693646,8144387.981939282,8016100.152125133,7778164.12174446,8192077.147369763,8154687.031477785,8113293.643266593
2023-12-12,8237907.132218077,8385609.23588173,8351194.954592139,7909980.2448359635,8243966.44889515,8131473.840363662,7855525.327757614,8207048.440460245,8064702.847993798,7785702.914693646,8163862.281939282,8035484.902125133,7795841.12174446,8208519.147369763,8171781.0814777855,8132565.943266594
2023-12-13,8219337.632218077,8357352.985881731,8317880.90459214,7878791.7448359635,8219817.19889515,8107840.540363662,7833879.377757614,8183948.290460246,8042284.447993798,7764584.964693646,8142020.181939282,8013813.552125133,7775197.471744461,8189631.697369763,8152288.881477786,8110975.493266594
2023-12-14,8298363.432218076,8444981.885881731,8404389.754592141,7957853.294835964,8303287.598895149,8190434.540363662,7911747.227757613,8266265.3404602455,8123080.647993798,7841614.064693646,8223063.481939282,8093776.202125132,7852079.571744461,8268713.697369762,8231599.8314777855,8191635.143266593
2023-12-15,8250025.834633777,8398341.394716093,8355275.15640232,7916010.204846857,8255986.54401062,8143981.879879676,7865971.688395137,8218975.1878823945,8076628.264734065,7796267.188541605,8175835.040860273,8047355.228759677,7806677.1327873375,8220643.0938857235,8183901.592357474,8144589.001019853
2023-12-18,8263165.0676177945,8399920.94338663,8357439.325769484,7917833.774945459,8262280.100723824,8150113.574136233,7874626.307781669,8226431.156355509,8084202.305328018,7805055.72812589,8184607.277971724,8055729.74988466,7815906.9234502055,8233222.508038278,8195551.842455649,8153481.607604412
2023-12-19,8226751.5177281825,8371097.02470974,8323932.52155327,7890845.43861538,8230538.580670562,8118617.803574455,7841062.633708288,8194062.371407961,8052006.560766125,7771943.45723,8151375.632117669,8023107.7139253775,7782579.760100041,8197270.935029924,8160245.654425133,8120200.422317463
2023-12-20,8144437.247479115,8291096.438591779,8247237.748800727,7817948.9001882505,8150151.606540279,8039242.493191516,7764429.307347202,8113690.83566581,7972970.35241225,7695744.805534248,8071055.046499041,7944135.49677362,7706054.123810333,8115409.503805252,8079027.906940308,8040145.856349751
2023-12-21,8105004.423905608,8241736.5755069535,8196415.435248538,7771622.2856940515,8105457.796507168,7995030.368584487,7723255.725431046,8070106.416709175,7930304.116437143,7655179.841305292,8028728.80356479,7902272.033716764,7665832.749601017,8075735.108745847,8038849.997953599,7998099.636425241
2023-12-22,8118896.407082539,8255273.875506952,8204083.185248537,7780114.135694051,8118958.35087228,8008651.968584487,7735519.975431046,8083591.261772674,7943643.797674279,7667584.741305291,8042250.5890940465,7915600.3775879415,7678445.699601015,8089561.55473279,8052583.448774061,8011617.094373621
2023-12-25,8153019.442685987,8298790.333152536,8247582.735248538,7807645.435694051,8158194.825043998,8047126.025862597,7771059.36660272,8121781.346240391,7980941.455270875,7702661.934453041,8079211.621817629,7952152.595486215,7713220.395999754,8123920.335589276,8087425.803049171,8048299.9633554
2023-12-26,8221572.227667102,8357923.0331525365,8296321.835248537,7855407.0356940515,8220828.025043998,8108945.125862597,7831458.766602719,8185194.246240391,8043526.305270875,7763150.734453041,8143549.271817629,8015273.445486215,7774444.595999754,8191788.805123146,8154208.437754733,8112570.9633554
2023-12-27,8256532.877667102,8396273.583152536,8341468.935248537,7897227.085694051,8257197.975043998,8144927.975862597,7867069.61660272,8221005.076902293,8078799.455270875,7798018.484453041,8178853.200488078,8050200.095486215,7809007.395999754,8226749.955123145,8189232.187754733,8147810.2633553995
2023-12-28,8299927.377667102,8438948.633152537,8388258.685248537,7947423.635694051,8299859.525043999,8186972.075862597,7908646.96660272,8263444.826902293,8120723.355270875,7839143.93445304,8221254.200488078,8092092.345486215,7850189.945999754,8269919.105123145,8232083.037754732,8190265.663355399
2023-12-29,8285516.177667102,8426455.483152537,8375437.085248537,7929565.335694051,8286721.475043999,8173931.175862598,7895636.9166027205,8250094.976902292,8107599.255270876,7826247.3844530415,8207723.400488078,8078874.395486216,7837195.395999755,8255642.355123146,8218019.187754733,8176814.3633554
2024-01-02,8285608.2776671015,8428932.533152537,8371120.935248538,7928242.235694051,8288373.225043998,8175323.225862598,7894962.16660272,8251263.926902292,8108879.755270876,7825870.834453041,8208603.900488078,8080021.195486216,7837000.795999754,8255813.855123146,8218337.387754733,8177905.3633554
2024-01-03,8157909.827667101,8298404.983152537,8250852.2033796925,7819106.050392003,8159887.5620974675,8048697.775862597,7774447.71660272,8123602.676902292,7983725.055270876,7706220.334453041,8081702.500488078,7954939.129152557,7717070.945999755,8128519.905123145,8091526.087754733,8051344.569106396
2024-01-04,8156880.477667102,8299744.733152537,8255213.653379693,7830133.350392003,8160347.912097467,8049214.175862597,7774628.6666027205,8123795.426902292,7983583.738644365,7706139.084453041,8081608.300488078,7954913.179152557,7716832.295999754,8127607.6051231455,8090816.387754733,8051226.369106396
2024-01-05,8173867.7776671015,8319762.533152537,8269115.903379693,7836591.650392003,8178830.962097468,8067510.125862598,7790892.566602721,8141946.426902292,8001310.588644366,7722555.384453041,8099347.400488079,7972410.079152557,7733306.545999754,8144630.055123146,8107936.9377547335,8068848.719106396
2024-01-08,8235422.977667102,8388223.583152537,8337177.103379693,7884751.650392003,8243672.312097467,8131516.425862597,7852012.51660272,8205954.176902292,8064036.638644366,7783001.334453041,8162350.800488078,8034517.079152557,7792889.806192757,8206190.305123146,8169623.187754733,8131508.2691063965
2024-01-09,8178362.577667101,8340925.483152537,8298502.303379692,7851350.150392003,8192867.762097467,8081102.8758625975,7802165.31660272,8154293.276902293,8013018.188644365,7733045.934453041,8109704.900488079,7982925.879152557,7742570.606192756,8149781.455123146,8114262.637754733,8078902.5191063965
2024-01-10,8168109.127667102,8327980.7831525365,8276133.2033796925,7824249.250392003,8181142.812097467,8069603.125862597,7790008.216602719,8142865.476902292,8001825.088644365,7721461.1344530415,8098622.800488078,7971966.429152557,7731157.756192757,8139453.555123146,8103786.737754732,8067906.719106396
2024-01-11,8204770.2776671015,8355162.533152537,8300339.4533796925,7839209.250392003,8211996.112097467,8100111.675862598,7821433.86660272,8174577.526902293,8033255.488644365,7752762.6344530415,8131348.800488078,8003983.629152557,7762967.756192757,8175574.705123146,8139016.637754733,8100668.069106396
2024-01-12,8172246.996739557,8322534.333488746,8267302.2787566725,7810022.707785298,8179827.685067874,8068294.239953125,7790265.751862707,8142456.33272908,8001671.959294814,7721856.636358969,8099323.010965157,7972499.555341863,7732038.427270739,8143185.535861021,8106807.002882073,8068791.455520049
2024-01-15,8138178.7237582,8290596.766519658,8239423.689884443,7792518.151006891,8147262.864232086,8036094.004950245,7758985.819013964,8109822.248402989,7969477.027663354,7690858.030403734,8066532.027358471,7940228.525262105,7700831.099610554,8109346.4260540735,8073310.184141553,8036027.0505422065
2024-01-16,8016606.883628805,8176935.67614107,8135674.953628423,7689981.957475952,8031349.106640542,7921604.615768913,7648205.724823538,7993463.27210889,7854871.5768845985,7580450.283045855,7949626.348750192,7825340.531723432,7589682.524430369,7988616.632752176,7953847.572451643,7919390.320406892
2024-01-17,7868791.434052927,8012273.160695271,7979163.953628423,7564627.957475952,7875093.261866992,7767583.46492271,7503387.055879732,7839353.451620456,7703787.837643462,7437015.346734105,7798006.341602646,7675803.187218176,7446507.784476951,7840743.423871203,7805595.975992169,7768550.596649439
2024-01-18,7903823.384052929,8057994.460695271,8026829.0036284225,7601180.657475952,7915939.611866993,7807768.314922711,7540479.6058797315,7879028.851620456,7742516.787643462,7473520.746734105,7836303.541602646,7713691.787218177,7482622.084476951,7876058.273871205,7841478.075992169,7806540.596649439
2024-01-19,7969849.184052928,8123160.560695271,8097341.2536284225,7665989.257475952,7980930.311866992,7871897.714922709,7603653.155879731,7943918.651620455,7806318.687643462,7535982.446734104,7901063.541602646,7777391.887218177,7545053.93447695,7941771.673871204,7906758.575992168,7871077.4966494385
2024-01-22,7995350.234052928,8151835.060695271,8118950.0036284225,7676947.357475951,8008044.4618669925,7898618.11492271,7628035.055879732,7970629.951620455,7832508.887643462,7560283.746734104,7927317.241602646,7803296.337218177,7569437.68447695,7967294.923871204,7932368.225992169,7897198.4966494385
2024-01-23,8014337.284052929,8160535.460695271,8124696.603628423,7685419.907475952,8020990.011866993,7911506.114922711,7642089.505879732,7984561.701620456,7846446.787643462,7574576.046734105,7942387.891602647,7817914.537218178,7584175.134476951,7985785.123871204,7950012.425992169,7912365.496649439
2024-01-24,8028058.734052927,8172228.160695271,8137943.553628422,7706309.707475952,8033440.261866991,7923814.66492271,7654558.955879731,7997183.601620454,7858889.737643462,7586974.6467341045,7955194.791602646,7830467.337218177,7596614.53447695,7999365.973871203,7963369.325992169,7925147.796649437
2024-01-25,8040102.184052927,8183395.660695271,8153012.003628422,7721583.757475952,8044833.311866991,7935055.964922709,7666257.755879731,8008630.5516204545,7870184.237643462,7598418.746734104,7966720.841602646,7841799.237218176,7608053.334476951,8011321.8738712035,7975190.825992169,7936657.496649438
2024-01-26,8113201.784052928,8260491.76069527,8224598.453628423,7779461.3074759515,8119590.811866992,8008783.41492271,7736336.955879731,8082737.8016204545,7942995.487643462,7667816.846734104,8040136.991602646,7914158.137218176,7677588.98447695,8084276.023871204,8048022.825992169,8009798.896649438
2024-01-29,8145435.4202559935,8288692.143366052,8241893.551036526,7793155.029707401,8149339.9127292475,8038193.411637123,7763943.087659219,8112778.844065715,7972622.172791393,7695665.056663137,8070522.089530627,7943983.977972073,7705873.374006154,8116214.431076158,8079501.544331232,8040140.749040345
