date,nav_base,nav_fincap50,rel_fincap50_vs_base
2020-04-29,28171928.737844456,27216396.68518853,0.966082121620153
2020-04-30,28429052.38086263,27384432.652560957,0.9632552040670594
2020-05-04,27944022.909589507,27036068.475144133,0.9675080986949165
2020-05-05,28049624.498488843,27133633.419573814,0.9673439094001284
2020-05-06,27944254.843508348,27054993.592260737,0.9681773138619156
2020-05-07,27952591.70992851,27076420.299958255,0.9686550921981576
2020-05-08,28145431.454854466,27238155.899228975,0.9677647309446732
2020-05-11,28437615.545454916,27452593.63278101,0.9653620075459759
2020-05-12,28222218.365677107,27320204.358225454,0.968038869384249
2020-05-13,28278715.261563778,27358269.79677813,0.9674509447734102
2020-05-14,28117054.3925754,27271941.2386099,0.9699430408973188
2020-05-15,28099141.229712702,27217494.37019434,0.9686237080232869
2020-05-18,28093141.229712702,27266694.37019434,0.9705818992343842
2020-05-19,28414534.916544273,27506959.624091208,0.968059470439383
2020-05-20,28512810.463609345,27557404.667692646,0.9664920511032725
2020-05-21,28571066.14548813,27627131.375390165,0.9669618639608578
2020-05-22,28183760.884693198,27339634.197507415,0.9700491821996604
2020-05-25,28264341.124770932,27382428.74698585,0.9687977025931034
2020-05-26,28494042.997561406,27566017.5274184,0.9674308952849398
2020-05-27,28514167.345554568,27578006.860608477,0.9671685841777863
2020-05-28,28479990.493481293,27561620.708580237,0.9677538591485394
2020-05-29,28509070.239462104,27666762.913464952,0.9704547598738862
2020-06-01,28658313.50488757,27813501.375373192,0.9705212196324707
2020-06-02,28896618.723524332,28008848.764133327,0.9692777218025068
2020-06-03,29325955.620141063,28296337.882462926,0.9648905648288236
2020-06-04,29333921.70081378,28347781.12475844,0.9663822455751635
2020-06-05,29312173.822083868,28331908.9373009,0.9665577554659411
2020-06-08,29543337.496433254,28515435.449706033,0.9652069761295141
2020-06-09,29533984.682774223,28473447.4017639,0.9640909517492612
2020-06-10,29669268.997421853,28653772.342502516,0.9657727780550448
2020-06-11,29264407.620944798,28250390.716791194,0.9653498229901684
2020-06-12,29001573.58945455,28071893.79462722,0.9679438154636761
2020-06-15,28778848.25259527,27769168.33962737,0.9649159026759576
2020-06-16,29165287.425041284,28173583.272587895,0.9659971068345476
2020-06-17,29300458.87912691,28230514.89216924,0.9634837122731932
2020-06-18,29115896.42123919,28108808.791559953,0.9654110725251586
2020-06-19,28962365.192295335,28035253.8769735,0.9679891020927921
2020-06-22,29045234.847275827,28117043.70428657,0.96804325570546
2020-06-23,29066751.114251856,28204675.13414945,0.9703415088699158
2020-06-24,29133212.68821522,28285789.09048083,0.9709121130304594
2020-06-29,29046556.017470315,28129158.244359788,0.9684162978716392
2020-06-30,29225077.500877406,28319117.139595024,0.9690005831034945
2020-07-01,29365090.346830357,28452156.06348496,0.9689108981936458
2020-07-02,29570865.935729694,28704977.007914636,0.9707181747840253
2020-07-03,29613901.257652998,28792760.522481434,0.9722717811467221
2020-07-06,30028552.42546849,29163845.937096346,0.9712038570451119
2020-07-07,29920491.55648011,29157517.37892811,0.9744999450924209
2020-07-08,29973203.130443472,29246299.30291399,0.975748210013925
2020-07-09,29876192.261455093,29218370.744745754,0.9779817484452987
2020-07-10,29774768.513495147,29079569.154164836,0.9766513933092303
2020-07-13,29751282.381332833,29230819.38839804,0.9825061996903585
2020-07-14,29792522.089891814,29277310.756714642,0.9827066895638226
2020-07-15,29901238.640758973,29373766.022580396,0.9823595060888358
2020-07-16,29726128.760636717,29223714.666232683,0.9830985696640953
2020-07-17,29807352.50859666,29398116.2568136,0.9862706273002598
2020-07-20,29816155.61270999,29398950.81826092,0.9860074249722782
2020-07-21,30030304.907735,29732197.452443276,0.9900731126038304
2020-07-22,30080524.878857583,29835901.186362628,0.9918677053183041
2020-07-23,30008701.130897637,29758699.59578171,0.9916690317909654
2020-07-24,29761955.750224963,29575853.77424667,0.9937469843198431
2020-07-27,29685862.347284526,29968262.35635268,1.0095129461211014
2020-07-28,29795451.463483416,30123272.35745407,1.0110023804932917
2020-07-29,29919084.597468693,30166527.352048356,1.0082703985736448
2020-07-30,30124467.415311884,30450314.04777699,1.0108166769547429
2020-07-31,30096927.400375914,30391931.027333193,1.0098017855122843
2020-08-03,29850812.648613878,30019169.214487955,1.0056399324151029
2020-08-04,29944228.915589906,30223100.644350834,1.0093130375655035
2020-08-05,30083911.7334331,30413487.340079468,1.010955211196159
2020-08-06,30386560.502110243,30713441.559064705,1.010757422082429
