date,nav_base,nav_kd_mix_l75
2016-03-10,609757543.5771459,609852337.0965823
2016-03-11,610741617.6915706,610775068.5628349
2016-03-14,610434517.339165,610522615.0604293
2016-03-15,602354552.4421434,602597388.3134078
2016-03-16,605493831.708482,605722223.4433393
2016-03-17,612242425.5631324,612395754.3789209
2016-03-18,616503933.7631323,616615256.6289209
2016-03-21,612432358.3131324,612590567.9789209
2016-03-22,613908450.6165833,614035285.8041316
2016-03-23,616421811.1165833,616486974.3541316
2016-03-24,614455820.1665833,614544408.5041317
2016-03-25,613291396.4665833,613373679.0541316
2016-03-28,612522092.2139177,612608510.9205786
2016-03-29,610723390.0639178,610760685.6705786
2016-03-30,614228811.4639177,614298528.8205786
2016-03-31,615410589.5139178,615398208.5705786
2016-04-01,607559460.0139178,607719324.4205786
2016-04-06,600773183.4750851,600875501.5817461
2016-04-07,598270425.5077405,598326837.394613
2016-04-08,597709182.0544972,597834821.6413698
2016-04-11,602544547.0044973,602610171.7413697
2016-04-12,604224094.7044972,604289335.4413698
2016-04-13,612519928.4544972,612601237.5913697
2016-04-14,613198837.1044973,613144405.6913698
2016-04-15,614571191.7938554,614575235.7611711
2016-04-18,613673400.5438554,613699865.111171
2016-04-19,612487083.1938554,612397367.461171
2016-04-20,606186040.7938554,606152397.211171
2016-04-21,610502044.773077,610500360.494188
2016-04-22,610157861.0840153,610096195.4882675
2016-04-25,612094056.2307909,612076181.3705319
2016-04-26,611910597.3049628,611915823.1796192
2016-04-27,611376807.7068793,611397712.0541102
2016-04-28,605848764.9068793,605818925.7541101
2016-04-29,606584902.1282943,606635831.1836656
2016-05-03,612375935.3699518,612646929.536755
2016-05-04,609979767.7873492,610298524.6787785
2016-05-05,604175355.1337436,604522451.212734
2016-05-06,602921018.6203592,603193574.8948275
2016-05-09,604654599.4023962,604852251.51965
2016-05-10,607951302.5110264,608128439.9496524
2016-05-11,606304815.6110264,606473069.5996525
2016-05-12,609155832.5610265,609297301.1996524
2016-05-13,614888366.8110265,614888401.6996524
2016-05-16,608677433.0110264,608867399.7496525
2016-05-17,610953875.9610264,611094597.0996525
2016-05-18,616470614.3110265,616631321.8496524
2016-05-19,610176458.4610264,610361038.3996525
2016-05-20,610148532.275765,610306965.5996525
2016-05-23,616451761.725765,616607817.2496525
2016-05-24,616330723.7099005,616505919.9503105
2016-05-25,619680619.1173358,619753471.482775
2016-05-26,619789195.2622038,619831945.2259904
2016-05-27,625717302.4305124,625724172.2198412
2016-05-30,627651788.2675924,627757025.8429599
2016-05-31,626707885.5432767,626862418.3293725
2016-06-01,632331959.4486169,632504558.6791303
2016-06-02,632917471.8328768,633018253.074575
2016-06-03,635236627.4145098,635357897.2603312
2016-06-04,633681448.0027187,633802189.0632493
2016-06-06,635625071.5803638,635710852.116885
2016-06-07,643894614.0803638,644002083.616885
2016-06-08,649529557.1803638,649625874.7168849
2016-06-13,636267265.2303637,636385070.316885
2016-06-14,639464112.6303638,639589529.216885
2016-06-15,640834579.8803638,640940115.616885
2016-06-16,628969098.2803638,629309038.716885
2016-06-17,637937979.8803638,638170215.616885
2016-06-20,641548447.1303638,641668552.0168849
2016-06-21,647545981.1803638,647722208.9668849
2016-06-22,644623269.8541367,644866991.1394573
2016-06-23,643458870.8399428,643720117.8303545
2016-06-24,629909333.2399429,630143413.7303544
2016-06-27,627134520.1399429,627589034.0803545
2016-06-28,632739170.1399429,632955084.0803545
2016-06-29,638758378.1906021,639021422.1563807
2016-06-30,643131943.1406021,643386572.2563807
2016-07-01,646109055.6406021,646345092.3063807
2016-07-04,647153455.6406021,647373892.3063807
2016-07-05,644787768.840602,645102583.2063807
2016-07-06,636673647.7406021,637098244.8563807
2016-07-07,637628267.2906021,637992717.5563806
2016-07-11,648454127.0406021,648882585.4563807
2016-07-12,649895296.2906021,650325903.3563806
2016-07-13,655150448.1406021,655474423.8063807
2016-07-14,657721601.8906021,657969864.5063807
2016-07-15,665104822.9906021,665339502.8563807
2016-07-18,667195509.590602,667540668.4063807
2016-07-19,669190960.305805,669536865.2716364
2016-07-20,667938663.9519252,668296575.4866304
2016-07-21,669977317.9519252,670277631.4866304
2016-07-22,666160029.173466,666490517.3811126
2016-07-25,667513801.6524866,667840887.1199942
2016-07-26,666569204.5882955,666933094.2697905
2016-07-27,668010948.5744761,668356327.5549579
2016-07-28,669290352.7244761,669699984.304958
2016-07-29,665836479.1244761,666353166.1049579
2016-08-01,670036237.3244761,670561718.354958
2016-08-02,669119530.8744761,669648075.304958
2016-08-03,665361000.9744761,665839875.1049579
2016-08-04,665033703.2744762,665462461.404958
2016-08-05,671672966.8744761,672242915.2549579
2016-08-08,677955830.174476,678672989.354958
2016-08-09,680136538.924476,680727668.704958
2016-08-10,684939061.8744761,685570504.154958
2016-08-11,683169313.274476,683686282.3549579
2016-08-12,683002506.2244761,683453882.8549579
2016-08-15,678434687.924476,678881978.354958
2016-08-16,679511711.0609876,680038211.88234
2016-08-17,680962435.3609875,681466597.78234
2016-08-18,684086057.1109874,684451617.8223401
2016-08-19,675095929.9467409,675626500.0765404
2016-08-22,657682241.7967409,658792207.3265402
2016-08-23,662334372.8967409,663498400.5765404
2016-08-24,655408543.1452394,656728143.687497
2016-08-25,663388366.1952393,664732149.787497
2016-08-26,664228578.7952393,665583835.987497
2016-08-29,665312041.3452394,666602675.187497
2016-08-30,663736563.5952393,665110805.337497
2016-08-31,661273007.8952394,662662777.6374971
2016-09-01,650581205.7952393,652150176.8874971
2016-09-02,655286589.8452393,656972898.737497
2016-09-05,665739277.6452394,667098007.3374971
2016-09-06,668675911.3952394,670128292.037497
2016-09-07,671205910.3452393,672755057.3874971
2016-09-08,676757656.6452394,678187631.287497
2016-09-09,670067061.7952393,671585923.1874971
2016-09-10,663240166.5452393,664677633.937497
2016-09-12,657044663.5952393,658688891.687497
2016-09-13,660129534.2452393,661527565.0374969
2016-09-14,652789382.4452393,654358701.437497
2016-09-19,668981965.8452393,670508683.437497
2016-09-20,668152696.1952393,669652147.7374971
2016-09-21,668885431.0452393,670437164.087497
2016-09-22,669325022.8452394,670918135.9374971
2016-09-23,672859920.2952393,674397388.4874971
2016-09-26,667775036.5452393,669321453.787497
2016-09-29,670495478.4452393,672084469.6374971
2016-09-30,660979292.8452393,662575624.3374971
2016-10-03,662002677.6452394,663619193.6874971
2016-10-04,665929600.6452394,667732502.787497
2016-10-05,665531793.5952394,667279903.287497
2016-10-06,664884553.2452394,666689597.237497
2016-10-07,660743079.1452394,662549906.4874971
2016-10-11,660969062.4952394,662735260.037497
2016-10-12,662525048.3952394,664168061.037497
2016-10-13,660907598.3452393,662560514.037497
2016-10-14,657334124.2452394,658945023.287497
2016-10-17,658160464.6452394,659796426.3374971
2016-10-18,662640491.2952393,664196514.537497
2016-10-19,663417548.3452393,664995964.0374969
2016-10-20,663877776.1452394,665459580.8874971
2016-10-21,664242784.2952393,665729312.037497
2016-10-24,662798584.2952393,664377612.037497
2016-10-25,666398812.4452393,668000813.037497
2016-10-26,662386442.4452393,663903293.187497
2016-10-27,659291372.7952393,660845157.487497
2016-10-28,660819069.1452394,662503578.3874971
2016-10-31,658694428.7452394,660386275.337497
2016-11-01,659332042.3952394,660907996.187497
2016-11-02,655412122.7952393,657034507.4874971
2016-11-03,657060218.3452394,658455852.437497
2016-11-04,654809992.0452393,656364848.3874971
2016-11-07,657907104.6452394,659415334.587497
2016-11-08,667140363.5952393,668498491.687497
2016-11-09,652437780.5452393,653889793.837497
2016-11-10,665297601.7860639,666526457.8625898
2016-11-11,656862766.4756318,657989829.8176547
2016-11-14,659455605.610684,660455848.7174642
2016-11-15,658854176.3606842,659812016.0674642
2016-11-16,658758819.7433856,659846516.7067484
2016-11-17,658613568.6933856,659856432.0567484
2016-11-18,656005101.2932242,657281679.756587
2016-11-21,660712070.9121355,661845109.4629028
2016-11-22,663492436.4621354,664713774.2629027
2016-11-23,663766403.5121354,665163665.5129027
2016-11-24,667577945.3621355,668856734.3629028
2016-11-25,668194659.3088222,669507511.331692
2016-11-28,672168147.1588222,673436866.931692
2016-11-29,668039907.8588221,669331995.5316919
2016-11-30,670043416.7588221,671474455.6316919
2016-12-01,670430804.1588221,671805169.4316919
2016-12-02,670963318.2588221,672361818.4316919
2016-12-05,665475558.2588221,667033376.6816919
2016-12-06,672712497.5588222,674139298.081692
2016-12-07,674862181.2588221,676349335.7816919
2016-12-08,683571879.5088221,685112664.2816919
2016-12-09,686906192.1088221,688313350.481692
2016-12-12,686538385.0588222,687897250.981692
2016-12-13,687306948.0588222,688858818.331692
2016-12-14,681448366.9088221,683039028.0816919
2016-12-15,682126987.6088221,683596048.4316919
2016-12-16,682185377.5588222,683470109.681692
2016-12-19,676999050.8588221,678340224.481692
2016-12-20,674909809.0088221,676262705.6316919
2016-12-21,672263689.3588221,673647319.9316919
2016-12-22,666715986.0088222,668069796.5316919
2016-12-23,664444566.3588221,665810160.831692
2016-12-26,667870512.7088221,669306831.731692
2016-12-27,666425234.9088222,667924964.8816919
2016-12-28,672149000.9088222,673737921.481692
2016-12-29,666746026.8088222,668374330.731692
2016-12-30,672417407.9588221,674050420.981692
2017-01-03,673624200.9088222,675174621.481692
2017-01-04,676112980.2088221,677631851.1316919
2017-01-05,682131761.3588221,683668541.3816919
2017-01-06,683389596.1588221,684872610.7316918
2017-01-09,680701923.9088222,682261680.5816919
2017-01-10,683013408.7588221,684514146.9316919
2017-01-11,684905328.4088222,686386282.6316919
2017-01-12,690764217.6588221,692160757.0316919
2017-01-13,688145768.7803646,689578756.0119113
2017-01-16,680484748.0809854,682026460.8303473
2017-01-17,682005486.2712556,683608243.5537635
2017-01-18,677597859.6212556,679272705.3537636
2017-01-19,677091860.7212557,678638037.0037636
2017-01-20,677498723.3212557,679078023.2037636
2017-01-23,682690269.6712557,684268994.1037636
2017-01-24,680886219.6712557,682583794.1037636
2017-02-02,676894409.6712557,678629052.3537636
2017-02-03,679069162.2759829,680849249.265106
2017-02-06,684693486.4759828,686478934.015106
2017-02-07,689166395.4259828,691008541.115106
2017-02-08,687171181.3759829,689026839.115106
2017-02-09,686973473.2259828,688926857.9651059
2017-02-10,693565019.5259829,695456731.865106
2017-02-13,696685511.3759829,698518050.715106
2017-02-14,696470389.1759828,698327367.565106
2017-02-15,703721891.0759828,705471275.1651059
2017-02-16,699501213.3259828,701452755.3151059
2017-02-17,696502428.4759828,698539638.965106
2017-02-18,699095606.5386763,701022752.8862998
2017-02-20,699107200.9386762,701008069.1862999
2017-02-21,699514666.1386762,701363049.8362999
2017-02-22,701552528.7386762,703340186.0363
2017-02-23,699856889.3886762,701535617.6362998
2017-02-24,698243889.7886761,700206798.7862998
2017-03-01,696618470.1886762,698546010.0862999
2017-03-02,697236002.4386762,699273981.9862999
2017-03-03,694444367.6386763,696569062.6363
2017-03-06,697865102.4386762,699859181.9862999
2017-03-07,698587183.1554081,700561023.1963338
2017-03-08,696974192.6380327,699011126.7300653
2017-03-09,693741171.9380326,695982106.3800653
2017-03-10,694902937.0880326,697023790.0300653
2017-03-13,695723348.6380327,698024391.5800654
2017-03-14,696794526.8380326,699269639.5800654
2017-03-15,697057954.6380327,699509606.4300654
2017-03-16,702150747.8840377,704610310.1757367
2017-03-17,705317511.5340378,707524531.0257367
2017-03-20,705397941.8840377,707526095.3257368
2017-03-21,707993395.4858584,710111266.8598812
2017-03-22,703949311.7858584,706044729.1598811
2017-03-23,703148695.3492583,705387697.6232809
2017-03-24,701431586.844626,703611564.9772549
2017-03-27,702284054.2149608,704517816.8814516
2017-03-28,703642201.0099344,705845874.6983256
2017-03-29,706266813.7099345,708380704.8983256
2017-03-30,708618101.7686723,710644965.5251845
2017-03-31,705027104.5895671,707057653.9437689
2017-04-05,707641494.5482522,709862091.0285797
2017-04-06,702795652.7482522,705188619.1785797
2017-04-07,699922545.7482522,702425466.6785797
2017-04-10,704096580.5482522,706424686.0285797
2017-04-11,700952908.3982522,703437499.8785796
2017-04-12,701990187.5982522,704457085.5285797
2017-04-13,700200680.6482522,702753080.0285797
2017-04-14,696122465.3542316,698448611.1742435
2017-04-17,696420951.2542316,698649462.1742435
2017-04-18,697736552.3135544,699926777.4876516
2017-04-19,691724441.31437,693787213.6496273
2017-04-20,691300459.425981,693329798.8170477
2017-04-21,694540926.8464682,696637684.4896008
2017-04-24,693797975.7964683,696091099.8396008
2017-04-25,700681036.1964682,702981022.7396009
2017-04-26,702556149.4461843,704868376.8798199
2017-04-27,702761043.3961843,704833965.02982
2017-04-28,700985873.035058,703051072.144151
2017-05-02,710605497.219879,713074444.7183696
2017-05-03,712011875.0198791,714438661.5683696
2017-05-04,715427414.319879,717878832.9683697
2017-05-05,710169718.019879,712640009.0683696
2017-05-08,713120322.469879,715611264.1183697
2017-05-09,712370645.3771538,714833354.6518766
2017-05-10,710954283.8164873,713449017.9246904
2017-05-11,712623569.5821054,715100317.299721
2017-05-12,713548787.9486748,716023417.299721
2017-05-15,715966771.6986748,718537301.9997209
2017-05-16,716213565.7486749,718581084.1497209
2017-05-17,714204607.6486748,716767399.9997209
2017-05-18,711283887.9986749,713889564.299721
2017-05-19,711199822.7986748,713829133.6497209
2017-05-22,712588843.9486748,715328082.1497209
2017-05-23,713811329.8486748,716392983.1497209
2017-05-24,714322986.8486748,716913785.649721
2017-05-25,714473114.6986748,717112149.4997209
2017-05-26,715077455.6068282,717787091.0881432
2017-05-31,712355622.2068281,715187440.5381433
2017-06-01,710960063.1277888,713825412.1758746
2017-06-02,712696413.1277888,715497262.1758745
2017-06-03,713713813.1277888,716467462.1758746
2017-06-05,715610325.7777888,718372695.3758745
2017-06-06,715416418.7777889,718149392.8758746
2017-06-07,714373590.9777888,717150076.0258746
2017-06-08,717939381.7777888,720812310.2258745
2017-06-09,715079212.1277889,717983924.5258746
2017-06-12,713449289.9277889,716372091.3758746
2017-06-13,714948869.1777889,717851224.0258746
2017-06-14,712587327.2777889,715479808.1758746
2017-06-15,714089963.1777889,716821659.1758746
2017-06-16,714102491.3777889,717071657.1758746
2017-06-19,717230748.4277889,720165256.6758746
2017-06-20,718258242.8777889,721210419.9758745
2017-06-21,717959448.4777888,720934103.6758746
2017-06-22,720619261.4277889,723713424.0258745
2017-06-23,719259982.5777888,722569972.5258745
2017-06-26,730500210.0777888,733850633.6758746
