date,nav_base,nav_sleeve_fin_only_a10,rel_sleeve_vs_base
2020-03-04,30708103.074358262,30626379.08865801,0.9973386833598167
2020-03-05,31020090.274358258,30946564.738658007,0.9976297446251784
2020-03-06,30591920.22435826,30517038.438658006,0.9975522365006486
2020-03-09,30021201.92435826,29937966.288658008,0.9972274382647979
2020-03-10,29870838.334165756,29782248.648866635,0.9970342417474841
2020-03-11,29696298.005738884,29616724.970439762,0.9973204392249921
2020-03-12,28786283.342656884,28721455.26133126,0.9977479523648835
2020-03-13,28298989.84223901,28252922.588998258,0.9983721237578597
2020-03-16,27318638.85776901,27295918.90364201,0.9991683350607149
2020-03-17,26470684.204013262,26479267.68975501,1.0003242638412968
2020-03-18,26086469.941585384,26113403.626240134,1.0010324771697765
2020-03-19,24696987.538475383,24765005.578093883,1.0027541026820592
2020-03-20,26163945.603241634,26168727.026633132,1.0001827485603283
2020-03-23,25345989.52258001,25357660.60913151,1.0004604707400002
2020-03-24,25952442.42754576,25939321.04820351,0.9994944067642618
2020-03-25,26587431.577545762,26575147.14820351,0.9995379610359721
2020-03-26,26608734.35713901,26594544.71390226,0.9994667298697376
2020-03-27,26759465.910248388,26759500.61170764,1.0000012967919227
2020-03-30,26585198.110248387,26579881.450885635,0.9998000143034216
2020-03-31,26613963.260248385,26599774.300885636,0.9994668603385373
2020-04-01,26297700.260248385,26285647.350885633,0.9995416743957276
2020-04-06,26636591.510248385,26633379.750885636,0.9998794230349812
2020-04-07,26820124.01024839,26812790.400885638,0.9997265631821856
2020-04-08,27038499.155439634,27016972.819680884,0.9992038635119872
2020-04-09,27036201.633711383,27020835.019680887,0.9994316282206102
2020-04-10,27408835.733711384,27380578.269680884,0.9989690381486819
2020-04-13,26957279.03371138,26956928.102281384,0.9999869819417028
2020-04-14,27389835.333711382,27375763.552281383,0.9994862407437448
2020-04-15,27742435.53371138,27704026.15228138,0.9986155007413344
2020-04-16,27399845.733711384,27374999.652281385,0.9990932036015286
2020-04-17,27603718.883711383,27583018.352281384,0.9992500817908918
2020-04-20,27559797.133711383,27545323.802281383,0.9994748389707014
2020-04-21,27012249.983711384,27021371.852281384,1.000337693771363
2020-04-22,27032400.633711383,27038650.102281384,1.0002311843722163
2020-04-23,27018358.333711382,27019727.702281386,1.000050682893205
2020-04-24,27011513.283711385,27018338.752281383,1.0002526873817956
2020-04-27,27445086.383711386,27445753.552281387,1.0000243092173466
2020-04-28,27891450.53371138,27863965.452281382,0.9990145696654686
2020-04-29,28178431.583711386,28130120.202281386,0.9982855191465686
2020-04-30,28433958.933711383,28375808.202281386,0.9979548844546915
2020-05-04,27947606.083711382,27914073.002281383,0.9988001447662617
2020-05-05,28055962.78371138,28031142.352281384,0.9991153241960954
2020-05-06,27948491.033711385,27915647.802281383,0.9988248656648265
2020-05-07,27957252.133711383,27929403.684413012,0.9990038917571306
2020-05-08,28154259.133711383,28127671.28441301,0.9990556366916955
