book,alpha,window,cagr,max_drawdown,vol,utility,n_days,mean_e45_exposure,exact_t1,live_wire
BLEND_E45_A55,0.55,sealed_2023_plus,0.1758947550942409,-0.09281725071004177,0.12837474771679014,0.12948612973922002,879,0.9487385119152894,True,False
BLEND_E45_A55,0.55,heldout_2019_plus,0.1400983203602051,-0.21604389653451905,0.1249457428271652,0.03207637209294556,1856,0.9487385119152894,True,False
BLEND_E45_A60,0.6,full,0.11569070702096007,-0.21458865014615358,0.11277852076484857,0.00839638194788328,3351,0.9440783766348609,True,False
BLEND_E45_A60,0.6,oof_2011_2018,0.09149030362781185,-0.15938551464129147,0.09700841815359393,0.011797546307166118,1495,0.9440783766348609,True,False
BLEND_E45_A60,0.6,validation_2019_2022,0.10815052957808002,-0.21458865014615358,0.12105646375227291,0.000856204505003233,977,0.9440783766348609,True,False
BLEND_E45_A60,0.6,sealed_2023_plus,0.17191655345872459,-0.09362357192128268,0.12712566300178904,0.12510476749808325,879,0.9440783766348609,True,False
BLEND_E45_A60,0.6,heldout_2019_plus,0.13818140802350087,-0.21458865014615358,0.12391521689859818,0.030887082950424083,1856,0.9440783766348609,True,False
BLEND_E45_A65,0.65,full,0.11473611523784522,-0.2136743285667917,0.11212528605577073,0.007898950954449369,3351,0.9394182413544329,True,False
BLEND_E45_A65,0.65,oof_2011_2018,0.09113101204668106,-0.15954672535412517,0.09667298047820312,0.011357649369618472,1495,0.9394182413544329,True,False
BLEND_E45_A65,0.65,validation_2019_2022,0.10758819338741787,-0.21367432856679158,0.1203350299465884,0.0007510291040220829,977,0.9394182413544329,True,False
BLEND_E45_A65,0.65,sealed_2023_plus,0.1694145217942573,-0.09389359157634813,0.12611816360292896,0.12246772600608324,879,0.9394182413544329,True,False
BLEND_E45_A65,0.65,heldout_2019_plus,0.13671154826171072,-0.21367432856679158,0.12305477868803143,0.029874383978314933,1856,0.9394182413544329,True,False
BLEND_E45_A70,0.7,full,0.11360685838161477,-0.21288735566454375,0.11145106975245796,0.007163180549342896,3351,0.9347581060740047,True,False
BLEND_E45_A70,0.7,oof_2011_2018,0.0907656852724339,-0.15933318709424504,0.09633003251649545,0.011099091725311372,1495,0.9347581060740047,True,False
BLEND_E45_A70,0.7,validation_2019_2022,0.1062258937618068,-0.21288735566454386,0.11950156476903336,-0.00021778407046513237,977,0.9347581060740047,True,False
BLEND_E45_A70,0.7,sealed_2023_plus,0.16715311277711398,-0.09430530419598093,0.12516668414725624,0.12000046067912351,879,0.9347581060740047,True,False
BLEND_E45_A70,0.7,heldout_2019_plus,0.1349238001931765,-0.21288735566454386,0.12216443087661703,0.02848012236090458,1856,0.9347581060740047,True,False
BLEND_E45_A75,0.75,full,0.11284589956224012,-0.2119878343635323,0.1108220866111456,0.006851982380473964,3351,0.9300979707935763,True,False
BLEND_E45_A75,0.75,oof_2011_2018,0.09075116903333691,-0.1588788725528545,0.09602180165494906,0.011311732756909665,1495,0.9300979707935763,True,False
BLEND_E45_A75,0.75,validation_2019_2022,0.10545123207659479,-0.2119878343635323,0.1187594734689372,-0.0005426851051713588,977,0.9300979707935763,True,False
BLEND_E45_A75,0.75,sealed_2023_plus,0.16503452301938237,-0.09460072312780443,0.12422560761529802,0.11773416145548016,879,0.9300979707935763,True,False
BLEND_E45_A75,0.75,heldout_2019_plus,0.1335204734886306,-0.2119878343635323,0.12132600047694263,0.027526556306864458,1856,0.9300979707935763,True,False
BLEND_E45_A80,0.8,full,0.11193726309314078,-0.21109509168240415,0.11019388189878583,0.006389717251938709,3351,0.9254378355131481,True,False
BLEND_E45_A80,0.8,oof_2011_2018,0.09056126568300105,-0.1578015505472835,0.0956664647056067,0.011660490409359292,1495,0.9254378355131481,True,False
BLEND_E45_A80,0.8,validation_2019_2022,0.10462604495358874,-0.21109509168240415,0.11799456920798286,-0.0009215008876133357,977,0.9254378355131481,True,False
BLEND_E45_A80,0.8,sealed_2023_plus,0.16271671408845467,-0.09514064345689743,0.12337115753620441,0.11514639236000596,879,0.9254378355131481,True,False
BLEND_E45_A80,0.8,heldout_2019_plus,0.13199811875313494,-0.21109509168240415,0.12051777558919942,0.026450572911932868,1856,0.9254378355131481,True,False
BLEND_E45_A85,0.85,full,0.1109115396335032,-0.21020413039788655,0.10960871538857209,0.005809474434559925,3351,0.9207777002327198,True,False
BLEND_E45_A85,0.85,oof_2011_2018,0.09011843532551733,-0.15734213947873799,0.09533614632632353,0.01144736558614834,1495,0.9207777002327198,True,False
BLEND_E45_A85,0.85,validation_2019_2022,0.10336560957490026,-0.21020413039788666,0.11719013649773075,-0.001736455624043065,977,0.9207777002327198,True,False
BLEND_E45_A85,0.85,sealed_2023_plus,0.1608887441123188,-0.09528981817007043,0.12267085945431833,0.11324383502728358,879,0.9207777002327198,True,False
BLEND_E45_A85,0.85,heldout_2019_plus,0.1304715064506008,-0.21020413039788666,0.11976428173719895,0.025369441251657465,1856,0.9207777002327198,True,False
BLEND_E45_A90,0.9,full,0.110016122957594,-0.20934929322046392,0.10902955113928268,0.00534147634736204,3351,0.9161175649522917,True,False
BLEND_E45_A90,0.9,oof_2011_2018,0.08980331427996213,-0.15678851384361536,0.09498458423570327,0.01140905735815445,1495,0.9161175649522917,True,False
BLEND_E45_A90,0.9,validation_2019_2022,0.10211862596354204,-0.20934929322046392,0.11647526576122233,-0.002556020646689916,977,0.9161175649522917,True,False
BLEND_E45_A90,0.9,sealed_2023_plus,0.1593411595853229,-0.09507961340868532,0.12192240900524666,0.11180135288098025,879,0.9161175649522917,True,False
BLEND_E45_A90,0.9,heldout_2019_plus,0.12908129739327667,-0.20934929322046392,0.1190336538872538,0.024406650783044714,1856,0.9161175649522917,True,False
BLEND_E45_A95,0.95,full,0.10896200305533732,-0.20846420234584306,0.10843747243601679,0.004729901882415788,3351,0.9114574296718635,True,False
BLEND_E45_A95,0.95,oof_2011_2018,0.08949132163748108,-0.15619752054638847,0.0946260118879968,0.011392561364286846,1495,0.9114574296718635,True,False
BLEND_E45_A95,0.95,validation_2019_2022,0.10084024484386322,-0.20846420234584306,0.11570397984143958,-0.003391856329058307,977,0.9114574296718635,True,False
BLEND_E45_A95,0.95,sealed_2023_plus,0.15718179139517297,-0.09521779945062192,0.12120039051468466,0.109572891669862,879,0.9114574296718635,True,False
BLEND_E45_A95,0.95,heldout_2019_plus,0.12739299441587715,-0.20846420234584306,0.11828661236919463,0.023160893242955616,1856,0.9114574296718635,True,False
CHAL_E45_E3_FULL,1.0,full,0.1079429047523961,-0.2075836624984908,0.10785160901336181,0.004151073503150693,3351,0.9067972943914351,True,False
CHAL_E45_E3_FULL,1.0,oof_2011_2018,0.08906131377792659,-0.15572113682777788,0.0942689821675622,0.011200745364037645,1495,0.9067972943914351,True,False
CHAL_E45_E3_FULL,1.0,validation_2019_2022,0.09971953722588722,-0.2075836624984907,0.11498865798471121,-0.004072294023358125,977,0.9067972943914351,True,False
CHAL_E45_E3_FULL,1.0,sealed_2023_plus,0.15521554345330602,-0.095606636426529,0.1204349273850096,0.10741222524004151,879,0.9067972943914351,True,False
CHAL_E45_E3_FULL,1.0,heldout_2019_plus,0.12587757186262594,-0.2075836624984907,0.11754730382141575,0.02208574061338059,1856,0.9067972943914351,True,False
