date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a05,nav_blend_e45_a10,nav_blend_e45_a15,nav_blend_e45_a20,nav_blend_e45_a25,nav_blend_e45_a30,nav_blend_e45_a35,nav_blend_e45_a40,nav_blend_e45_a45,nav_blend_e45_a50,nav_blend_e45_a55,nav_blend_e45_a60,nav_blend_e45_a65,nav_blend_e45_a70,nav_blend_e45_a75,nav_blend_e45_a80,nav_blend_e45_a85,nav_blend_e45_a90,nav_blend_e45_a95,nav_chal_e45_e3
2023-01-11,7850372.903323982,7775413.838500085,7677322.160037506,7634321.314669939,7599861.624197969,7581763.642887842,7578217.799151764,7599976.9447391555,7612127.180166549,7620008.919829499,7609101.856621984,7592105.228442827,7570571.869788471,7537214.794230721,7494095.278522563,7481300.479605784,7425610.15264542,7380752.255900037,7335628.56599804,7292782.898041427,7245990.537037581
2023-01-12,7770773.5033239825,7705458.2885000855,7612672.210037507,7570786.3646699395,7536533.674197969,7519109.142887842,7515811.999151764,7537311.1947391555,7548998.630166549,7556708.569829498,7545902.356621984,7529174.928442827,7507980.369788471,7475081.244230721,7432505.778522563,7420160.329605783,7364983.50264542,7320772.105900037,7276264.31599804,7234172.498041427,7188167.137037582
2023-01-13,7779267.558862307,7719941.823098447,7631086.860037507,7588256.116662228,7554066.117407838,7536866.779841704,7533589.85482038,7554777.16389333,7565451.500055195,7572602.48206616,7560993.012349007,7543772.352141959,7522370.54081037,7489115.215693155,7446215.2206821395,7435772.929605783,7377944.285547871,7333547.81238995,7288832.034477909,7248888.698041427,7201584.6516698655
2023-01-16,7883467.189421832,7818084.2957516825,7724975.208867434,7679244.420098977,7640915.017415785,7621286.710409545,7616580.5939257955,7639113.0138933305,7650788.550055195,7658167.032066161,7645640.471782136,7628521.891061013,7608130.1408103695,7574476.815693155,7530981.87068214,7519528.329605783,7461519.335547872,7416335.212389951,7370832.484477909,7329358.698041427,7281960.9016698655
2023-01-17,7817554.489421831,7760958.395751682,7674464.258867434,7635203.370098977,7603379.667415786,7587394.9104095455,7584636.443925795,7607300.324029661,7619328.740892861,7627207.437186415,7615827.671782136,7598910.741061012,7578298.09081037,7544906.465693155,7501660.07068214,7490057.320631846,7432320.464461092,7387431.596386697,7342224.911681959,7301115.914168138,7254356.551669866
2023-01-30,7955076.189421831,7899629.445751682,7813227.008867433,7770568.720098977,7731398.967415785,7711569.160409546,7706375.3439257955,7729195.974029661,7742051.740892861,7750009.037186415,7738517.5217821365,7721645.641061013,7698489.1408103695,7664493.065693156,7620334.77068214,7610537.1706318455,7551639.214461092,7505615.946386698,7459260.86168196,7416904.564168138,7367239.351669866
2023-01-31,7765657.639421831,7716357.395751682,7635901.7088674335,7594628.470098977,7555761.567415785,7536598.810409546,7531709.3439257955,7553376.1240296615,7564769.990892861,7572178.487186415,7560761.171782136,7544342.991061013,7521643.990810369,7488811.815693156,7446092.820682139,7437589.270631846,7380271.364461092,7335950.196386698,7291269.961681959,7250857.864168138,7202480.051669866
2023-02-01,7811553.9894218305,7772835.695751682,7693432.915781183,7652085.920098977,7611342.517415785,7591563.910409546,7586186.193925795,7606043.024029662,7614733.190892861,7620614.437186415,7607827.871782136,7590077.291061013,7564886.171057563,7531114.125638398,7487569.581585653,7479390.370631846,7421538.814461092,7376680.796386697,7331435.261681959,7290344.214168138,7240778.783293803
2023-02-02,7799326.019298886,7770235.474080931,7699571.715781184,7659274.791827475,7617937.967415785,7598248.860409547,7592584.443925795,7613248.674029662,7623041.490892861,7629498.187186415,7617315.321782136,7600233.991061013,7576595.171057563,7543104.275638399,7499640.031585652,7490647.620631846,7432723.314461092,7387838.546386697,7342542.511681959,7301441.814168138,7252768.033293803
2023-02-03,7800231.469298885,7762135.47408093,7687517.265781184,7648098.791827475,7609346.967415785,7590813.510409547,7585996.143925795,7608098.824029662,7619736.590892862,7627228.287186415,7615778.671782136,7599299.291061013,7576490.021057564,7543332.025638399,7500137.631585653,7491296.870631846,7433392.064461092,7388562.696386698,7343349.961681959,7302408.064168138,7253831.083293803
2023-02-06,7747468.219298886,7707006.024080931,7632539.865781184,7594110.391827474,7557306.667415786,7539445.360409547,7535088.943925796,7556754.774029662,7567676.890892861,7574935.787186416,7563353.471782137,7546780.141061013,7523459.121057563,7490527.525638399,7447679.881585653,7439634.270631846,7382154.864461092,7337796.546386697,7293065.511681959,7252703.264168139,7203893.433293804
