code,cash_ex_date,cash_payment_date,cash_dividend,stock_ex_date,stock_payment_date,source,source_url
4904,2026-07-08,2026-08-05,3.8093,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2025-07-09,2025-08-06,3.56,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2024-07-10,2024-08-07,3.25,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2023-07-05,2023-08-07,3.25,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2022-07-14,2022-08-17,3.25,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2021-07-23,2021-08-19,3.25,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2020-07-14,2020-08-07,3.25,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2019-07-16,2019-08-07,3.75,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2018-07-11,2018-08-03,3.75,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2017-07-12,2017-08-04,3.75,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2016-07-12,2016-08-05,3.75,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2015-07-15,2015-08-07,3.75,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2014-07-16,2014-08-08,3.75,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2013-07-24,2013-08-15,3.5,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2012-07-24,2012-08-22,3.0,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2011-07-19,2011-08-23,2.5,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2010-08-10,2010-09-10,2.8,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2009-07-23,2009-08-25,2.8,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2008-08-12,2008-09-11,3.1,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2007-07-24,2007-08-17,3.1,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2006-06-13,2006-07-12,3.1,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2005-07-20,2005-08-25,3.0,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2004-08-12,2004-09-17,1.4,2004-08-12,2004-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2003-07-17,2003-08-14,1.3,2003-07-17,2003-08-20,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
