book,kind,mode,cut,def_code,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,exact_t1_ok
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,2,heldout_2019_plus,0.13314772510513295,-0.19976892337934193,0.033263263415461986,0.12740444485550204,1856,13018,1295144.373176951,5.064325939890542,True
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,2,sealed_2023_plus,0.17915664319074698,-0.12167433323783128,0.11831947657183134,0.13916627274310128,879,13018,1295144.373176951,5.064325939890542,True
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,2,full,0.09923294627962642,-0.19976892337934182,-0.0006515154100444898,0.11359021734435366,3351,13018,1295144.373176951,5.064325939890542,True
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,1,heldout_2019_plus,0.1440559012333238,-0.19846326315433982,0.04482426965615388,0.12731756768226465,1856,13039,702829.2389214844,5.104091235848443,True
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,1,sealed_2023_plus,0.19282567733574218,-0.11792178898494843,0.13386478284326797,0.13905899821665985,879,13039,702829.2389214844,5.104091235848443,True
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,1,full,0.11005082161574253,-0.19846326315433982,0.010819190038572624,0.11354053894275393,3351,13039,702829.2389214844,5.104091235848443,True
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,2,heldout_2019_plus,0.1306674234619314,-0.2000872635076546,0.030623791708104087,0.12744209728557437,1856,13015,1273273.863762409,5.057582597025298,True
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,2,sealed_2023_plus,0.1759376422487242,-0.12252708667921663,0.1146740989091159,0.1392150448505273,879,13015,1273273.863762409,5.057582597025298,True
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,2,full,0.09690204931363544,-0.2000872635076545,-0.0031415824401918035,0.11361274750647608,3351,13015,1273273.863762409,5.057582597025298,True
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,1,heldout_2019_plus,0.13889714925068453,-0.24009966103171299,0.018847318734828034,0.1329667637614346,1856,13088,692022.1266466507,5.092200835091992,True
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,1,sealed_2023_plus,0.18482091902575437,-0.12353442200768594,0.1230537080219114,0.142752297855222,879,13088,692022.1266466507,5.092200835091992,True
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,1,full,0.10651759748070777,-0.24009966103171287,-0.013532233035148666,0.11705340166841224,3351,13088,692022.1266466507,5.092200835091992,True
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,2,heldout_2019_plus,0.12543505577930736,-0.24200520380747037,0.004432453875572173,0.13309116782255004,1856,13063,1256114.5332344081,5.054597721821692,True
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,2,sealed_2023_plus,0.16783539939906778,-0.12792811029634132,0.10387134425089711,0.142806845280238,879,13063,1256114.5332344081,5.054597721821692,True
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,2,full,0.09332065084540164,-0.24200520380747048,-0.027681951058333598,0.11712399699522076,3351,13063,1256114.5332344081,5.054597721821692,True
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,1,heldout_2019_plus,0.14052136792238157,-0.23482326662260644,0.023109734611078347,0.13110451253782493,1856,13035,698550.2462619358,5.094733161970828,True
