book,kind,cut,sleeves,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
BLEND_E45_A05,ref_e45,,,3,full,0.7562688169570397,0.45254457992529584,0.5299965269943918,-1.6013424884892546,1.1705746559550478,-2.1866298164667786,-0.07708267807758906,-0.03381420622071696,0.7562688169570397,-1.6013424884892435,2020,1,2.215592797383246,1090070.964962673
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,3,heldout_2019_plus,1.0328273999026583,1.3355416084149585,0.365056595695179,-1.9465878015158977,1.5747602097505586,-2.733967906391177,-0.08984323046195009,0.11468727982887339,1.0328273999026694,-1.9465878015158977,2020,1,2.2557920286839734,1106138.437127895
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,3,sealed_2023_plus,3.5611869258790785,1.8887937221058415,2.6167900648261577,-1.9465878015158977,1.5747602097505586,-2.733967906391177,-0.08984323046195009,0.11468727982887339,1.0328273999026694,-1.9465878015158977,2020,1,2.2557920286839734,1106138.437127895
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,3,full,1.0328273999026694,0.6258234020694031,0.7199156988679678,-1.9465878015158977,1.5747602097505586,-2.733967906391177,-0.08984323046195009,0.11468727982887339,1.0328273999026694,-1.9465878015158977,2020,1,2.2557920286839734,1106138.437127895
M1_EQW_C25,m1,0.25,,3,heldout_2019_plus,2.7736513744734625,4.719260695914884,0.41402102651602046,0.7733488504416908,5.552131495576917,-2.002716897346768,1.0334121913575633,0.7998507988563608,2.7736513744734737,0.7733488504416908,"2015,2018,2020,2022",4,2.685966197335514,1246790.4580456342
M1_EQW_C25,m1,0.25,,3,sealed_2023_plus,5.29550200938117,8.863486902256469,0.8637585582529361,0.7733488504416908,5.552131495576917,-2.002716897346768,1.0334121913575633,0.7998507988563608,2.7736513744734737,0.7733488504416908,"2015,2018,2020,2022",4,2.685966197335514,1246790.4580456342
M1_EQW_C25,m1,0.25,,3,full,2.7736513744734737,2.743431030231891,1.4019358593575282,0.7733488504416908,5.552131495576917,-2.002716897346768,1.0334121913575633,0.7998507988563608,2.7736513744734737,0.7733488504416908,"2015,2018,2020,2022",4,2.685966197335514,1246790.4580456342
M1_EQW_C50,m1,0.5,,3,heldout_2019_plus,5.322090963257886,7.04706209233279,1.7985599170914912,2.1671018877881254,8.277798721592555,-1.9717974730081522,2.0279506768536515,1.1355032776562912,5.322090963257898,2.1671018877881254,"2015,2018,2020,2022",4,3.6249226236814707,1524454.7486329293
M1_EQW_C50,m1,0.5,,3,sealed_2023_plus,5.619796336294347,11.994633527582677,-0.3775204274969912,2.1671018877881254,8.277798721592555,-1.9717974730081522,2.0279506768536515,1.1355032776562912,5.322090963257898,2.1671018877881254,"2015,2018,2020,2022",4,3.6249226236814707,1524454.7486329293
M1_EQW_C50,m1,0.5,,3,full,5.322090963257898,4.689449086379516,2.97736642006814,2.1671018877881254,8.277798721592555,-1.9717974730081522,2.0279506768536515,1.1355032776562912,5.322090963257898,2.1671018877881254,"2015,2018,2020,2022",4,3.6249226236814707,1524454.7486329293
M1_EQW_C75,m1,0.75,,3,heldout_2019_plus,7.927213302111391,9.482515964831029,3.1859553196958768,3.4726663082576104,11.120136665620528,-2.0874020245526537,2.9026207742260057,1.3514275248519336,7.927213302111391,3.4726663082575993,"2015,2018,2020,2022",4,4.699683463628027,1761147.878053807
M1_EQW_C75,m1,0.75,,3,sealed_2023_plus,5.832181845084639,15.148226362001772,-1.741931335916247,3.4726663082576104,11.120136665620528,-2.0874020245526537,2.9026207742260057,1.3514275248519336,7.927213302111391,3.4726663082575993,"2015,2018,2020,2022",4,4.699683463628027,1761147.878053807
M1_EQW_C75,m1,0.75,,3,full,7.927213302111413,6.787206434364834,4.533610084928997,3.4726663082576104,11.120136665620528,-2.0874020245526537,2.9026207742260057,1.3514275248519336,7.927213302111391,3.4726663082575993,"2015,2018,2020,2022",4,4.699683463628027,1761147.878053807
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,3,heldout_2019_plus,4.927738584157703,6.545215786511194,1.6551306909021064,1.4408022408141097,7.690912755697177,-2.4046541370344787,1.6237377590363589,1.0551833121136944,4.927738584157703,1.4408022408141208,"2015,2018,2020,2022",4,3.724633076428586,1606437.074569375
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,3,sealed_2023_plus,5.368663431852639,11.235306736195216,-0.24898993624496946,1.4408022408141097,7.690912755697177,-2.4046541370344787,1.6237377590363589,1.0551833121136944,4.927738584157703,1.4408022408141208,"2015,2018,2020,2022",4,3.724633076428586,1606437.074569375
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,3,full,4.927738584157715,4.292195523490117,2.7816408224126565,1.4408022408141097,7.690912755697177,-2.4046541370344787,1.6237377590363589,1.0551833121136944,4.927738584157703,1.4408022408141208,"2015,2018,2020,2022",4,3.724633076428586,1606437.074569375
