book,kind,mode,cut,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,mean_e45_exposure,exact_t1_ok
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,1,heldout_2019_plus,0.14772105931087443,-0.19584814498939884,0.049796986816175004,0.1258664276029641,1856,13045,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,1,sealed_2023_plus,0.20133832515644912,-0.11434184979423956,0.14416740025932934,0.13791125710614938,879,13045,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,1,full,0.11329330137406912,-0.19584814498939884,0.0153692288793697,0.11209750169531757,3351,13045,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,2,heldout_2019_plus,0.13438295228059993,-0.19753363131816848,0.03561613662151569,0.12601563280249786,1856,13046,1298367.211544486,5.076650590536082,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,2,sealed_2023_plus,0.18454506934629467,-0.11899981432080475,0.1250451621858923,0.13809792592781084,879,13046,1298367.211544486,5.076650590536082,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,2,full,0.10017864000158871,-0.19753363131816848,0.0014118243425044752,0.11219177900932328,3351,13046,1298367.211544486,5.076650590536082,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,3,heldout_2019_plus,0.12126962356474191,-0.19915319704922974,0.021693025040127045,0.1261880310920017,1856,12991,1769974.7656550538,5.0360830510848595,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,3,sealed_2023_plus,0.1678977687519938,-0.12355629895473563,0.10611961927462599,0.13834751031550435,879,12991,1769974.7656550538,5.0360830510848595,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,3,full,0.08727718529433592,-0.19915319704922985,-0.012299413230279,0.11231397731596904,3351,12991,1769974.7656550538,5.0360830510848595,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,0,heldout_2019_plus,0.14540544619848572,-0.1691123788489841,0.060849256773993665,0.1115635742533113,1856,15078,0.0,6.955317662850187,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,0,sealed_2023_plus,0.1982299659799711,-0.09380584525230007,0.15132704335382108,0.12195284841502801,879,15078,0.0,6.955317662850187,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,0,full,0.11575535767591671,-0.1691123788489841,0.031199168251424658,0.1005444414252992,3351,15078,0.0,6.955317662850187,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,1,heldout_2019_plus,0.12747025101360676,-0.17140436579493845,0.041768068116137536,0.11173473122870108,1856,14990,871882.5371221844,6.880762314912125,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,1,sealed_2023_plus,0.17533707368934914,-0.09757190837725105,0.12655111950072362,0.122132294415562,879,14990,871882.5371221844,6.880762314912125,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,1,full,0.09819593617687894,-0.17140436579493845,0.012493753279409714,0.1006588504879368,3351,14990,871882.5371221844,6.880762314912125,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,2,heldout_2019_plus,0.10982048238480346,-0.17462439714912914,0.022508283810238894,0.11191399271514615,1856,14967,1536176.8916815487,6.812609873997671,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,2,sealed_2023_plus,0.1529756449006836,-0.101673803909201,0.1021387429460831,0.12230818329999663,879,14967,1536176.8916815487,6.812609873997671,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,2,full,0.08095002661483952,-0.17462439714912925,-0.006362171959725105,0.10078845955082297,3351,14967,1536176.8916815487,6.812609873997671,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,3,heldout_2019_plus,0.09253945272150288,-0.17916072360567692,0.00295909091866442,0.11210246654338517,1856,14927,2039321.1050756336,6.7509194646192245,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,3,sealed_2023_plus,0.13123533460530035,-0.10725344279790239,0.07760861320634915,0.12249072717366112,879,14927,2039321.1050756336,6.7509194646192245,1.0,True
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,3,full,0.06406593320177856,-0.17916072360567692,-0.025514428601059902,0.1009319628133028,3351,14927,2039321.1050756336,6.7509194646192245,1.0,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,0,heldout_2019_plus,0.12713251707085882,-0.16832983290809134,0.04296760061681315,0.1094135088739828,1856,17421,0.0,4.406512026903357,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,0,sealed_2023_plus,0.16052376338223273,-0.07587168237805253,0.12258792219320647,0.11173435483492994,879,17421,0.0,4.406512026903357,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,0,full,0.10877616450503069,-0.16832983290809123,0.02461124805098508,0.0997459143998419,3351,17421,0.0,4.406512026903357,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,1,heldout_2019_plus,0.11433314611160261,-0.17044319672361607,0.029111547749794575,0.10947035598662923,1856,17329,668914.7956871486,4.383601560905563,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,1,sealed_2023_plus,0.14457323914650555,-0.07981050188503869,0.1046679882039862,0.11180348911584215,879,17329,668914.7956871486,4.383601560905563,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,1,full,0.09625064455551957,-0.17044319672361596,0.011029046193711589,0.09978201366434293,3351,17329,668914.7956871486,4.383601560905563,0.9218041735158574,True
