book,kind,mode,cut,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,1,sealed_2023_plus,6.684612164941206,12.55683703949293,0.4061936451947412,3.7047694169625056,10.30746877221118,-1.4489649691430846,3.8699004599427322,1.7650587260044426,8.156437554435092,3.7047694169624945,"2015,2018,2020,2022",4,5.668946315124705,782846.0705020829
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,1,full,8.156437554435081,5.75250277103776,5.2801861689162015,3.7047694169625056,10.30746877221118,-1.4489649691430846,3.8699004599427322,1.7650587260044426,8.156437554435092,3.7047694169624945,"2015,2018,2020,2022",4,5.668946315124705,782846.0705020829
BASE_E16_E18_E22_v2s,ref,,,2,heldout_2019_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1781887970938945,746243.4866161725
BASE_E16_E18_E22_v2s,ref,,,2,sealed_2023_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1781887970938945,746243.4866161725
BASE_E16_E18_E22_v2s,ref,,,2,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1781887970938945,746243.4866161725
BLEND_E45_A05,ref_e45,,,2,heldout_2019_plus,0.7366110395178094,0.9660298204434037,0.25359612929610753,-1.539721128826732,1.140161902968373,-2.1098020803109185,-0.08542678342109422,-0.006858673375553792,0.7366110395178094,-1.5397211288267099,2020,1,2.225674480040662,763092.3348075293
BLEND_E45_A05,ref_e45,,,2,sealed_2023_plus,2.6803988168110915,1.4227910337783145,1.9690032999219342,-1.539721128826732,1.140161902968373,-2.1098020803109185,-0.08542678342109422,-0.006858673375553792,0.7366110395178094,-1.5397211288267099,2020,1,2.225674480040662,763092.3348075293
BLEND_E45_A05,ref_e45,,,2,full,0.7366110395178094,0.4272517314494628,0.522985173793078,-1.539721128826732,1.140161902968373,-2.1098020803109185,-0.08542678342109422,-0.006858673375553792,0.7366110395178094,-1.5397211288267099,2020,1,2.225674480040662,763092.3348075293
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,2,heldout_2019_plus,0.964108002428965,1.2892893769133718,0.3194633139722791,-1.7282167915167679,1.5213706183712539,-2.488902100702395,-0.07803227604455953,0.15011014872301498,0.9641080024289872,-1.7282167915167457,2020,1,2.2583892035879405,772298.401499703
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,2,sealed_2023_plus,3.3986440938879703,1.8670326458963604,2.46512777093979,-1.7282167915167679,1.5213706183712539,-2.488902100702395,-0.07803227604455953,0.15011014872301498,0.9641080024289872,-1.7282167915167457,2020,1,2.2583892035879405,772298.401499703
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,2,full,0.9641080024289872,0.5875981457069024,0.670308929575536,-1.7282167915167679,1.5213706183712539,-2.488902100702395,-0.07803227604455953,0.15011014872301498,0.9641080024289872,-1.7282167915167457,2020,1,2.2583892035879405,772298.401499703
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,2,heldout_2019_plus,5.322149286567324,6.523636421809065,2.0603310756627917,2.571467094798474,7.671348783663401,-1.2642072970332263,2.1569055369145884,1.2556559965804737,5.322149286567335,2.5714670947984963,"2015,2018,2020,2022",4,3.6355268526817213,1094120.5905126845
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,2,sealed_2023_plus,5.874305656590806,11.347955353263828,0.2003279799588924,2.571467094798474,7.671348783663401,-1.2642072970332263,2.1569055369145884,1.2556559965804737,5.322149286567335,2.5714670947984963,"2015,2018,2020,2022",4,3.6355268526817213,1094120.5905126845
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,2,full,5.322149286567335,4.228910901135774,3.207693835999448,2.571467094798474,7.671348783663401,-1.2642072970332263,2.1569055369145884,1.2556559965804737,5.322149286567335,2.5714670947984963,"2015,2018,2020,2022",4,3.6355268526817213,1094120.5905126845
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,2,heldout_2019_plus,1.4890738906052414,2.866218298781953,0.05596474121426498,1.2295842939402668,3.3786702490173237,-0.45975083056839505,2.2087136569484245,0.3626962034365522,1.6570682404300374,1.2295842939402668,"2015,2018,2020,2022",4,3.9476442863537797,1291870.122479415
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,2,sealed_2023_plus,1.6283056619016856,3.632376619029243,-0.18788264761293583,1.2295842939402668,3.3786702490173237,-0.45975083056839505,2.2087136569484245,0.3626962034365522,1.6570682404300374,1.2295842939402668,"2015,2018,2020,2022",4,3.9476442863537797,1291870.122479415
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,2,full,1.4890738906052636,1.861953745534306,0.5580970178381106,1.2295842939402668,3.3786702490173237,-0.45975083056839505,2.2087136569484245,0.3626962034365522,1.6570682404300374,1.2295842939402668,"2015,2018,2020,2022",4,3.9476442863537797,1291870.122479415
M2_RELOC_719B_C50,m2_reloc_719b,RELOC_719B,0.5,2,heldout_2019_plus,3.0033657099768796,6.3978203375220755,-0.19554445878415816,2.8813681318590745,7.524032464511388,-0.8806481003966193,3.2853705186893567,1.119626932306339,3.0033657099768796,4.058859805564863,"2015,2018,2020,2022",4,4.5749872827874425,1204322.3934983192
