id,mode,assist,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
KD+BOTH__CCI20_LT_N100__MFI14_GT80,KD+BOTH,CCI20_LT_N100+MFI14_GT80,-0.7300782666627592,-0.3738209167221007,0.712514699881317,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.2707151242426828,4190,0.13297807232824188,-0.22760543200861794
KD+BOTH__K9_LT20__MFI14_GT80,KD+BOTH,K9_LT20+MFI14_GT80,-0.8139156071532039,-0.12607506858637318,1.3756810771336614,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.3545524647331275,4314,0.1286198203461657,-0.22512797352726044
KD+BOTH__K9_LT20__RSI6_GT80,KD+BOTH,K9_LT20+RSI6_GT80,-0.8234051452568281,-0.16750781482945953,1.311794660854737,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.3640420028367517,4544,0.12953859258577816,-0.22554230098969152
KD+BUY_AND_CCI20_LT_N100,KD+BUY_AND_LOW,CCI20_LT_N100,-0.9217425392696765,0.6351523115174063,3.1137897015741656,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.4623793968496002,6629,0.11927467661986402,-0.21751569972622287
KD+BOTH__K9_LT20__K9_GT80,KD+BOTH,K9_LT20+K9_GT80,-0.9744555659731979,0.31508930095476284,2.5790897338559216,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.5150924235531216,5257,0.122716599398482,-0.2207163298318493
KD+BOTH__D9_LT20__K9_GT80,KD+BOTH,D9_LT20+K9_GT80,-0.9892659754174637,0.8742853119036109,3.7271025746421493,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.5299028329973874,6055,0.11260309011693947,-0.2151243697223607
KD+BUY_AND_MACD_HIST_NEG,KD+BUY_AND_LOW,MACD_HIST_NEG,-0.9899236936013689,0.2280362315758344,2.4359198503544066,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.5305605511812925,5596,0.12718888313849996,-0.22158686052563847
KD+BOTH__D9_LT20__RSI6_GT80,KD+BOTH,D9_LT20+RSI6_GT80,-1.068643455656848,0.5668984456763337,3.2710838026663636,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.6092803132367717,5330,0.1153602101776845,-0.21819823838463348
KD+BOTH__CCI20_LT_N100__D9_GT80,KD+BOTH,CCI20_LT_N100+D9_GT80,-1.0908871902492456,-0.6158572053693301,0.9500599697598311,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.6315240478291693,4892,0.13230693146416161,-0.23002579489509012
KD+BOTH__MFI14_LT20__WILLR14_GT_N20,KD+BOTH,MFI14_LT20+WILLR14_GT_N20,-1.1450848202792852,0.4803600837702704,3.250889808099111,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.6857216778592088,6651,0.12461577579875449,-0.21906362200369411
