date,nav_base,nav_fin_pre_exdiv_kd,nav_fin_rs_soft_tilt_exdiv,nav_mix_l75
2013-09-06,538117044.7636443,538070647.542868,537112222.7490001,537808467.628525
2013-09-09,537678507.0136443,537703420.042868,536340087.4990001,537276658.128525
2013-09-10,541608963.2636443,541642420.042868,540578944.2490001,541292452.128525
2013-09-11,542531598.7636443,542630545.042868,541077788.7490001,542094558.128525
2013-09-12,544424909.7636443,544446725.042868,543218703.7490001,544056083.128525
2013-09-13,543350409.2636443,543302685.042868,542382954.2490001,543048162.128525
2013-09-14,541173123.7636443,541111910.042868,540133459.7490001,540853856.128525
2013-09-16,547890294.7636443,547793660.042868,547578648.7490001,547765268.128525
2013-09-17,549025634.5136443,548836327.542868,548727923.9990001,548912857.628525
2013-09-18,546945149.0136443,546721552.542868,546782929.4990001,546873951.628525
2013-09-23,555242915.5136443,554913430.042868,555583400.9990001,555312226.128525
2013-09-24,555096575.7636443,554818162.542868,555816425.7490001,555260636.628525
2013-09-25,555587869.37878,555328485.4080038,556210646.7190886,555727658.0289544
2013-09-26,546455185.37878,546319315.4080038,546524102.7190886,546442141.0289544
2013-09-27,551467213.0800761,551247260.4108382,552304107.7430016,551659247.5528674
2013-09-30,545058250.0800761,544780172.9108382,545487516.7430016,545150162.0528674
2013-10-01,546104053.8300761,545827942.9108382,547004833.9930016,546318755.0528674
2013-10-02,543369541.5800761,543146720.4108382,543424469.2430016,543353114.5528674
2013-10-03,555138728.3300761,554953600.4108382,556064439.4930016,555348736.5528674
2013-10-04,556372945.8300761,556139092.9108382,557648561.9930016,556677779.0528674
2013-10-07,555805578.3300761,555579500.4108382,557122289.4930016,556123086.5528674
2013-10-08,559320597.0800761,558996980.4108382,560526951.7430016,559616664.5528674
2013-10-09,557173885.5800761,556816410.4108382,558771437.2430016,557578268.5528674
2013-10-11,557595686.0800761,557317900.4108382,558861186.7430016,557909389.5528674
2013-10-14,555394324.3370191,555142488.1469872,557064039.8655796,555813935.5164605
2013-10-15,559801608.5870191,559446770.6469872,561823884.6155796,560316376.0164605
2013-10-16,557783632.0870191,557400285.6469872,559907665.1155796,558323365.0164605
2013-10-17,557327981.532885,557016302.1568764,558863426.1609343,557707470.7079498
2013-10-18,558467481.532885,558124602.1568764,560303126.1609343,558930520.7079498
2013-10-21,555190230.3161273,554951646.7660403,556306059.3361341,555453035.529186
2013-10-22,554403418.0661273,554124674.2660403,555560844.5861341,554679895.029186
2013-10-23,555191450.5661273,554899531.7660403,556580572.0861341,555531752.529186
2013-10-24,556845020.0661273,556493264.2660403,558169834.5861341,557173675.029186
2013-10-25,553060097.5661273,552741164.2660403,554621955.0861341,553452854.029186
