date,nav_base,nav_blend_e45_a25,rel_blend_vs_base
2020-10-07,963895298.5190393,949593082.3960952,0.9851620646506747
2020-10-08,966445328.9190394,952650120.9960952,0.9857258268935151
2020-10-12,969071862.6190393,955058000.8960952,0.9855388828594508
2020-10-13,960688350.3190393,949293045.0960952,0.988138395537783
2020-10-14,959031190.6190393,946953829.7960951,0.9874067069548088
2020-10-15,953781229.4190392,940772766.2960951,0.9863611667731522
2020-10-16,949656081.7190392,936782431.9960952,0.9864438821898128
2020-10-19,952276445.8190392,939764350.4960952,0.986860858128038
2020-10-20,950531617.6190392,937240813.4960952,0.9860175044400566
2020-10-21,947173698.1190393,935014816.1960951,0.9871629861058324
2020-10-22,953314883.2190392,941124330.1960951,0.9872124591386001
2020-10-23,951515381.7190392,938745031.9960952,0.9865789350668481
2020-10-26,955609558.7190393,942438192.9960952,0.9862167915727006
2020-10-27,952772185.4190392,939999181.7960951,0.9865938533697576
2020-10-28,951538455.0190393,938120043.1960951,0.9858981928137884
2020-10-29,942116462.9190392,929946011.1709661,0.9870817969676866
2020-10-30,939541163.6190392,927058514.5709662,0.9867141009554167
2020-11-02,952305771.8531594,939911124.9709661,0.986984593343298
2020-11-03,958207262.9531596,945905460.3028005,0.9871616474577272
2020-11-04,958516257.0531595,946101258.9028006,0.9870476916181606
2020-11-05,965728422.5531594,953839511.5028005,0.9876891776479692
2020-11-06,968671521.725625,957778206.5028005,0.9887543765058574
2020-11-09,980369195.487831,967142177.7794452,0.9865081259496286
2020-11-10,987288862.4878309,974918578.5794452,0.9874704512748029
2020-11-11,1008505083.1878312,992699859.5794452,0.9843280674813989
2020-11-12,995310278.5544773,979542927.8205514,0.9841583563702111
2020-11-13,996965588.845576,982653208.4205513,0.9856440577436604
2020-11-16,1007822130.945576,992484363.5205513,0.9847812754313758
2020-11-17,1008916928.7455759,993512861.9205513,0.9847320761639147
2020-11-18,1014503122.0455761,999284893.0205513,0.9849993275581649
2020-11-19,1012232922.745576,996455296.4205513,0.9844130476588041
2020-11-20,1006607820.2455759,991836622.6205513,0.985325767068429
2020-11-23,1009873965.8455758,995288469.4205513,0.9855571121562561
2020-11-24,1000935563.3455759,987259395.6205513,0.9863366152369363
2020-11-25,999294108.945576,985934642.4205513,0.986631096485577
2020-11-26,1004138459.9455761,989502168.0205513,0.9854240301423989
2020-11-27,999185782.945576,984722107.0205513,0.9855245379068684
2020-11-30,989163244.9455758,975248877.0953916,0.9859331936146194
2020-12-01,995722577.5455759,982801817.2953916,0.9870237347815959
2020-12-02,995642035.745576,983071234.3953916,0.987374175759091
2020-12-03,993708732.045576,980921934.5953916,0.9871322480744812
2020-12-04,1000416486.7455759,986455359.9953916,0.9860446854533548
2020-12-07,997208671.645576,984335665.8953916,0.9870909608828996
2020-12-08,987560591.745576,974297822.5953916,0.9865701717332183
2020-12-09,984093473.4526957,970017706.0953915,0.9856967170934288
2020-12-10,982854469.0526956,969070802.8953916,0.9859758829091054
2020-12-11,988495110.6526958,976875254.9953916,0.9882449032553822
2020-12-14,987819158.6526958,974141684.1953917,0.9861538680055982
2020-12-15,981626841.3526956,968705338.4953916,0.9868366447279519
2020-12-16,993418335.6526958,979395345.1953917,0.9858841034496402
2020-12-17,991797748.2526958,977885465.4953916,0.9859726614808169
2020-12-18,986595683.6526957,975230543.9953916,0.98848044863198
2020-12-21,998557959.5526956,983240295.6953915,0.9846602155530705
2020-12-22,990390674.9526957,977096754.2953916,0.986577094278539
2020-12-23,987232699.4526957,974571341.4953916,0.9871749001382112
2020-12-24,989326574.9526957,976047454.2953916,0.9865776165388672
2020-12-25,993807531.8526956,979222931.2953916,0.9853245220127133
2020-12-28,998548709.5526956,983201445.6953915,0.9846304304332044
2020-12-29,998251435.5526956,983975781.0953915,0.9856993399169016
2020-12-30,1016214918.6526958,1000664351.5953916,0.9846975607503173
2020-12-31,1012558713.2526957,998606272.7953916,0.9862206109387139
2021-01-04,1012347996.1526957,997215307.8953916,0.9850518909359094
2021-01-05,1014188859.5526956,1000001023.6383317,0.9860106569099749
2021-01-06,1006245334.8526957,992195628.3383317,0.9860374940109206
2021-01-07,1014854810.7526958,1001642449.6383317,0.9869810331740313
2021-01-08,1026300133.2526958,1012856593.3383317,0.9869009664144183
2021-01-11,1028400181.0526958,1014900841.7383317,0.9868734568866511
2021-01-12,1017776241.0245665,1005489305.3383317,0.9879276650495733
2021-01-13,1025055730.1245663,1010873564.0383316,0.9861644926520129
2021-01-14,1023581942.0245663,1009890882.7167224,0.9866243641610518
2021-01-15,1013693765.1245664,1000387885.8167224,0.9868738668761478
2021-01-18,1010755618.0245663,996584390.8167224,0.9859795711692008
2021-01-19,1014107834.6396711,999304322.3167224,0.9854024278116256
2021-01-20,1000498121.0396712,985775299.1167225,0.9852845081731394
2021-01-21,1005355118.8396713,990791197.5167224,0.9855136547772714
2021-01-22,996869302.7639064,983354574.5909419,0.9864428284274641
2021-01-25,998994658.4639064,988216145.190942,0.9892106397350133
2021-01-26,993097214.6639065,980482441.490942,0.9872975445035019
2021-01-27,991892822.8639064,979389858.590942,0.987394843490384
2021-01-28,984782905.5639066,973357062.8909421,0.9883976025493438
2021-01-29,974083795.5639063,962470275.390942,0.9880774937168099
2021-02-01,982674642.6639065,971827370.390942,0.9889614814486727
2021-02-02,988423896.3639064,977843820.1909419,0.9892960133684696
2021-02-03,993977420.6639063,981574256.990942,0.9875216846830586
2021-02-04,992693025.0639064,980171060.190942,0.9873858639510857
2021-02-05,995906704.7639064,984803895.390942,0.9888515567574209
2021-02-17,1017703346.2639065,1003473813.7909421,0.9860179957890455
2021-02-18,1019596663.5639063,1004299509.490942,0.9849968574637205
2021-02-19,1017608473.2639064,1002977274.790942,0.9856219765682219
2021-02-22,1016889845.0639063,1001385487.790942,0.9847531595007816
2021-02-23,1028800257.1639063,1013162462.790942,0.9847999703887389
2021-02-24,1026413437.0639064,1009799128.790942,0.9838132397014498
2021-02-25,1034107799.7639065,1019305690.490942,0.9856861061522368
2021-02-26,1020807647.6639063,1001966828.290942,0.9815432227451654
2021-03-02,1019897921.1313944,1006645666.5467417,0.9870062931690736
2021-03-03,1028947001.3313944,1014353104.7467417,0.9858166683359112
2021-03-04,1023803634.5457791,1007623836.6136402,0.9841963855311793
2021-03-05,1020911121.2120266,1007010251.3720663,0.9863838589362635
2021-03-08,1020887809.1961781,1007576378.6466031,0.9869609271169022
2021-03-09,1037228162.0361362,1023792006.6466033,0.9870460946961208
2021-03-10,1037739335.8361362,1025711040.4466033,0.9884091361152448
2021-03-11,1040446235.8361362,1028281590.4466033,0.9883082422036378
2021-03-12,1041719174.8652413,1030457420.5664726,0.9891892608195242
2021-03-15,1044315379.0652413,1035154692.9664727,0.9912280463522731
2021-03-16,1054399389.6652412,1044592919.7664727,0.9906994730887676
2021-03-17,1049370340.4652411,1039340437.2664727,0.9904419795261971
2021-03-18,1048027274.6652412,1039340989.7664727,0.99171177591581
2021-03-19,1041156481.0652412,1028264566.8664727,0.9876176977877731
2021-03-22,1040524819.9652412,1032765764.3664726,0.9925431326097269
2021-03-23,1041830863.3652412,1034410909.5664726,0.9928779669909171
2021-03-24,1042911005.1652412,1035214442.4664727,0.9926201155605324
2021-03-25,1048645296.2652413,1041172871.9664727,0.9928742117803021
2021-03-26,1049977791.8652413,1042971668.7664727,0.9933273606803411
2021-03-29,1056091580.7652411,1049540446.6664727,0.9937968124942143
2021-03-30,1061029277.9652413,1052661358.3664727,0.9921133942554197
2021-03-31,1062870339.365241,1053327052.6664727,0.9910212127055237
2021-04-01,1063139901.4652411,1051838100.3664727,0.9893694131099848
2021-04-06,1066906345.4652412,1055188734.8664726,0.9890172078846724
2021-04-07,1068756901.3652412,1057245736.2664727,0.9892293887561671
2021-04-08,1062787122.1652411,1051608123.6664727,0.9894814321084422
2021-04-09,1058015200.4373338,1047986420.9003978,0.9905211385121966
