date,ret,core_w,alpha_w,cash_w,e45_exposure,nav
2019-07-12,-0.0013834113463046416,0.8,0.2,0.0,1.0,1.1561721828437836
2019-07-15,-0.000795150651750909,0.8,0.2,0.0,1.0,1.155252851779059
2019-07-16,0.001229378186060992,0.8,0.2,0.0,1.0,1.156673094434421
2019-07-17,0.0008799812455454025,0.8,0.2,0.0,1.0,1.1576909450647501
2019-07-18,-0.00017274226745311871,0.8,0.2,0.0,1.0,1.1574909629058896
2019-07-19,0.001519236665243895,0.8,0.2,0.0,1.0,1.1592494656164247
2019-07-22,0.002311745503968732,0.8,0.2,0.0,1.0,1.1619293553565417
2019-07-23,0.0019546577932747946,0.8,0.2,0.0,1.0,1.1642005296262241
2019-07-24,0.001724614489356191,0.8,0.2,0.0,1.0,1.1662083267281336
2019-07-25,0.005198091757766732,0.8,0.2,0.0,1.0,1.172270384619138
2019-07-26,0.0006603566553523788,0.8,0.2,0.0,1.0,1.1730445011694939
2019-07-29,-0.0013740863080317967,0.8,0.2,0.0,1.0,1.171432636781725
2019-07-30,0.003548789668552344,0.8,0.2,0.0,1.0,1.175589804820541
2019-07-31,0.001737822024053526,0.8,0.2,0.0,1.0,1.177632770674611
2019-08-01,-0.014063041353475381,0.8,0.2,0.0,1.0,1.1610716723214063
2019-08-02,-0.010727795308734401,0.8,0.2,0.0,1.0,1.1486159330819723
2019-08-05,-0.0028874572006086564,0.8,0.2,0.0,1.0,1.145299353735261
2019-08-06,-0.0068313657353748615,0.8,0.2,0.0,1.0,1.1374753949734069
2019-08-07,0.002541804910835044,0.8,0.2,0.0,1.0,1.1403666355183042
2019-08-08,0.0031275723474851525,0.8,0.2,0.0,1.0,1.143933214673546
2019-08-12,-0.014991791170798541,0.8,0.2,0.0,1.0,1.12678360680582
2019-08-13,-0.009758149466711719,0.8,0.2,0.0,1.0,1.1157882839539681
2019-08-14,0.004980710334741368,0.8,0.2,0.0,1.0,1.1213457021912412
2019-08-15,-0.03464587305099165,0.8,0.2,0.0,1.0,1.0824957013468484
2019-08-16,0.009137772299944702,0.8,0.2,0.0,1.0,1.0923873005814246
2019-08-19,0.005353390940405989,0.8,0.2,0.0,1.0,1.0982352768597718
2019-08-20,0.0023782784078955734,0.8,0.2,0.0,1.0,1.1008471861055167
2019-08-21,-0.0051143961639907864,0.8,0.2,0.0,1.0,1.0952170174797586
2019-08-22,0.0015184271541542672,0.8,0.2,0.0,1.0,1.0968800247387918
2019-08-23,0.000424102904216861,0.8,0.2,0.0,1.0,1.097345214742861
2019-08-26,-0.012606699373684927,0.8,0.2,0.0,1.0,1.083511313511446
2019-08-27,0.0038418427338443363,0.8,0.2,0.0,1.0,1.087673993578298
2019-08-28,-0.0012979652540047405,0.8,0.2,0.0,1.0,1.0862622305269487
2019-08-29,0.0018664449318909425,0.8,0.2,0.0,1.0,1.0882896791618204
2019-08-30,0.0143401115052074,0.8,0.2,0.0,1.0,1.1038958745109673
2019-09-02,0.0008965441607486025,0.8,0.2,0.0,1.0,1.1048855659113346
2019-09-03,-0.003923392562916206,0.8,0.2,0.0,1.0,1.1005506660991646
2019-09-04,0.002193269484346727,0.8,0.2,0.0,1.0,1.1029644702910975
2019-09-05,0.006901883597358794,0.8,0.2,0.0,1.0,1.1105770026770692
2019-09-06,0.006438748725168963,0.8,0.2,0.0,1.0,1.117727728937258
2019-09-09,0.009006362974303305,0.8,0.2,0.0,1.0,1.1277943905705108
2019-09-10,0.010195715193492605,0.8,0.2,0.0,1.0,1.1392930609735863
2019-09-11,0.0019191769647204818,0.8,0.2,0.0,1.0,1.1414795659722727
2019-09-12,-0.0001434313718998492,0.8,0.2,0.0,1.0,1.1413158419921297
2019-09-16,-0.00056664073058319,0.8,0.2,0.0,1.0,1.1406691259495971
2019-09-17,0.0038384189876491614,0.8,0.2,0.0,1.0,1.1450474919812674
2019-09-18,0.005115535124161874,0.8,0.2,0.0,1.0,1.150905022645331
2019-09-19,0.0002795136927780993,0.8,0.2,0.0,1.0,1.1512267163582475
2019-09-20,-0.0004965013485270786,0.8,0.2,0.0,1.0,1.1506551307411153
2019-09-23,-0.000541612185175344,0.8,0.2,0.0,1.0,1.1500319219013713
2019-09-24,-0.00199356144126952,0.8,0.2,0.0,1.0,1.1477392626056397
2019-09-25,-0.004734795639953137,0.8,0.2,0.0,1.0,1.1423049517492514
2019-09-26,0.0003162603875379144,0.8,0.2,0.0,1.0,1.142666217555978
2019-09-27,-0.004748905534619152,0.8,0.2,0.0,1.0,1.1372398036312041
2019-10-01,0.009337085804633948,0.8,0.2,0.0,1.0,1.1478583092581538
2019-10-02,-0.002829502296268238,0.8,0.2,0.0,1.0,1.1446104415363172
2019-10-03,-0.0066544945650087286,0.8,0.2,0.0,1.0,1.1369936375740615
2019-10-04,0.003544312513487702,0.8,0.2,0.0,1.0,1.141023498351471
2019-10-07,0.0015945358482547967,0.8,0.2,0.0,1.0,1.1428429012232935
2019-10-08,0.005034200713917025,0.8,0.2,0.0,1.0,1.1485962017725269
2019-10-09,-0.00544058508098293,0.8,0.2,0.0,1.0,1.1423471664130895
2019-10-14,0.006095181322637578,0.8,0.2,0.0,1.0,1.1493099795257784
2019-10-15,0.00043946366192013645,0.8,0.2,0.0,1.0,1.149815059498062
2019-10-16,0.0025345307840189068,0.8,0.2,0.0,1.0,1.1527293011622886
2019-10-17,0.0015583488025360916,0.8,0.2,0.0,1.0,1.1545256554884031
2019-10-18,-0.002618420609289451,0.8,0.2,0.0,1.0,1.151502621718119
2019-10-21,0.002502533853200162,0.8,0.2,0.0,1.0,1.1543842960110173
2019-10-22,0.0025479365524895938,0.8,0.2,0.0,1.0,1.1573255939544438
2019-10-23,-0.00014746345412528492,0.8,0.2,0.0,1.0,1.1571549307248117
2019-10-24,0.00619370421965777,0.8,0.2,0.0,1.0,1.1643220061020398
2019-10-25,0.0016815318939718438,0.8,0.2,0.0,1.0,1.1662798506901537
2019-10-28,0.002324391587835817,0.8,0.2,0.0,1.0,1.1689907417641603
2019-10-29,0.0020130719573936418,0.8,0.2,0.0,1.0,1.1713440042448584
2019-10-30,0.005113105479070334,0.8,0.2,0.0,1.0,1.1773332096908389
2019-10-31,0.0035485046716666083,0.8,0.2,0.0,1.0,1.181510982085535
2019-11-01,0.001521596671407499,0.8,0.2,0.0,1.0,1.1833087652631078
2019-11-04,0.008113696389525193,0.8,0.2,0.0,1.0,1.1929097733195166
2019-11-05,0.006027200875624095,0.8,0.2,0.0,1.0,1.2000996801498087
2019-11-06,0.0065131278016252745,0.8,0.2,0.0,1.0,1.207916082741314
2019-11-07,-0.002520429900759602,0.8,0.2,0.0,1.0,1.2048716149287644
2019-11-08,-0.0012237650484462571,0.8,0.2,0.0,1.0,1.2033971351585495
2019-11-11,-0.009116048197735616,0.8,0.2,0.0,1.0,1.1924269088734272
2019-11-12,0.0007186866197865572,0.8,0.2,0.0,1.0,1.193283890137908
2019-11-13,-0.006139906910786963,0.8,0.2,0.0,1.0,1.1859572381343195
2019-11-14,-0.003927891918574611,0.8,0.2,0.0,1.0,1.1812989262828768
2019-11-15,0.007814829540989488,0.8,0.2,0.0,1.0,1.1905305760287312
2019-11-18,0.003655962807326296,0.8,0.2,0.0,1.0,1.194883111535677
2019-11-19,0.0006315075703379857,0.8,0.2,0.0,1.0,1.195637689266281
2019-11-20,0.0009058182638653544,0.8,0.2,0.0,1.0,1.196720719722184
2019-11-21,-0.008717181031853972,0.8,0.2,0.0,1.0,1.1862886885637953
2019-11-22,0.0023446084155404725,0.8,0.2,0.0,1.0,1.1890700710062625
2019-11-25,0.0034861964412810755,0.8,0.2,0.0,1.0,1.1932154028562385
2019-11-26,-0.0034616606025679843,0.8,0.2,0.0,1.0,1.1890848961057938
2019-11-27,0.006294836864958798,0.8,0.2,0.0,1.0,1.1965699915453665
2019-11-28,-0.0019994437978256177,0.8,0.2,0.0,1.0,1.194177517097107
2019-11-29,-0.008857003071518023,0.8,0.2,0.0,1.0,1.1836006831602401
2019-12-02,-0.001802515807119565,0.8,0.2,0.0,1.0,1.1814672242195263
2019-12-03,-0.001213421916669444,0.8,0.2,0.0,1.0,1.1800336059958318
