date,nav_base,nav_chal_e45_e3,rel_chal_vs_base
2021-05-31,6320407.456544002,6004643.724984003,0.950040605177588
2021-06-01,6331301.706544002,6021868.124984004,0.9511263882370083
2021-06-02,6361986.306544001,6045844.024984003,0.9503076136402854
2021-06-03,6354040.456544002,6045828.824984003,0.9514935994399323
2021-06-04,6336207.156544002,6029927.224984003,0.9516619447576499
2021-06-07,6319626.706544002,6011086.124984004,0.9511774040006978
2021-06-08,6340647.089624377,6035346.824984004,0.9518502985066057
2021-06-09,6310803.539624377,6006914.174984003,0.9518461693931196
2021-06-10,6339782.039624377,6024793.824984004,0.9503156082225445
2021-06-11,6326026.210744002,6031858.174984003,0.9534987643174179
2021-06-15,6330708.349226502,6040386.324984004,0.9541406730136336
2021-06-16,6353749.999226501,6050444.901270254,0.952263608421299
2021-06-17,6328121.499226501,6035115.251270254,0.9536977524859372
2021-06-18,6282550.323307001,5984235.200161879,0.9525168748687244
2021-06-21,6271663.173307002,5992864.850161878,0.9555463494385789
2021-06-22,6289345.173307002,6006192.150161879,0.9549789341588582
2021-06-23,6321038.773307001,6031029.400161879,0.9541199819292682
2021-06-24,6317629.773307001,6032968.050161879,0.9549416896273561
2021-06-25,6362906.023307001,6065369.750161879,0.9532389332711717
2021-06-28,6374191.273307001,6085982.800161879,0.9547850918198761
2021-06-29,6339270.4733070005,6064640.200161879,0.9566779372639932
2021-06-30,6367809.273307001,6080655.500161879,0.9549054061105705
2021-07-01,6332078.173307002,6054327.250161879,0.9561358979559054
2021-07-02,6320785.873307001,6045530.1281141285,0.9564522907894584
2021-07-05,6357480.723307001,6082637.078114129,0.9567684658192867
2021-07-06,6392337.723307001,6105646.378114129,0.9551507824520017
2021-07-07,6385761.280126877,6098896.934934003,0.9550775024920484
2021-07-08,6386807.130126877,6097412.134934003,0.9546886277765014
2021-07-09,6403904.880126877,6113480.171148129,0.9546488096848506
2021-07-12,6421341.068982376,6124171.2581301285,0.9537215345424189
2021-07-13,6473020.783962627,6167291.145112129,0.9527686301258348
2021-07-14,6468294.069695626,6171807.791989629,0.9541631418560491
2021-07-15,6473130.269695627,6177574.491989629,0.95434113552609
2021-07-16,6499360.069695626,6191928.441989629,0.9526981696029659
2021-07-19,6519234.419695626,6199873.291989629,0.9510124798180049
2021-07-20,6469856.219695626,6157510.141989629,0.9517228718692158
2021-07-21,6494495.619695626,6183422.057886128,0.9521019675698732
2021-07-22,6563637.219695626,6240570.849383003,0.9507793682833061
2021-07-23,6561592.669695626,6243517.6123720035,0.9515247176508479
2021-07-26,6533162.219695627,6218776.512372004,0.9518784783307784
2021-07-27,6548454.519695626,6232563.099307128,0.9517609201623989
2021-07-28,6533516.369695626,6219834.949307129,0.9519888827640436
2021-07-29,6565491.369695626,6242316.949307129,0.9507768113320237
2021-07-30,6525769.269695627,6204263.098633003,0.950732831981107
2021-08-02,6573793.269695627,6264536.848633003,0.9529561687787997
2021-08-03,6584248.719695627,6275495.948633003,0.9531073651365806
2021-08-04,6599840.369695626,6289021.748633004,0.9529051304801548
2021-08-05,6630916.619695626,6323823.448633003,0.9536876741670265
2021-08-06,6626960.519695627,6311777.198633003,0.9524392336236372
2021-08-09,6635688.419695627,6310024.298633004,0.9509223308170999
2021-08-10,6611559.269695626,6293607.498633003,0.9519097147748536
2021-08-11,6639235.519695627,6324509.198633004,0.9525959999266526
2021-08-12,6601465.919695627,6313868.07687338,0.956434245617448
2021-08-13,6595301.166763376,6283822.576873379,0.9527726510110448
2021-08-16,6574261.766763377,6255024.726873379,0.951441385935692
2021-08-17,6622133.866763377,6285341.626873379,0.9491414328574109
2021-08-18,6623079.066763377,6282569.676873379,0.9485874490614529
2021-08-19,6556083.266763377,6228795.076873379,0.9500787014787909
2021-08-20,6575816.566763377,6241260.336141629,0.9491232416194941
2021-08-23,6544798.316763377,6241611.26614163,0.9536751117532246
2021-08-24,6614303.666763377,6305388.554324379,0.9532958981016725
2021-08-25,6630257.916763376,6306661.154324379,0.9511939404919916
2021-08-26,6645556.143756126,6324233.554324379,0.9516485027767544
2021-08-27,6772943.352977501,6437145.534678129,0.9504206958778489
2021-08-30,6857958.952977502,6516458.484678129,0.9502037748197509
2021-08-31,6921004.852977501,6567143.684678129,0.9488714174001573
2021-09-01,6847054.702977502,6513738.734678129,0.9513198035128261
2021-09-02,6826953.902977501,6489946.734678129,0.9506357926113446
2021-09-03,6911557.602977501,6558593.584678128,0.9489313352250272
2021-09-06,6906318.452977502,6554567.534678129,0.9490682451592246
2021-09-07,6891207.102977501,6545953.634678128,0.9498994206471899
2021-09-08,6891427.552977501,6551713.384678129,0.9507048190396203
2021-09-09,6854421.702977502,6513134.634678128,0.9502092104792559
2021-09-10,6895849.752977502,6554451.234678129,0.9504921756521794
2021-09-13,6910702.752977502,6571140.934678129,0.9508643577307574
2021-09-14,6941479.302977501,6600287.684678128,0.9508474197779396
2021-09-15,6922169.952977502,6586115.484678129,0.9514524389631863
2021-09-16,6971590.357977501,6623191.439678129,0.9500259050790751
2021-09-17,6943114.256535501,6585362.139678129,0.9484738254853544
2021-09-22,6863088.7065355005,6505341.089678128,0.9478736714394059
2021-09-23,6941663.806535501,6584126.93967813,0.9484940675863971
2021-09-24,6968983.256535501,6610241.089678128,0.9485230264370423
2021-09-27,6963917.556535501,6600486.389678129,0.9478122531022357
2021-09-28,6945236.306535501,6593195.289678129,0.9493118734453859
2021-09-29,6906738.306535501,6569060.789678129,0.951108974761959
2021-09-30,6912012.306535501,6576415.343518878,0.95144728508378
2021-10-01,6874204.2065355005,6536542.943518879,0.9508799487371066
2021-10-04,6870452.706535501,6534969.0435188785,0.9511700789822052
2021-10-05,6843583.256535501,6511873.685035379,0.9515298405724303
2021-10-06,6875427.182876252,6527235.905853504,0.9493571427983496
2021-10-07,6911743.393596127,6568198.172239379,0.9502954317321662
2021-10-08,6872808.113661502,6531004.092304754,0.9502671956347329
2021-10-12,6875248.653764627,6534611.591630629,0.95045458291207
2021-10-13,6875034.294554377,6538662.5772197535,0.951073448811585
2021-10-14,6847647.002646627,6520464.4647617545,0.9522197131717777
2021-10-15,6895549.872509752,6565106.6738920035,0.9520787747565839
2021-10-18,6934507.642874251,6590025.523892004,0.9503234927808856
2021-10-19,6921820.7928742515,6591294.859382379,0.9522487011174666
2021-10-20,6943552.384837252,6608140.864549504,0.9516945359236877
2021-10-21,6940543.868715502,6599937.087667879,0.9509250589737054
2021-10-22,6941611.151670251,6595966.374374003,0.9502068367495519
2021-10-25,6949362.554485752,6606461.492035504,0.9506571919709516
2021-10-26,6995396.805636877,6649524.942035504,0.9505572202390763
2021-10-27,6961964.055636877,6640770.348277754,0.9538644978927947
2021-10-28,6970514.505636876,6635255.548277753,0.9519032695379935
2021-10-29,6962624.805636877,6618258.598277754,0.9505407490749282
2021-11-01,6960468.005636877,6622694.948277754,0.9514726513956273
2021-11-02,6978203.155636877,6648563.798277754,0.9527615705637854
2021-11-03,6974429.155636877,6640671.548277753,0.952145530492718
2021-11-04,6960596.855636877,6632291.7482777545,0.952833770699814
2021-11-05,6986185.505636877,6649499.9982777545,0.9518069614545069
2021-11-08,6994171.1367666265,6657009.379407504,0.9517938936914558
2021-11-09,7011451.385899502,6684224.679407503,0.9533296761994138
2021-11-10,7059130.185899503,6715474.438529629,0.9513175507010311
2021-11-11,7033178.2358995015,6715665.33852963,0.9548549906286764
2021-11-12,7092821.4858995015,6780306.58852963,0.9559392693033161
2021-11-15,7130764.935899502,6816112.988529629,0.9558740261110317
2021-11-16,7161644.685899503,6826230.188529629,0.9531651579936284
2021-11-17,7200247.785899502,6878289.288529629,0.9552850808828585
2021-11-18,7252063.285899502,6925778.83852963,0.9550080529489751
2021-11-19,7183720.035899502,6852687.58852963,0.9539190773421583
2021-11-22,7144547.085899501,6842348.731279628,0.9577022376665006
2021-11-23,7115487.935899502,6805437.631279629,0.9564259953199291
2021-11-24,7139564.785899501,6833768.931279629,0.9571688381869139
2021-11-25,7159191.635899502,6862700.231279628,0.9585859102956361
2021-11-26,7058851.885899502,6772748.381279629,0.9594688329994028
2021-11-29,7031560.985899502,6747304.581279629,0.9595742104505817
2021-11-30,6990603.035899502,6723850.481279628,0.9618412670194554
2021-12-01,7085694.435899503,6815256.8661013795,0.9618333005685431
2021-12-02,7091315.435899502,6828701.316101379,0.9629667976030725
2021-12-03,7094119.785899502,6846664.26610138,0.9651182208270612
2021-12-06,7139590.285899502,6877067.1161013795,0.9632299390741512
2021-12-07,7189346.885899502,6911915.6161013795,0.9614107826202892
2021-12-08,7213991.9858995015,6957914.216101379,0.9645026262437423
2021-12-09,7240752.785899501,7013017.51610138,0.9685481224767667
2021-12-10,7257816.385899502,7009894.81610138,0.9658407492534828
2021-12-13,7256366.835899502,7002730.01610138,0.965046306845555
2021-12-14,7228628.835899502,6953672.1161013795,0.9619628111997387
2021-12-15,7190272.535899502,6932700.066101379,0.9641776485505773
2021-12-16,7216376.435899502,6964777.816101379,0.9651350477579733
2021-12-17,7277581.035899502,7019110.81610138,0.9644840478555832
2021-12-20,7237960.7358995015,6958073.1161013795,0.9613305971100521
2021-12-21,7252668.385899502,6998749.728492129,0.9649896225917296
2021-12-22,7238144.385899502,6988607.47849213,0.9655247403058869
2021-12-23,7251799.185899502,7007655.628492129,0.9663333813928426
2021-12-24,7253521.685899502,7015773.97849213,0.9672231341267591
2021-12-27,7263928.4858995015,7019887.628492129,0.966403736231559
2021-12-28,7305827.335899502,7079595.67849213,0.9690340810142458
2021-12-29,7333791.785899502,7119346.528492129,0.9707592929186125
2021-12-30,7320003.135899502,7105438.278492129,0.9706878735672828
2022-01-03,7273717.535899501,7074484.228492129,0.9726091498021397
2022-01-04,7299062.9858995015,7093414.496316004,0.9718253575862033
2022-01-05,7321762.785899501,7123283.8180023795,0.9728919150072222
2022-01-06,7365628.368416127,7157371.01800238,0.9717257863148844
2022-01-07,7436415.268416127,7215183.8180023795,0.9702502560133563
2022-01-10,7519278.718416127,7300751.46800238,0.97093773770102
2022-01-11,7609697.918416127,7403203.618002379,0.9728643235739998
2022-01-12,7644760.430206627,7447968.0797928795,0.9742578786856205
2022-01-13,7744703.680206627,7518659.3297928795,0.9708130407892228
2022-01-14,7697952.080206627,7471474.129792879,0.9705794543725363
2022-01-17,7663260.580206626,7441376.829792879,0.9710457776958741
2022-01-18,7693400.730206627,7454308.979792879,0.9689224884029501
2022-01-19,7647844.430206627,7425386.929792878,0.9709123920545363
2022-01-20,7628024.680206628,7406495.729792879,0.9709585430434465
2022-01-21,7548918.780206626,7314353.979792879,0.9689273646672714
2022-01-24,7532606.130206627,7296653.479792879,0.9686758279491675
2022-01-25,7500669.4802066265,7258210.729792879,0.9676750520665433
2022-01-26,7535671.830206627,7300308.179792879,0.9687667329845367
2022-02-07,7687207.528428251,7442298.159185755,0.9681406585763699
