date,nav,cost,exposure
2004-09-09,0.9604331665823912,0.0013495750544479813,1.0
2004-09-10,0.952696998713974,0.0,1.0
2004-09-13,0.9646386676655468,0.0,1.0
2004-09-14,0.9619273667824618,0.0,1.0
2004-09-15,0.9488437103757649,0.0,1.0
2004-09-16,0.944771630450777,0.0,1.0
2004-09-17,0.923825996795276,0.0,1.0
2004-09-20,0.9314101336157343,0.0,1.0
2004-09-21,0.9552934222456267,0.0,1.0
2004-09-22,0.9590381903417592,0.0,1.0
2004-09-23,0.9529005783008089,0.0,1.0
2004-09-24,0.9439390596751793,0.0,1.0
2004-09-27,0.948856764485559,0.0,1.0
2004-09-29,0.9496509637601549,0.0,1.0
2004-09-30,0.9593145190206925,0.0,1.0
2004-10-01,0.9812061848671005,0.0,1.0
2004-10-04,1.0189555629577374,0.0,1.0
2004-10-05,1.0267027397279374,0.0,1.0
2004-10-06,1.0141279958070801,0.0,1.0
2004-10-07,1.0334945521894026,0.0,1.0
2004-10-08,1.0501802947435797,0.0,1.0
2004-10-11,1.046924054151968,0.0007445904255319149,1.0
2004-10-12,1.0153089423002863,0.0,1.0
2004-10-13,1.0186751238159513,0.0,1.0
2004-10-14,0.9929467357905088,0.0,1.0
2004-10-15,1.0066929585714943,0.0,1.0
2004-10-18,0.9976177634946667,0.0,1.0
2004-10-19,0.9911389588127941,0.0,1.0
2004-10-20,1.0162024040464743,0.0,1.0
2004-10-21,1.0178971405577637,0.0,1.0
2004-10-22,1.0188259577529755,0.0,1.0
2004-10-26,1.0045116380637895,0.0,1.0
2004-10-27,1.0029463549801327,0.0,1.0
2004-10-28,0.998622318223715,0.0,1.0
2004-10-29,1.0031565969965441,0.0,1.0
2004-11-01,1.0043903180764788,0.0,1.0
2004-11-02,1.0188348399150697,0.0,1.0
2004-11-03,1.0252127079988964,0.0,1.0
2004-11-04,1.0290921882350335,0.0,1.0
2004-11-05,1.0532053285215408,0.0,1.0
2004-11-08,1.0626270179857003,0.0,1.0
2004-11-09,1.0585126828353668,0.0,1.0
2004-11-10,1.052387984910634,0.003495159574468085,1.0
2004-11-11,1.0425709060851784,0.0,1.0
2004-11-12,1.0515363624567582,0.0,1.0
2004-11-15,1.0460992963161326,0.0,1.0
2004-11-16,1.0445948775930154,0.0,1.0
2004-11-17,1.048569582467849,0.0,1.0
2004-11-18,1.0487083642776456,0.0,1.0
2004-11-19,1.0507680104362556,0.0,1.0
2004-11-22,1.0319102251343595,0.0,1.0
2004-11-23,1.0362986380929164,0.0,1.0
2004-11-24,1.0405995986179772,0.0,1.0
2004-11-25,1.0323615782136306,0.0,1.0
2004-11-26,1.021590531175891,0.0,1.0
2004-11-29,1.0201969779670879,0.0,1.0
2004-11-30,1.032690857359985,0.0,1.0
2004-12-01,1.0278618753919808,0.0,1.0
2004-12-02,1.0354322062467445,0.0,1.0
2004-12-03,1.0362661799752606,0.0,1.0
2004-12-06,1.0439898695630976,0.0,1.0
2004-12-07,1.0436036402898743,0.0,1.0
2004-12-08,1.0453051203223434,0.0,1.0
2004-12-09,1.0454016899501661,0.002001,1.0
2004-12-10,1.046130692477045,0.0,1.0
2004-12-13,1.0234682351543378,0.0,1.0
2004-12-14,1.027897361740453,0.0,1.0
2004-12-15,1.0316731433490054,0.0,1.0
2004-12-16,1.0425901578590422,0.0,1.0
2004-12-17,1.045397890044837,0.0,1.0
2004-12-20,1.0471464945847027,0.0,1.0
2004-12-21,1.0477658228069195,0.0,1.0
2004-12-22,1.049392366096758,0.0,1.0
2004-12-23,1.0503301654662756,0.0,1.0
2004-12-24,1.0515503923827845,0.0,1.0
2004-12-27,1.0416695244768694,0.0,1.0
2004-12-28,1.0491292795415588,0.0,1.0
2004-12-29,1.066533728683839,0.0,1.0
2004-12-30,1.066893412247045,0.0,1.0
2004-12-31,1.0852590743655008,0.0,1.0
2005-01-03,1.0852002699640366,0.0,1.0
2005-01-04,1.0711216922793694,0.0,1.0
2005-01-05,1.0604620087704668,0.0,1.0
2005-01-06,1.0669893364007277,0.0,1.0
2005-01-07,1.055217430631777,0.0010722765957446806,1.0
2005-01-10,1.0600299109711664,0.0,1.0
2005-01-11,1.067119384933983,0.0,1.0
2005-01-12,1.0456270345933043,0.0,1.0
2005-01-13,1.0433214946745908,0.0,1.0
2005-01-14,1.056733159530178,0.0,1.0
2005-01-17,1.0591627048197634,0.0,1.0
2005-01-18,1.0609777828952833,0.0,1.0
2005-01-19,1.0601872219183983,0.0,1.0
2005-01-20,1.0483826967277698,0.0,1.0
2005-01-21,1.0420967817179294,0.0,1.0
2005-01-24,1.0278177452829644,0.0,1.0
2005-01-25,1.0290486022181489,0.0,1.0
2005-01-26,1.035320851109252,0.0,1.0
2005-01-27,1.0363562253865288,0.0,1.0
2005-01-28,1.0427248503650188,0.0,1.0
2005-01-31,1.059446059510345,0.0,1.0
2005-02-01,1.0553650900663543,0.0,1.0
2005-02-02,1.0689917996573233,0.0,1.0
2005-02-03,1.075717970910761,0.0,1.0
2005-02-14,1.0693627911896388,0.0,1.0
2005-02-15,1.063868157368444,0.00080614108239326,1.0
2005-02-16,1.0606563240364215,0.0,1.0
2005-02-17,1.051069248570511,0.0,1.0
2005-02-18,1.0541121045239878,0.0,1.0
2005-02-21,1.055109631614472,0.0,1.0
2005-02-22,1.060254102792381,0.0,1.0
2005-02-23,1.0582834610243306,0.0,1.0
2005-02-24,1.0585464421523636,0.0,1.0
2005-02-25,1.0723323981520465,0.0,1.0
2005-03-01,1.0833205850797747,0.0,1.0
2005-03-02,1.0731046584095905,0.0,1.0
2005-03-03,1.0683209124069262,0.0,1.0
2005-03-04,1.0659363103664106,0.0,1.0
2005-03-07,1.0649427587678768,0.0,1.0
2005-03-08,1.0499294071178698,0.0,1.0
2005-03-09,1.0609847347233532,0.0,1.0
2005-03-10,1.0509555660793495,0.0,1.0
2005-03-11,1.0496215264009483,0.0,1.0
2005-03-14,1.046391634649734,0.0,1.0
2005-03-15,1.0422096604862747,0.0,1.0
2005-03-16,1.0409848425572306,0.0,1.0
2005-03-17,1.0378001854104244,0.0015869361702127664,1.0
2005-03-18,1.0351716160094875,0.0,1.0
2005-03-21,1.0344488200196544,0.0,1.0
2005-03-22,1.0224208261710903,0.0,1.0
2005-03-23,1.0153401182744133,0.0,1.0
2005-03-24,1.0080695926616752,0.0,1.0
2005-03-25,1.012755414390768,0.0,1.0
2005-03-28,1.003779459153257,0.0,1.0
2005-03-29,0.9844758594183473,0.0,1.0
2005-03-30,0.9904548125930285,0.0,1.0
2005-03-31,0.9957916853403712,0.0,1.0
2005-04-01,0.9905457087540682,0.0,1.0
2005-04-04,0.9836284124565279,0.0,1.0
2005-04-06,0.9880159203017602,0.0,1.0
2005-04-07,0.9824915002797194,0.0,1.0
2005-04-08,0.9871959971228083,0.0,1.0
2005-04-11,0.9800287486993665,0.0,1.0
2005-04-12,0.986153312969652,0.0,1.0
2005-04-13,0.9863791644064657,0.0,1.0
2005-04-14,0.9797899752044308,0.0,1.0
2005-04-15,0.9595954676845733,0.0,1.0
2005-04-18,0.9403751525907467,0.0028171421879961893,1.0
2005-04-19,0.9416578936272775,0.0,1.0
2005-04-20,0.9471332426204467,0.0,1.0
2005-04-21,0.9607559994016535,0.0,1.0
2005-04-22,0.962906780909708,0.0,1.0
2005-04-25,0.9649817976207476,0.0,1.0
2005-04-26,0.9625979595067178,0.0,1.0
2005-04-27,0.9589179839191556,0.0,1.0
2005-04-28,0.9661446255616356,0.0,1.0
2005-04-29,0.9680484688767231,0.0,1.0
2005-05-03,0.9714191564643244,0.0,1.0
2005-05-04,0.9683201562048561,0.0,1.0
2005-05-05,0.9732411809672522,0.0,1.0
2005-05-06,0.9735158489955043,0.0,1.0
2005-05-09,0.9723022258139936,0.0,1.0
2005-05-10,0.9741696302083062,0.0,1.0
2005-05-11,0.9714169128867204,0.0,1.0
2005-05-12,0.9728281149182618,0.0,1.0
2005-05-13,0.9806068211649619,0.0,1.0
2005-05-16,0.9761383688593027,0.0,1.0
2005-05-17,0.9742316418044313,0.0,1.0
2005-05-18,0.9738648267952104,0.00042367164179104466,1.0
2005-05-19,0.9856804635550022,0.0,1.0
2005-05-20,0.9723469637813004,0.0,1.0
2005-05-23,0.9620346254513716,0.0,1.0
2005-05-24,0.9637394236675737,0.0,1.0
2005-05-25,0.9585930773376579,0.0,1.0
2005-05-26,0.9719315388440283,0.0,1.0
2005-05-27,0.9802035685045852,0.0,1.0
2005-05-30,0.9816751529687312,0.0,1.0
2005-05-31,0.9825406342340027,0.0,1.0
2005-06-01,0.9627747305449103,0.0,1.0
2005-06-02,0.9674201708088531,0.0,1.0
2005-06-03,0.9728603704116193,0.0,1.0
2005-06-06,0.9754293750840514,0.0,1.0
2005-06-07,0.9694183819355089,0.0,1.0
2005-06-08,0.9742673149063413,0.0,1.0
2005-06-09,0.9764859634449252,0.0,1.0
2005-06-10,0.9906017703352916,0.0,1.0
2005-06-13,0.9984306258155512,0.0,1.0
2005-06-14,0.9872634426034285,0.0,1.0
2005-06-15,0.993072381564839,0.0,1.0
2005-06-16,0.9864604734328226,0.0014219313287281595,1.0
2005-06-17,0.9901831153072883,0.0,1.0
2005-06-20,0.9828918109253376,0.0,1.0
2005-06-21,0.9792971503241066,0.0,1.0
2005-06-22,0.991442226831123,0.0,1.0
2005-06-23,1.00304307162358,0.0,1.0
2005-06-24,0.9989075938286377,0.0,1.0
2005-06-27,0.9903793260725887,0.0,1.0
2005-06-28,1.0013755395211608,0.0,1.0
2005-06-29,0.9911536720036686,0.0,1.0
2005-06-30,0.9928717949760113,0.0,1.0
2005-07-01,0.9879436170891828,0.0,1.0
2005-07-04,0.9824651055518581,0.0,1.0
2005-07-05,0.9689726873263707,0.0,1.0
2005-07-06,0.973435061887224,0.0,1.0
2005-07-07,0.9736754649108443,0.0,1.0
2005-07-08,0.9698111791731475,0.0,1.0
2005-07-11,0.9752971834337746,0.0,1.0
2005-07-12,0.979553703353067,0.0,1.0
2005-07-13,0.9801726800296138,0.0,1.0
2005-07-14,0.9829733089973323,0.0,1.0
2005-07-15,0.9899744083955277,0.0016276586493987049,1.0
2005-07-19,0.9864100540738193,0.0,1.0
2005-07-20,1.0069667491477925,0.0,1.0
2005-07-21,0.9909536597829361,0.0,1.0
2005-07-22,0.9981064089938193,0.0,1.0
2005-07-25,1.0330148271569561,0.0,1.0
2005-07-26,1.0187558316791345,0.0,1.0
2005-07-27,1.0207687143617226,0.0,1.0
2005-07-28,1.0245549942983962,0.0,1.0
2005-07-29,1.025743463453832,0.0,1.0
2005-08-01,1.0244141784412886,0.0,1.0
2005-08-02,1.025541607198101,0.0,1.0
2005-08-03,1.0352600743802298,0.0,1.0
2005-08-04,1.0378576923726632,0.0,1.0
2005-08-08,1.0154194860954067,0.0,1.0
2005-08-09,1.0047954294551427,0.0,1.0
2005-08-10,0.9906536825317301,0.0,1.0
2005-08-11,0.991969811235915,0.0,1.0
2005-08-12,0.9974338149397627,0.0,1.0
2005-08-15,0.9852714151585028,0.0,1.0
2005-08-16,0.9835698889723439,0.0,1.0
2005-08-17,0.9801507207469036,0.001313968085106383,1.0
2005-08-18,0.9832542617776536,0.0,1.0
