date,nav_base,nav_blend025,rel_blend025_vs_base
2024-04-01,43935268.243681766,44570253.88999934,1.0144527545113802
2024-04-02,44005314.16368177,44656224.34999934,1.014791626845259
2024-04-03,43410030.20083314,44080409.800038815,1.0154429655106023
2024-04-08,43840039.19969041,44490240.21444352,1.0148312142649203
2024-04-09,44139031.805570036,44857692.68181928,1.0162817544212321
2024-04-10,44079158.30747874,44813041.38466517,1.0166492080467406
2024-04-11,44114012.40743526,44804201.04947275,1.015645564852794
2024-04-12,43787787.80458398,44500617.81637933,1.0162791967243598
2024-04-15,43634869.16199674,44317079.77887383,1.0156345287605735
2024-04-16,42623419.389602,43307581.81698849,1.016051326645872
2024-04-17,42732280.25189346,43421750.76963019,1.01613465309299
2024-04-18,43093443.784949414,43776968.986474104,1.0158614661881216
2024-04-19,42092661.6070465,42713079.68875887,1.0147393407312717
2024-04-22,42937608.99384167,43489969.85839661,1.0128642669561354
2024-04-23,43290390.275968954,43843865.29171257,1.0127851703857438
2024-04-24,43235026.39736546,43819619.53917081,1.0135212856454037
2024-04-25,42607149.79010131,43209130.76695826,1.0141286375601872
2024-04-26,42761995.083484806,43391745.53794184,1.0147268726173222
2024-04-29,44134790.354815125,44665938.86404686,1.0120346897529509
2024-04-30,44439485.32462176,44887837.90801326,1.0100890588654745
2024-05-02,45129520.646486945,45413430.81514133,1.0062910078500131
2024-05-03,45234831.68305969,45523568.56557652,1.0063830652568773
2024-05-06,47079605.05674312,47167679.10977623,1.0018707474909136
2024-05-07,47240702.61856515,47310323.36934046,1.0014737450316402
2024-05-08,47296242.75697266,47393709.28969305,1.0020607669243666
2024-05-09,46670978.63844291,46836866.98942803,1.0035544219518138
2024-05-10,48249853.98716205,48159457.07292222,0.9981264831544592
2024-05-13,48245658.07947247,48200247.64354148,0.999058766369065
2024-05-14,48040557.74716471,47981445.79322687,0.998769540640037
2024-05-15,48055247.737796105,48064284.1832276,1.000188042843537
2024-05-16,48071605.80962429,48091358.96209621,1.0004109110178292
2024-05-17,48017093.846864924,48051807.705028005,1.0007229479208757
2024-05-20,47903455.39635048,47963693.21749456,1.0012574838421504
2024-05-21,47380593.37622074,47515733.71740282,1.0028522298171536
2024-05-22,47545595.0326172,47724925.36052821,1.0037717548342384
2024-05-23,47409757.569889195,47611933.57622215,1.0042644387294095
2024-05-24,47230620.62098926,47435326.58104526,1.0043341789153841
2024-05-27,47466294.85072778,47646968.475202195,1.003806356174262
2024-05-28,47421036.91599054,47626341.14285365,1.004329391346436
2024-05-29,46625534.2796801,46844488.43209457,1.004696013800101
2024-05-30,46108243.30263279,46350769.839694835,1.0052599387807992
2024-05-31,46423366.753039025,46592366.50533406,1.003640402756527
2024-06-03,46153267.768887416,46467856.206578285,1.0068161682346344
2024-06-04,45619680.84906448,45957329.54776723,1.0074013823073398
2024-06-05,46028035.82178939,46324715.227047384,1.0064456238455768
2024-06-06,46555563.79037277,46903336.73201605,1.0074700618643393
2024-06-07,46966164.20590591,47206499.9272746,1.0051172099197845
2024-06-11,46836059.28952582,47097035.59128455,1.0055721233963228
2024-06-12,46899110.522132024,47223219.926767595,1.0069107793522571
2024-06-13,47291285.124983296,47616853.15986101,1.0068843135477772
2024-06-14,47781121.81852078,48067041.16734165,1.0059839396384798
2024-06-17,47926454.19519664,48199611.92819549,1.0056995189313676
2024-06-18,48558858.10751572,48813863.62339875,1.0052514726626893
2024-06-19,49150676.219022244,49390889.870279275,1.00488729087239
2024-06-20,49278891.37691651,49530796.94341051,1.005111835097248
2024-06-21,49349788.96557175,49550969.49719761,1.0040766239500276
2024-06-24,49480768.26272913,49595326.9286882,1.0023152159916109
2024-06-25,49079754.8455287,49285524.88020484,1.0041925644356573
2024-06-26,48962844.65162845,49182845.30576232,1.0044932163500544
2024-06-27,49036847.53011428,49245794.128621146,1.0042610120558535
2024-06-28,49224163.51628968,49432473.48086071,1.0042318639808292
2024-07-01,49552199.20102924,49744729.26577408,1.0038853989903407
2024-07-02,49284052.886754885,49490874.73665279,1.0041965268232533
2024-07-03,50142064.020994835,50407842.833365306,1.0053005159950972
2024-07-04,50516097.617856435,50739705.219992094,1.0044264623096424
2024-07-05,50462175.05937061,50708119.05713327,1.0048738287137504
2024-07-08,51297734.75975337,51515222.016396046,1.0042397048848501
2024-07-09,50840179.43031731,51094431.02356209,1.0050009971658982
2024-07-10,50788787.62162681,51058697.21695278,1.0053143539738885
2024-07-11,51454502.81934401,51711172.50889508,1.0049882843189104
2024-07-12,51213997.25335432,51394761.382428445,1.003529584464573
2024-07-15,51444958.33771977,51595620.47266304,1.0029286083575812
2024-07-16,51211509.943776466,51423116.74122775,1.004132016370609
2024-07-17,50830982.45012893,51055273.654656254,1.0044124900546114
2024-07-18,51253357.814865835,51407923.41643673,1.0030157165922515
2024-07-19,50781033.53137998,50881930.505871885,1.0019869027366202
2024-07-22,50390695.07233165,50433393.91451176,1.0008473556897521
2024-07-23,51318533.04900775,51366006.15641524,1.0009250675065509
2024-07-26,50469259.166370146,50500401.544556975,1.0006170563765195
2024-07-29,51190538.39216585,51164721.445939355,0.9994956695702493
2024-07-30,50622851.15075162,50646889.97636911,1.0004748611560006
2024-07-31,51178954.42182916,51143130.53822844,0.999300027052029
2024-08-01,52188474.56927818,52039556.82786848,0.9971465396787557
2024-08-02,51567950.236114815,51334127.23718324,0.995465730209152
2024-08-05,48523318.369705625,48431678.02783939,0.9981114164293544
2024-08-06,49671103.11412239,49618189.14907987,0.998934713309649
2024-08-07,49814408.904273175,49764240.8290011,0.9989929003198957
2024-08-08,49215877.69969434,49175150.3462364,0.999172475319724
2024-08-09,50010269.088459186,49949776.06926354,0.9987903880483298
2024-08-12,50211371.46814285,50161743.6546427,0.9990116220280572
2024-08-13,48969574.99495645,49090718.25559828,1.002473847499275
2024-08-14,49410841.08397751,49517019.156949565,1.0021488821206583
2024-08-15,49154333.25641306,49252232.52841173,1.0019916712426549
2024-08-16,49808027.498039745,49872381.37307894,1.0012920382169668
2024-08-19,49865992.532695286,49908627.604215056,1.0008549929391621
2024-08-20,50375760.06936492,50353615.76962046,0.999560417555706
2024-08-21,50138781.19924529,50161444.596731044,1.000452013330673
2024-08-22,50425627.233610325,50418532.51457142,0.9998593033061138
2024-08-23,50184798.34657022,50243353.91046987,1.0011667988281086
2024-08-26,50242191.90838499,50319980.0936222,1.0015482641636944
2024-08-27,50058899.68340424,50218458.55290046,1.0031874226262534
2024-08-28,49895739.084515065,50030457.44895249,1.0026999973727062
