family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,is_c1_reference,feature_set,mode,ridge_lambda
C2_book_size,30,42,2.0,NONE,5,1,20000000.0,0,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false,false,TECH2,BREADTH_REGIME,1.0
C2_book_size,30,42,2.0,NONE,5,1,20000000.0,5,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,40,2.5,NONE,5,1,20000000.0,0,0.08422703364106421,-0.33556429326707726,0.02089614515976999,0.1732017226214993,1417,1.8823066769390433,-0.08355511299247442,0.6416,0.000044080728358351874,0.27101727558734257,true,false,0.8358458063907996,50,342,78,0,0,0.46864930602524746,0.42857142857142855,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,40,2.5,NONE,5,0,20000000.0,0,0.08422703364106421,-0.33556429326707726,0.02089614515976999,0.1732017226214993,1417,1.8823066769390433,-0.08355511299247442,0.6416,0.000044080728358351874,0.27101727558734257,true,false,0.8358458063907996,50,342,78,0,0,0.46864930602524746,0.42857142857142855,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,45,2.0,NONE,5,0,20000000.0,0,0.08512965932109706,-0.3103355975977884,0.021006594239469864,0.18515936165117444,1292,1.8945979626598897,-0.07003813947779713,0.6436,0.00004447099123315077,0.2754132306371044,true,false,0.9452967407761439,44,334,80,0,0,0.4119968243151755,0.48139534883720936,20.0,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,45,2.0,NONE,5,1,20000000.0,0,0.08512965932109706,-0.3103355975977884,0.021006594239469864,0.18515936165117444,1292,1.8945979626598897,-0.07003813947779713,0.6436,0.00004447099123315077,0.2754132306371044,true,false,0.9452967407761439,44,334,80,0,0,0.4119968243151755,0.48139534883720936,20.0,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,35,2.5,NONE,5,1,20000000.0,0,0.08460287511736375,-0.3595394586448538,0.021562520671838458,0.17104801554575824,1563,1.8874161304347763,-0.09516685420506316,0.6344,0.00004593367366831589,0.2757381033209031,true,false,0.7546882235143461,57,325,102,0,0,0.514734806363322,0.38125000000000003,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,35,2.5,NONE,5,0,20000000.0,0,0.08460287511736375,-0.3595394586448538,0.021562520671838458,0.17104801554575824,1563,1.8874161304347763,-0.09516685420506316,0.6344,0.00004593367366831589,0.2757381033209031,true,false,0.7546882235143461,57,325,102,0,0,0.514734806363322,0.38125000000000003,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,40,2.0,NONE,5,1,20000000.0,0,0.08616985637288899,-0.3312651310699465,0.02394946386565899,0.20129487733975732,1482,1.9088493575052206,-0.07946270916208426,0.6614,0.000055586491704575323,0.32940794543558943,true,false,0.9579785546263596,50,400,85,0,0,0.39846523156961067,0.49489795918367346,20.0,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,40,2.0,NONE,5,0,20000000.0,0,0.08616985637288899,-0.3312651310699465,0.02394946386565899,0.20129487733975732,1482,1.9088493575052206,-0.07946270916208426,0.6614,0.000055586491704575323,0.32940794543558943,true,false,0.9579785546263596,50,400,85,0,0,0.39846523156961067,0.49489795918367346,20.0,40,false,false,TECH2,BREADTH_REGIME,1.0
