family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,bootstrap_margin,turnover_headroom
C6_industry,20,42,2.0,INDUSTRY_LIQUIDITY,5,0,20000000.0,0,0.04313668043253793,-0.3439257150417603,0.025037664905220452,0.1904088615861677,1461,1.3914080731782812,-0.1288261770883422,0.2386,-0.00010158963302923373,-0.7368825009700701,false,false,1.051581926019259,47,382,144,0,0,0.2976332127526728,0.5717391304347826,20.0,40,false,-0.4613999999999999,-0.000037664905220450434
C6_industry,25,42,2.0,INDUSTRY_LIQUIDITY,5,0,20000000.0,0,0.030190416019094002,-0.3275968003510916,0.02399716554016473,0.17511064216873412,1790,1.2619244204727882,-0.1336079841564518,0.1166,-0.00015306008131907265,-1.2231184232859325,true,false,1.0078809526869186,47,436,184,0,0,0.32162240567294453,0.5391304347826088,25.0,50,false,-0.5833999999999999,0.0010028344598352716
C6_industry,20,42,2.25,INDUSTRY_LIQUIDITY,5,0,20000000.0,0,0.04019622808461065,-0.3386504499428741,0.024232025015740916,0.18204161740850425,1444,1.3610243585378434,-0.12912899688682639,0.2138,-0.00011261278689434726,-0.8082608686694918,true,false,1.0177450506611185,47,364,145,0,0,0.314286589338182,0.5532608695652175,20.0,45,false,-0.48619999999999997,0.0007679749842590851
C6_industry,25,42,2.25,INDUSTRY_LIQUIDITY,5,0,20000000.0,0,0.031118821775123262,-0.3386170252945909,0.023006929105301437,0.16676993596059847,1762,1.2708466816835438,-0.1381896908721722,0.1206,-0.00015002147181525155,-1.203061740593148,true,false,0.9662910224226603,47,409,183,0,0,0.3443974106952689,0.5147826086956523,25.0,57,false,-0.5793999999999999,0.001993070894698565
C6_industry,20,42,2.5,INDUSTRY_LIQUIDITY,5,0,20000000.0,0,0.02946321110937178,-0.35196475499887336,0.022989896671179923,0.16205145382543978,1416,1.2549739645905438,-0.1465191663900649,0.1276,-0.00015561798635623436,-1.149262745727443,true,false,0.9655756601895568,47,340,141,0,0,0.34414907911208226,0.5228260869565217,20.0,50,false,-0.5724,0.002010103328820078
C6_industry,25,42,2.5,INDUSTRY_LIQUIDITY,5,0,20000000.0,0,0.033036691616214586,-0.3450934585356783,0.021765888444654345,0.154064162502308,1730,1.2894523800672253,-0.13951003765162456,0.1318,-0.00014342369712121674,-1.149119118605827,true,false,0.9141673146754825,47,383,177,0,0,0.3715587485084442,0.4869565217391304,25.0,63,false,-0.5681999999999999,0.003234111555345656
C6_industry,20,42,2.0,INDUSTRY_LIQUIDITY,6,0,20000000.0,0,0.04327511219848201,-0.32719722828338205,0.025208522780171994,0.19244192252214354,1465,1.3928529529924545,-0.12032350194320901,0.2344,-0.00010162534687894881,-0.744098492095671,false,false,1.0587579567672236,47,383,148,0,0,0.29263390071674755,0.5771739130434783,20.0,40,false,-0.46559999999999996,-0.00020852278017199216
C6_industry,25,42,2.0,INDUSTRY_LIQUIDITY,6,0,20000000.0,0,0.024364452881150855,-0.3417251472024607,0.023804514747351953,0.16835067352816524,1786,1.2071719060793398,-0.1464981207200795,0.0828,-0.00017500414844292438,-1.401656219477532,true,false,0.9997896193887821,47,436,180,0,0,0.3267626406597763,0.5356521739130436,25.0,50,false,-0.6172,0.001195485252648048
C6_industry,20,42,2.25,INDUSTRY_LIQUIDITY,6,0,20000000.0,0,0.04655380343919835,-0.3367074746073263,0.024076559471258443,0.18632177066239658,1439,1.4274589664224462,-0.1217999338644648,0.2696,-0.00008872362608726252,-0.6513597226096106,true,false,1.0112154977928547,47,363,141,0,0,0.32016248535690794,0.5478260869565217,20.0,45,false,-0.43039999999999995,0.0009234405287415585
C6_industry,25,42,2.25,INDUSTRY_LIQUIDITY,6,0,20000000.0,0,0.030180428618262534,-0.3439369771725087,0.022870347642516532,0.16496703023773712,1759,1.2618287363140654,-0.14178805996799182,0.1212,-0.00015356256467716057,-1.2017456212439883,true,false,0.9605546009856943,47,408,181,0,0,0.34872081585800013,0.5121739130434783,25.0,57,false,-0.5788,0.002129652357483469
C6_industry,20,42,2.5,INDUSTRY_LIQUIDITY,6,0,20000000.0,0,0.03277628930945431,-0.3287738176852544,0.022848645147748845,0.17282099392409675,1414,1.2869123017509874,-0.13161061953317288,0.1458,-0.00014444786615335287,-1.077578094883187,true,false,0.9596430962054515,47,342,137,0,0,0.3458899074632048,0.5206521739130434,20.0,50,false,-0.5541999999999999,0.0021513548522511562
