dd_cut,vol_cut,breadth_cut,crisis_scale,rank_buffer,score_gap,min_hold,train_score,train_ret,train_mdd,train_sharpe,train_turnover,crisis_2008_09_mdd
-0.18,0.3,0.3,0.5,1,0.05,21,-0.39459440925776496,0.04580968648387529,-0.4236003679925493,0.145482044477527,62.70386439368722,-0.4236003679925493
-0.18,0.3,0.3,0.5,1,0.05,0,-0.39459440925776496,0.04580968648387529,-0.4236003679925493,0.145482044477527,62.70386439368722,-0.4236003679925493
-0.25,0.35,0.25,0.5,0,0.05,0,-0.3948528387305545,0.03674343546655323,-0.41346465092062523,0.14442356018825234,65.14795859061547,-0.41346465092062523
-0.25,0.35,0.25,0.5,0,0.05,21,-0.3948528387305545,0.03674343546655323,-0.41346465092062523,0.14442356018825234,65.14795859061547,-0.41346465092062523
-0.12,0.25,0.4,0.25,1,0.0,0,-0.3957451187302054,-0.08801347963603767,-0.2767412538694781,0.02485125489832176,66.95102142904355,-0.2767412538694781
-0.12,0.25,0.4,0.25,1,0.0,21,-0.3957451187302054,-0.08801347963603767,-0.2767412538694781,0.02485125489832176,66.95102142904355,-0.2767412538694781
-0.12,0.25,0.4,0.25,0,0.0,42,-0.39680033494635253,-0.08441772130061831,-0.2796412709114653,0.028973907067009988,71.27746688193989,-0.2577409891534569
-0.12,0.25,0.4,0.25,1,0.0,42,-0.4070219901977157,-0.10141418054191809,-0.2731647816706799,0.01596516429917751,68.0790888300708,-0.2731647816706799
-0.12,0.25,0.4,0.25,1,0.05,42,-0.4109955852607806,-0.10060537940963776,-0.2776599778517638,0.01590157474439963,68.64077094763812,-0.2710704801675563
-0.18,0.3,0.3,0.5,1,0.1,42,-0.4304710904020966,0.038653664288962775,-0.44989619599475994,0.1414231354750959,66.741744487618,-0.44989619599475994
-0.12,0.25,0.4,0.25,0,0.0,0,-0.4317100063253434,-0.12158712055934018,-0.2732072302192954,-0.0017909898113478253,73.4731131311461,-0.2559192013416681
-0.12,0.25,0.4,0.25,0,0.0,21,-0.4317100063253434,-0.12158712055934018,-0.2732072302192954,-0.0017909898113478253,73.4731131311461,-0.2559192013416681
-0.25,0.35,0.25,0.5,0,0.1,21,-0.4319999414743534,0.020853802099370267,-0.4336043817228594,0.13601006189223436,65.7007360801754,-0.4336043817228594
-0.25,0.35,0.25,0.5,0,0.1,0,-0.4319999414743534,0.020853802099370267,-0.4336043817228594,0.13601006189223436,65.7007360801754,-0.4336043817228594
-0.12,0.25,0.4,0.25,0,0.1,42,-0.44958573664678114,-0.11127931640801647,-0.30351883016340286,0.005391702772347593,70.65352070519313,-0.25861570306568227
-0.12,0.25,0.4,0.25,0,0.05,42,-0.45210533081895987,-0.11364350569072479,-0.30351883016340286,0.0039733301184517525,70.68065595335483,-0.25861570306568227
-0.12,0.25,0.4,0.25,1,0.1,0,-0.4537124570787849,-0.1197159418059609,-0.30056375699046367,-0.00037528016788658655,66.79046053114322,-0.26670469507135397
-0.12,0.25,0.4,0.25,1,0.1,21,-0.4537124570787849,-0.1197159418059609,-0.30056375699046367,-0.00037528016788658655,66.79046053114322,-0.26670469507135397
-0.18,0.3,0.3,0.5,0,0.05,21,-0.46505502549034206,-0.0427018407617783,-0.39756380397398894,0.0910512713115844,67.78901577146652,-0.39756380397398894
-0.18,0.3,0.3,0.5,0,0.05,0,-0.46505502549034206,-0.0427018407617783,-0.39756380397398894,0.0910512713115844,67.78901577146652,-0.39756380397398894
-0.12,0.25,0.4,0.25,1,0.1,42,-0.47170631592691403,-0.1308739506267219,-0.30518280162564015,-0.011905212170848915,68.91808491493408,-0.28794924751237194
-0.18,0.3,0.3,0.5,0,0.1,21,-0.4743358082265995,-0.03891113961992376,-0.4104881659919237,0.09457532313633568,68.78806985677113,-0.4104881659919237
-0.18,0.3,0.3,0.5,0,0.1,0,-0.4743358082265995,-0.03891113961992376,-0.4104881659919237,0.09457532313633568,68.78806985677113,-0.4104881659919237
-0.12,0.25,0.4,0.25,1,0.05,0,-0.4976383582191618,-0.14594206398809972,-0.316148904915841,-0.024860398759557673,66.12269887853063,-0.2698782804919636
-0.12,0.25,0.4,0.25,1,0.05,21,-0.4976383582191618,-0.14594206398809972,-0.316148904915841,-0.024860398759557673,66.12269887853063,-0.2698782804919636
-0.12,0.25,0.4,0.25,0,0.1,0,-0.5452340787929953,-0.1837078214565997,-0.31998039711822057,-0.056329748795581225,71.82577067723393,-0.2644470438310089
-0.12,0.25,0.4,0.25,0,0.1,21,-0.5452340787929953,-0.1837078214565997,-0.31998039711822057,-0.056329748795581225,71.82577067723393,-0.2644470438310089
-0.12,0.25,0.4,0.25,0,0.05,21,-0.5480361543647666,-0.1878588205832915,-0.31860017119715556,-0.06265799983085484,70.62272520246809,-0.2544513801391426
-0.12,0.25,0.4,0.25,0,0.05,0,-0.5480361543647666,-0.1878588205832915,-0.31860017119715556,-0.06265799983085484,70.62272520246809,-0.2544513801391426
