date,nav_base,nav_m2_reloc_bil_fx_c35,rel_chal_vs_base
2024-04-25,8568567.183348129,7782787.986780983,0.9082951466968476
2024-04-26,8601392.683348129,7806892.302202379,0.9076311929481068
2024-04-29,8855287.333348127,8025268.685343042,0.9062685809325105
2024-04-30,8895669.083348127,8072597.107543269,0.9074749782064654
2024-05-02,8994594.033348128,8181701.864017921,0.9096243625541799
2024-05-03,9016746.295153253,8194601.746860584,0.9088202638312455
2024-05-06,9343612.348630752,8483455.460153975,0.9079417192856006
2024-05-07,9365712.824454628,8511498.871294945,0.9087934929064597
2024-05-08,9383295.22344138,8523765.26897736,0.9083978566168591
2024-05-09,9266697.973441377,8424384.087631153,0.9091031251666646
2024-05-10,9525817.173441378,8678826.412146503,0.9110847136919294
2024-05-13,9533206.523441378,8681245.027369415,0.9106322207562525
2024-05-14,9478790.523441378,8647497.982619165,0.9122997244462362
2024-05-15,9495471.87344138,8648992.776210327,0.9108544463599924
2024-05-16,9496975.323441379,8648800.368851006,0.9106899906861058
2024-05-17,9492157.023441378,8643631.739738371,0.9106077489439408
2024-05-20,9474177.973441377,8627451.806660485,0.910628007078346
2024-05-21,9384199.72344138,8543406.792927956,0.9104033422889377
2024-05-22,9408409.023441378,8569359.466609163,0.9108191879475378
2024-05-23,9368835.209770128,8547077.930826353,0.9122882129374184
2024-05-24,9336128.909770127,8516900.991118314,0.9122518629970391
2024-05-27,9356959.339911504,8543182.094065966,0.9130297336684554
2024-05-28,9352670.939911503,8538204.778146755,0.9129161961329033
2024-05-29,9194345.439911503,8413728.754702805,0.9150981774276025
2024-05-30,9114060.989911504,8342294.270543147,0.9153213128349
2024-05-31,9178779.244834254,8404051.774422873,0.91559580530849
2024-06-03,9138594.439930879,8348575.478241059,0.9135513708500018
2024-06-04,9049767.839930879,8269314.083022599,0.9137598034874848
2024-06-05,9113304.489654627,8330181.039675638,0.9140681131780479
2024-06-06,9201537.539654627,8406182.840385739,0.9135628479652171
2024-06-07,9265651.189654628,8468721.520745896,0.9139909702408691
2024-06-11,9239110.877534878,8451542.375859093,0.9147571111425044
2024-06-12,9249430.627534878,8459913.191823248,0.9146415095691086
2024-06-13,9317787.677534878,8519154.837486394,0.9142894356807483
2024-06-14,9402649.777534878,8600464.23816156,0.9146851623369057
2024-06-17,9433694.677534878,8622597.378664108,0.9140212476027771
2024-06-18,9545033.277534878,8722170.986361554,0.9137915743981735
2024-06-19,9628625.027534878,8810484.099433359,0.9150303469330366
2024-06-20,9646693.427534878,8825954.50160328,0.9149201815008512
2024-06-21,9655206.177534876,8835833.757952165,0.9151367247351821
2024-06-24,9694226.427534878,8861419.548681736,0.9140924874121271
2024-06-25,9641297.877534878,8798546.751495581,0.9125894525048349
2024-06-26,9605300.527534878,8781565.639424363,0.9142416329661764
2024-06-27,9618740.87753488,8794582.307582026,0.914317416339001
2024-06-28,9651697.627534878,8819495.177467821,0.9137765725593283
2024-07-01,9719094.477534877,8875379.694424048,0.9131899802948693
2024-07-02,9673339.627534878,8831861.50563217,0.9130105884520517
2024-07-03,9884241.877534878,8962543.178941045,0.9067506936785218
2024-07-04,9903062.127534878,9009036.32479915,0.9097222867813843
2024-07-05,9904655.227534879,9004804.692942599,0.9091487271469378
2024-07-08,10031656.577534879,9132728.889626974,0.910390902942094
2024-07-09,9943371.877534878,9063723.425075883,0.911534189478884
2024-07-10,9933857.227534877,9055238.253943525,0.9115530902582355
2024-07-11,10040529.927534878,9156177.590949418,0.9119217468631574
2024-07-12,10017235.027534878,9122593.188044136,0.9106897425255976
2024-07-15,10052584.827534879,9162596.181060933,0.9114666862560371
2024-07-16,10011501.127534878,9126777.847891077,0.9116293082951842
2024-07-17,9954542.427534878,9067733.807565644,0.9109141754706609
2024-07-18,10057627.077534879,9136707.474378267,0.9084356979974317
2024-07-19,9966299.134449877,9068983.259632414,0.909964986730554
2024-07-22,9907229.531279128,9005630.308220495,0.9089958277223615
2024-07-23,10070778.431279128,9152594.478478968,0.9088269135235519
2024-07-26,9932728.78127913,9025229.133011267,0.9086354144715713
2024-07-29,10064578.531279128,9131813.091649147,0.9073219572254225
2024-07-30,9955886.863783503,9044712.301116902,0.9084788150836489
