signal_date,execution_date,code,side,gross_value,cost,period
2019-03-05,2019-03-06,2892,SELL,0.00047150661507035924,2.3221700792215194e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,2382,SELL,0.0001861855102982951,9.169636382191035e-7,VALIDATION_2019_2022
2019-03-05,2019-03-06,2886,SELL,0.0006692221956795044,3.2959193137215596e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,2002,SELL,0.0003658863074588667,1.8019900642349187e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,2308,SELL,0.05245220020672451,0.00025832708601811823,VALIDATION_2019_2022
2019-03-05,2019-03-06,2887,SELL,0.052779389617170845,0.00025993849386456646,VALIDATION_2019_2022
2019-03-05,2019-03-06,2885,SELL,0.0009309871626714122,4.585111776156706e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,2884,SELL,0.0011977396807463306,5.898867927675679e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,2891,SELL,0.0000910500751672011,4.484216201984654e-7,VALIDATION_2019_2022
2019-03-05,2019-03-06,1326,SELL,0.0007217217067486958,3.5544794057373275e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,1402,SELL,0.050422141861490785,0.00024832904866784215,VALIDATION_2019_2022
2019-03-05,2019-03-06,2454,SELL,0.053189467777677406,0.00026195812880506125,VALIDATION_2019_2022
2019-03-05,2019-03-06,2317,BUY,0.0007428799193043545,1.4300438446608825e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,1301,BUY,0.0005418693106770468,1.0430984230533151e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,1303,BUY,0.00021967136667704214,4.228673808533061e-7,VALIDATION_2019_2022
2019-03-05,2019-03-06,2633,BUY,0.05213729562702176,0.0001003642940820169,VALIDATION_2019_2022
2019-03-05,2019-03-06,2324,BUY,0.05213729562702176,0.0001003642940820169,VALIDATION_2019_2022
2019-03-05,2019-03-06,1101,BUY,0.0008790943192806123,1.6922565646151787e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,2412,BUY,0.05213729562702176,0.0001003642940820169,VALIDATION_2019_2022
2019-03-05,2019-03-06,2330,BUY,0.00008395324636274389,1.6160999924828198e-7,VALIDATION_2019_2022
2019-03-05,2019-03-06,1102,BUY,7.82036709084856e-6,1.5054206649883478e-8,VALIDATION_2019_2022
