fill_id,signal_date,fill_date,code,sleeve,side,quantity,fill_price,fill_price_adj,ohlc_basis,t1_drag_vs_signal_ext_pct,dh_exposure,cool_exposure_cf,defense_dh,defense_cool_cf,e16_financial,e16_telecom,e16_0050,mechanisms,extremes
2026-08-27-0050-BUY,2026-08-27,2026-08-28,0050,0050,BUY,42000,107.15354999999998,107.15355,adj_close_scaled,1.1837,,1.0,False,False,0.7478820946012026,0.2127714526797224,0.0393464527190748,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.6421, 'low': 102.4, 'high': 108.7, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 16.4712, 'low': 92.0, 'high': 113.75, 'n_bars': 41}}"
2026-08-27-2412-BUY,2026-08-27,2026-08-28,2412,TEL,BUY,28000,136.06799999999998,136.068,adj_close_scaled,0.4192,,1.0,False,False,0.7478820946012026,0.2127714526797224,0.0393464527190748,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 0.7911, 'low': 135.0, 'high': 138.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 0.7911, 'low': 135.0, 'high': 146.0, 'n_bars': 41}}"
2026-08-27-2880-BUY,2026-08-27,2026-08-28,2880,FIN,BUY,530000,39.369675,39.369675,adj_close_scaled,0.05,,1.0,False,False,0.7478820946012026,0.2127714526797224,0.0393464527190748,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.994, 'low': 38.6, 'high': 44.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.6044, 'low': 38.0, 'high': 48.3, 'n_bars': 41}}"
2026-08-27-2886-BUY,2026-08-27,2026-08-28,2886,FIN,BUY,452000,46.92345,46.92345,adj_close_scaled,1.7862,,1.0,False,False,0.7478820946012026,0.2127714526797224,0.0393464527190748,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.7862, 'low': 46.1, 'high': 50.9, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.3903, 'low': 44.95, 'high': 52.9, 'n_bars': 41}}"
2026-08-27-2892-BUY,2026-08-27,2026-08-28,2892,FIN,BUY,626000,33.516749999999995,33.51675,adj_close_scaled,0.6509,,1.0,False,False,0.7478820946012026,0.2127714526797224,0.0393464527190748,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 0.9541, 'low': 33.2, 'high': 37.3, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.2874, 'low': 32.45, 'high': 40.95, 'n_bars': 41}}"
2026-08-27-3045-BUY,2026-08-27,2026-08-28,3045,TEL,BUY,33000,115.55775,115.55775,adj_close_scaled,0.485,,1.0,False,False,0.7478820946012026,0.2127714526797224,0.0393464527190748,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.813, 'low': 113.5, 'high': 118.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 7.4956, 'low': 107.5, 'high': 125.5, 'n_bars': 41}}"
2026-08-27-4904-BUY,2026-08-27,2026-08-28,4904,TEL,BUY,38000,101.55075,101.55075,adj_close_scaled,1.0455,,1.0,False,False,0.7478820946012026,0.2127714526797224,0.0393464527190748,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.7543, 'low': 99.8, 'high': 104.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.5176, 'low': 98.1, 'high': 107.5, 'n_bars': 41}}"
2026-08-27-5880-BUY,2026-08-27,2026-08-28,5880,FIN,BUY,834000,25.11255,25.11255,adj_close_scaled,0.6515,,1.0,False,False,0.7478820946012026,0.2127714526797224,0.0393464527190748,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.8765, 'low': 24.65, 'high': 26.85, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 5.2937, 'low': 23.85, 'high': 27.6, 'n_bars': 41}}"
2026-08-28-2412-SELL,2026-08-28,2026-08-31,2412,TEL,SELL,13000,135.93200000000002,135.932,adj_close_scaled,0.4161,,1.0,False,False,0.7700909121334123,0.1712221378720195,0.0586869499945679,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 1.8542, 'low': 135.0, 'high': 138.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 6.8959, 'low': 135.0, 'high': 146.0, 'n_bars': 40}}"
2026-08-28-3045-SELL,2026-08-28,2026-08-31,3045,TEL,SELL,15000,114.9425,114.9425,adj_close_scaled,0.4827,,1.0,False,False,0.7700909121334123,0.1712221378720195,0.0586869499945679,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 2.5911, 'low': 113.5, 'high': 118.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 8.4124, 'low': 107.5, 'high': 125.5, 'n_bars': 40}}"
2026-08-28-4904-SELL,2026-08-28,2026-08-31,4904,TEL,SELL,18000,99.7501,99.7501,adj_close_scaled,1.724,,1.0,False,False,0.7700909121334123,0.1712221378720195,0.0586869499945679,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 4.5454, 'low': 99.8, 'high': 104.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 7.2092, 'low': 98.1, 'high': 107.5, 'n_bars': 40}}"
2026-08-28-0050-BUY,2026-08-28,2026-08-31,0050,0050,BUY,101000,105.65279999999998,105.6528,adj_close_scaled,-0.9814,,1.0,False,False,0.7700909121334123,0.1712221378720195,0.0586869499945679,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.1766, 'low': 102.4, 'high': 110.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 5.9176, 'low': 99.75, 'high': 113.75, 'n_bars': 40}}"
2026-08-28-2880-BUY,2026-08-28,2026-08-31,2880,FIN,BUY,434000,40.270125,40.270125,adj_close_scaled,2.3383,,1.0,False,False,0.7700909121334123,0.1712221378720195,0.0586869499945679,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 2.8611, 'low': 39.15, 'high': 44.7, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 5.974, 'low': 38.0, 'high': 48.3, 'n_bars': 40}}"
2026-08-28-2886-BUY,2026-08-28,2026-08-31,2886,FIN,BUY,363000,47.92395,47.92395,adj_close_scaled,2.9516,,1.0,False,False,0.7700909121334123,0.1712221378720195,0.0586869499945679,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.9565, 'low': 46.1, 'high': 50.9, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 6.6161, 'low': 44.95, 'high': 52.9, 'n_bars': 40}}"
2026-08-28-2892-BUY,2026-08-28,2026-08-31,2892,FIN,BUY,508000,34.31715,34.31715,adj_close_scaled,2.5924,,1.0,False,False,0.7700909121334123,0.1712221378720195,0.0586869499945679,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.2095, 'low': 33.25, 'high': 38.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 5.7539, 'low': 32.45, 'high': 40.95, 'n_bars': 40}}"
2026-08-28-5880-BUY,2026-08-28,2026-08-31,5880,FIN,BUY,693000,25.262625,25.262625,adj_close_scaled,0.8488,,1.0,False,False,0.7700909121334123,0.1712221378720195,0.0586869499945679,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.6605, 'low': 24.85, 'high': 26.85, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 5.923, 'low': 23.85, 'high': 27.6, 'n_bars': 40}}"
2026-08-31-2412-SELL,2026-08-31,2026-09-01,2412,TEL,SELL,35000,135.93200000000002,135.932,adj_close_scaled,0.05,,1.0,False,False,0.7950658226458608,0.1360668492773293,0.0688673280768098,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 2.2072, 'low': 135.0, 'high': 139.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 6.8959, 'low': 135.0, 'high': 146.0, 'n_bars': 39}}"
2026-08-31-3045-SELL,2026-08-31,2026-09-01,3045,TEL,SELL,41000,114.9425,114.9425,adj_close_scaled,0.9116,,1.0,False,False,0.7950658226458608,0.1360668492773293,0.0688673280768098,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 2.5911, 'low': 113.5, 'high': 118.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 8.4124, 'low': 107.5, 'high': 125.5, 'n_bars': 39}}"
2026-08-31-4904-SELL,2026-08-31,2026-09-01,4904,TEL,SELL,47000,100.44975,100.44975,adj_close_scaled,0.5448,,1.0,False,False,0.7950658226458608,0.1360668492773293,0.0688673280768098,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 3.8758, 'low': 99.8, 'high': 104.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 6.5584, 'low': 98.1, 'high': 107.5, 'n_bars': 39}}"
