date,nav_core,nav_alpha,nav_combined,exposure_e45,core_w,alpha_w,cash_w,ret_combined
2025-04-08,4256395.989635159,686875.9313451487,4943271.920980308,0.6102857968479668,0.8,0.1220571593695933,0.0779428406304065,0.0105039494728519
2025-04-09,4162327.239664271,665182.7210409493,4827509.960705221,0.6102857968479668,0.8,0.1220571593695933,0.0779428406304065,-0.0239969366141701
2025-04-10,4352584.333659009,694487.9351425485,5047072.268801558,0.6102857968479668,0.8,0.1220571593695933,0.0779428406304065,0.0453786228619226
2025-04-11,4356165.362118026,672395.0290106522,5028560.391128679,0.6102857968479668,0.8,0.1220571593695933,0.0779428406304065,-0.0057041695964174
2025-04-14,4325517.532519315,720236.9511362971,5045754.483655613,0.5374741449232934,0.8,0.1074948289846586,0.0925051710153412,0.0086018969695692
2025-04-15,4346987.447813301,719241.8144902582,5066229.262303559,0.5374741449232934,0.8,0.1074948289846586,0.0925051710153412,0.0036945027539711
2025-04-16,4349468.350867707,733828.0315227619,5083296.382390469,0.5374741449232934,0.8,0.1074948289846586,0.0925051710153412,0.004512572292384
2025-04-17,4337547.170400397,715286.9738099873,5052834.144210384,0.5374741449232934,0.8,0.1074948289846586,0.0925051710153412,-0.0072459122335267
2025-04-18,4327783.47825639,722027.7607171807,5049811.238973571,0.5374741449232934,0.8,0.1074948289846586,0.0925051710153412,8.400165877343337e-05
2025-04-21,4349722.742086462,719695.2840287383,5069418.0261152,0.5328044817839528,0.8,0.1065608963567905,0.0934391036432094,0.0034094290952132
2025-04-22,4349407.178016306,699430.8217428031,5048837.999759109,0.5328044817839528,0.8,0.1065608963567905,0.0934391036432094,-0.0056894390747633
2025-04-23,4341659.721393307,718006.2648720609,5059665.986265368,0.5328044817839528,0.8,0.1065608963567905,0.0934391036432094,0.0038865745696554
2025-04-24,4296536.245606411,729193.3221710317,5025729.567777443,0.5328044817839528,0.8,0.1065608963567905,0.0934391036432094,-0.0051983669582841
