date,nav_core
2020-03-25,2496649.556658575
2020-03-26,2496702.154106949
2020-03-27,2514326.920666815
2020-03-30,2501552.8615099303
2020-03-31,2503151.835288389
2020-04-01,2472481.820573913
2020-04-06,2502478.3382957233
2020-04-07,2513169.606584305
2020-04-08,2531587.3431056915
2020-04-09,2532522.8911396903
2020-04-10,2572600.983642526
2020-04-13,2526509.0890167137
2020-04-14,2561753.7767329286
2020-04-15,2597252.5436010514
2020-04-16,2563143.864312693
2020-04-17,2574850.087462672
2020-04-20,2571665.140062248
2020-04-21,2524392.4602938564
2020-04-22,2526285.3443016335
2020-04-23,2524818.8565300344
2020-04-24,2521984.15478163
2020-04-27,2560775.124829818
2020-04-28,2606959.2023467384
2020-04-29,2633061.6802584077
2020-04-30,2653297.825092662
2020-05-04,2609193.105708741
2020-05-05,2619216.7495353003
2020-05-06,2609622.3174754204
2020-05-07,2608812.2770528602
2020-05-08,2627862.1139576584
2020-05-11,2655121.266417241
2020-05-12,2637109.051774732
2020-05-13,2641840.8294955567
2020-05-14,2629011.9311027057
2020-05-15,2625210.0490900236
2020-05-18,2626185.6267894246
2020-05-19,2657984.160327457
2020-05-20,2669445.3133725044
2020-05-21,2673355.624429246
2020-05-22,2638785.710342793
2020-05-25,2644133.350438083
2020-05-26,2665424.252841432
2020-05-27,2667844.558188326
2020-05-28,2665751.80955067
2020-05-29,2668176.710791111
2020-06-01,2683353.032157259
2020-06-02,2706571.578175238
2020-06-03,2745323.566781017
2020-06-04,2744860.533993727
2020-06-05,2741618.0294201556
2020-06-08,2762225.5313085886
2020-06-09,2762477.010447941
2020-06-10,2773956.8455076567
2020-06-11,2735093.286245237
2020-06-12,2708347.7792171445
2020-06-15,2689097.930977938
2020-06-16,2724837.7030082126
2020-06-17,2737633.858989238
2020-06-18,2719829.6510843113
2020-06-19,2704486.487434513
2020-06-22,2711774.156114793
2020-06-23,2714102.032935903
2020-06-24,2718826.596358344
2020-06-29,2709216.1963312016
2020-06-30,2723083.993043192
2020-07-01,2735632.7399374074
2020-07-02,2752274.8029650506
2020-07-03,2756435.0795652783
2020-07-06,2797683.2241518754
2020-07-07,2787451.5168483066
2020-07-08,2791547.16724174
2020-07-09,2782624.665465447
2020-07-10,2771502.7732993737
2020-07-13,2768798.345274234
2020-07-14,2773271.1196675072
2020-07-15,2784601.3590077227
2020-07-16,2769523.5372859947
2020-07-17,2779505.9599191947
2020-07-20,2780109.1567624146
2020-07-21,2802287.5772752217
2020-07-22,2806564.226439221
2020-07-23,2800675.6669075196
2020-07-24,2776017.9887836752
2020-07-27,2768034.5812555375
2020-07-28,2778845.342776347
2020-07-29,2790931.181059387
2020-07-30,2811270.109364763
2020-07-31,2807928.781277057
2020-08-03,2785912.32345722
2020-08-04,2794573.426695585
2020-08-05,2808111.9077761155
2020-08-06,2838456.1247035754
2020-08-07,2835249.12720813
2020-08-10,2831170.782339781
2020-08-11,2815519.5519737503
2020-08-12,2808530.077349489
2020-08-13,2757998.5098491292
