date,nav_base,nav_chal,rel_chal_vs_base
2024-12-25,1492312012.630441,1576232576.0875502,1.0562352663161811
2024-12-26,1500777934.480441,1580671336.03755,1.0532346589868857
2024-12-27,1497841526.080441,1575079434.03755,1.051566141418996
2024-12-30,1501290122.530441,1572247554.28755,1.047264303342987
2024-12-31,1487943936.130441,1562100418.0875502,1.0498382231725485
2025-01-02,1490320486.630441,1561395356.48755,1.0476909970001196
2025-01-03,1492712009.080441,1566131931.03755,1.049185590730484
2025-01-06,1521366308.830441,1591054347.5875502,1.0458062192863218
2025-01-07,1513184090.380441,1583675216.43755,1.0465846333603643
2025-01-08,1516019297.530441,1588535744.78755,1.0478334592278848
2025-01-09,1517220618.830441,1583528189.88755,1.0437033152820074
2025-01-10,1510510774.530441,1574668627.88755,1.0424742772040492
2025-01-13,1501729873.4304411,1565576608.38755,1.0425154590627288
2025-01-14,1522293568.530441,1580004837.78755,1.0379107357806294
2025-01-15,1520845889.530441,1580358941.5875502,1.0391315467706486
2025-01-16,1532270022.2233431,1593091324.7092211,1.0396935929070945
2025-01-17,1525788285.5914292,1586365729.750021,1.039702391695261
2025-01-20,1522699952.2574124,1583478571.250021,1.0399150330979545
2025-01-21,1536877390.5574124,1596221817.450021,1.038613637793894
2025-01-22,1543473072.9074125,1596485659.9000208,1.0343462985672627
2025-02-03,1543642856.6074123,1599808107.600021,1.0363848740997301
2025-02-04,1531348402.2248194,1587630706.750021,1.0367534288365938
2025-02-05,1538069139.2193954,1595135051.700021,1.0371023064084024
2025-02-07,1538764277.4279034,1595098768.9041476,1.036610215289381
2025-02-10,1536660437.2279031,1590461686.5041478,1.0350118008981222
2025-02-11,1529275575.1779032,1585309884.9541476,1.0366410807089008
2025-02-12,1536286638.0279033,1592780917.8041477,1.0367732676818466
2025-02-13,1539580329.2279034,1594604366.6041477,1.0357396339324747
2025-02-14,1532795125.4885721,1591543237.7873182,1.0383274394091124
2025-02-17,1539799728.118026,1593958515.5408368,1.0351726178631067
2025-02-18,1546259163.718026,1602326544.640837,1.0362600152926469
2025-02-19,1540600702.3180258,1594699647.940837,1.0351154880959177
2025-02-20,1537644111.3680258,1590354632.090837,1.0342800524081708
2025-02-21,1542049555.3440292,1598455606.474326,1.036578624166013
2025-02-24,1533308535.3599534,1591130872.174733,1.037710829543648
2025-02-25,1527833722.527151,1586114848.1415815,1.0381462490028228
2025-02-26,1544634414.8427997,1602739741.0149088,1.0376175265899554
2025-02-27,1538929397.4233398,1595095873.414909,1.0364971103194272
2025-03-03,1545192030.3241396,1604132673.336589,1.0381445424618747
2025-03-04,1529710993.6183202,1589372587.8496392,1.0390018732167163
2025-03-05,1528615905.2837765,1588613523.669331,1.0392496363397556
2025-03-06,1531823544.1391447,1589281877.199518,1.0375097597110403
2025-03-07,1525495568.4891448,1585769514.5615847,1.0395110594337127
2025-03-10,1525062519.8281112,1585888890.250692,1.0398845094097757
2025-03-11,1512992260.2196856,1582563642.2306707,1.0459826423704794
2025-03-12,1520673668.0526428,1581722743.5142338,1.0401460725888478
2025-03-13,1522535231.5982463,1585667092.6367342,1.0414649590553098
2025-03-14,1525176655.5485816,1584125005.686734,1.0386501786030482
2025-03-17,1524199132.0469832,1581988730.4537232,1.037914729900895
2025-03-18,1534085692.3278677,1588314062.5037231,1.0353489837282608
2025-03-19,1531173061.486697,1582397062.0037231,1.0334540894203625
2025-03-20,1537254367.6368396,1588308447.653723,1.0332112115546412
2025-03-21,1535381633.0368397,1585619856.2537231,1.032720349218661
2025-03-24,1532630186.9368398,1586724759.9537232,1.03529525483574
2025-03-25,1533998594.9868398,1585416235.1037233,1.0335187009198823
2025-03-26,1535793505.1868396,1587343065.303723,1.0335654239601777
2025-03-27,1544906327.3368397,1592132346.8537233,1.030568856299717
2025-03-28,1536366933.8368397,1586066084.553723,1.0323484902091504
2025-03-31,1517649771.5368397,1575579389.8537233,1.038170610507997
2025-04-01,1525809571.728044,1580183037.403723,1.0356358137235295
2025-04-02,1525349620.8945591,1578873880.2037232,1.0350898302762708
2025-04-07,1396059754.694559,1515539742.0727963,1.0855837201641687
2025-04-08,1450470367.5311882,1558030882.0197763,1.074155609722427
2025-04-09,1404694141.789775,1513724666.3688724,1.077618693874652
2025-04-10,1471293960.9897747,1595426651.5424623,1.0843697410877569
2025-04-11,1468748214.9521255,1584440228.9424624,1.0787691265341268
2025-04-14,1453917932.0021255,1565643572.6924624,1.0768445303762673
2025-04-15,1464720887.8021255,1573121108.9924624,1.0740074249593012
2025-04-16,1455870105.7521255,1568097506.7424624,1.0770861360137334
2025-04-17,1452016560.4021256,1556879824.4924624,1.0722190551747535
2025-04-18,1450547253.9021256,1553549106.4013002,1.0710089603920787
2025-04-21,1450215125.2021255,1551508639.1423686,1.069847233131102
2025-04-22,1447306699.5521255,1545278224.1228347,1.0676923036430543
2025-04-23,1447834941.7521255,1551348063.5228345,1.0714951123126235
2025-04-24,1438242387.1521256,1548190050.6514661,1.0764458511871902
2025-04-25,1439544407.1021254,1547514312.7014663,1.0750028308030384
2025-04-28,1444940548.4021256,1548277236.0014663,1.071516221005504
2025-04-29,1459019279.7521255,1555537947.9514663,1.0661531136283124
2025-04-30,1468366633.6021256,1559649182.4014661,1.0621660467559186
2025-05-02,1459463281.9700735,1558945889.0014663,1.0681638299917384
2025-05-05,1464425151.7768054,1559135561.221178,1.0646741209883341
2025-05-06,1485461313.0899084,1568643911.171178,1.0559978219212196
2025-05-07,1487926393.7332048,1568905544.521178,1.0544241644808763
2025-05-08,1483779105.983205,1565355576.771178,1.0549788512717446
2025-05-09,1502317866.433205,1574720728.8211782,1.048194103262495
2025-05-12,1511929478.583205,1580811505.871178,1.0455590212795645
2025-05-13,1506224364.610543,1578254828.8864915,1.0478218690178824
2025-05-14,1509960053.6411276,1581495446.7864916,1.047375685848684
2025-05-15,1513281903.8517966,1587772868.9364915,1.0492247775481165
2025-05-16,1520598957.6504862,1589755306.1364915,1.0454796763723029
2025-05-19,1527386956.1004865,1593566374.0864916,1.0433285211201262
2025-05-20,1530121253.4004862,1594925713.4263852,1.0423524997655447
2025-05-21,1541314954.7004864,1605742462.5197787,1.0418003521102617
2025-05-22,1526560299.0004864,1589411355.7529993,1.041171683027303
2025-05-23,1528279522.4956882,1593248504.3148406,1.0425111904352795
2025-05-26,1533261826.9456882,1600521016.7648404,1.0438667347201456
2025-05-27,1517443711.6456883,1582782090.6648405,1.0430581895840418
2025-05-28,1511276051.0456882,1576766634.4648404,1.0433346266380903
2025-05-29,1495269349.8456883,1560187461.5648406,1.0434156640245797
2025-06-02,1490257397.2456884,1548670728.2648404,1.0391968066235484
2025-06-03,1486761524.2456882,1546794252.7531517,1.0403781827337246
2025-06-04,1495777873.0956883,1550809473.1825936,1.036791291726365
2025-06-05,1500807082.6708694,1558914240.904916,1.0387172734623813
2025-06-06,1508932320.8235202,1569961884.6557186,1.0404455276025175
2025-06-09,1519492400.0161686,1575611463.5872073,1.0369327701609048
2025-06-10,1529814071.6723092,1587311913.7557108,1.0375848563221466
2025-06-18,1510893016.2297711,1553954087.4526372,1.0285004105256368
2025-06-19,1506943957.5528424,1547587823.6948397,1.0269710535274317
2025-06-20,1499841818.474847,1541584734.2123613,1.027831545449214
2025-06-23,1489304405.0145836,1528279066.0718324,1.0261697077682834
2025-06-24,1499378459.8456292,1530639622.6351345,1.0208494143584828
2025-06-25,1518768811.5966747,1548797432.1676888,1.019771686343391
2025-06-26,1522230892.042143,1547336988.795413,1.01649296232557
2025-06-27,1532591106.5258555,1553916031.7423234,1.013914295290939
2025-06-30,1526171841.9486654,1554606358.0049999,1.0186312676428548
2025-07-01,1539084961.3075051,1558945469.7874196,1.0129041014493718
2025-07-02,1541177226.3928607,1559230264.1374197,1.0117137973721635
2025-07-03,1547104692.6769707,1563643674.2612915,1.0106902795024837
2025-07-04,1549601048.5924063,1567278722.1612914,1.0114078869428635
2025-07-07,1562573343.8233967,1567643690.5112915,1.0032448695659228
2025-07-08,1559603881.867868,1564558675.1112916,1.0031769562137083
2025-07-09,1549483909.3021307,1561219083.7612915,1.0075736020159423
2025-07-10,1564399341.0857122,1568926058.3612914,1.0028935816812845
2025-07-11,1569414706.6266632,1572456281.3612916,1.001938031242976
2025-07-14,1573493473.857161,1573780065.6112916,1.0001821372372317
2025-07-15,1568162968.4333186,1573005824.4612916,1.0030882351678099
2025-07-16,1573850626.2223504,1575232877.8112915,1.0008782609771925
2025-07-17,1582507413.973612,1579054624.6112916,0.9978181528049523
2025-07-18,1580553271.3672936,1578776175.1112916,0.9988756492500473
2025-07-21,1577491901.928507,1576374062.0112915,0.9992913815178075
2025-07-22,1578289487.1499145,1574365008.4112914,0.9975134607620622
2025-07-23,1579886055.569138,1575839051.5112915,0.9974384202939315
2025-07-24,1581711969.4772096,1577192789.280294,0.9971428551568657
2025-07-25,1580021072.4999807,1576825338.6632242,0.9979774106229482
2025-07-28,1574578043.5540023,1573766262.049204,0.9994844450498205
2025-07-29,1575446158.3271685,1573519645.2479122,0.9987771634917045
2025-07-30,1581229073.7912495,1577747702.3280568,0.9977983130206141
2025-07-31,1575912346.9912043,1576011892.8084328,1.0000631671028015
2025-08-01,1587594240.782859,1581553120.6002624,0.996194795856895
2025-08-04,1602227113.8234265,1587254009.157758,0.9906548175745585
2025-08-05,1611163271.0676947,1594984524.2096798,0.9899583442916413
2025-08-06,1620302777.0307605,1598788796.9607246,0.9867222469929597
2025-08-07,1598606155.767388,1589097615.110115,0.994051980456244
2025-08-08,1597756064.3560007,1587636021.2771516,0.9936660900217406
2025-08-11,1595456129.1209059,1587010482.905936,0.9947064378262639
2025-08-12,1606923743.9472437,1592899217.205936,0.9912724379149082
2025-08-13,1617243815.197641,1599026958.5059361,0.988735862508475
2025-08-14,1638323893.9148223,1610372107.305936,0.9829387908503888
2025-08-15,1626070369.1344206,1603918584.105936,0.9863771055367817
2025-08-18,1635445732.7258327,1606827689.355936,0.9825013800230483
2025-08-19,1634993059.6170547,1608123570.8059363,0.9835659921287913
2025-08-20,1624548750.6634324,1602837024.055936,0.9866352261828834
2025-08-21,1625323278.16183,1603715077.955936,0.9867052908819888
2025-08-22,1609484652.8494532,1594988886.4059362,0.9909935354662417
2025-08-25,1606827206.8921998,1592605078.3059363,0.991148937156864
2025-08-26,1588480362.3705,1585339761.5559363,0.9980228897448395
2025-08-27,1592487105.2696164,1586376556.605936,0.9961628897066355
2025-08-28,1592894202.92874,1586660880.6559362,0.9960867945521159
2025-08-29,1594907084.325644,1588016350.5059361,0.9956795390230389
2025-09-01,1605304374.9475493,1591648764.7559361,0.9914934448539957
2025-09-02,1621154328.666355,1598607092.5059361,0.9860918632102305
2025-09-03,1628227016.1615908,1602463089.3059363,0.9841766985807724
2025-09-04,1639227809.311591,1610639058.0572252,0.982559622834625
2025-09-05,1638025663.4438329,1610038294.129593,0.9829139616436787
2025-09-08,1644327323.29031,1613076821.051715,0.9809949626233404
2025-09-09,1661641360.812878,1629271170.689606,0.9805191475810181
2025-09-10,1676240178.7431767,1642533748.189606,0.9798916462085742
2025-09-11,1668264144.3967237,1635929468.289606,0.980617771942338
2025-09-12,1677025887.7791562,1644331402.189606,0.9805044836649202
2025-09-15,1664683755.4784763,1633891340.2396061,0.9815025435686915
2025-09-16,1667015083.555867,1635918482.689606,0.9813459391141622
2025-09-17,1658896887.0555623,1627990801.039606,0.9813694954417496
2025-09-18,1671987802.7055624,1639591727.7396061,0.9806242157308003
2025-09-19,1670730101.4555624,1639216258.139606,0.981137681491163
2025-09-22,1674872306.5055623,1643550841.1396062,0.9812991920373292
2025-09-23,1679140409.7055624,1647927360.539606,0.9814112929535003
2025-09-24,1683005691.0055623,1651949665.689606,0.9815472844316997
2025-09-25,1672882827.7555623,1642969779.789606,0.9821188624393441
2025-09-26,1664258102.8555622,1634968904.789606,0.9824010482414349
2025-09-30,1688323852.5055623,1658699635.839606,0.9824534750119224
2025-10-01,1687577943.5555623,1659730723.639606,0.9834987059280444
2025-10-02,1679973383.8555622,1650738474.339606,0.9825979924462483
2025-10-03,1676353314.4055622,1647359386.739606,0.982704166587795
2025-10-07,1669865203.3055623,1641181091.389606,0.9828224985710374
2025-10-08,1678159476.9728374,1647434249.339606,0.9816911157402899
2025-10-09,1672577143.8728375,1642627132.589606,0.9820934948244704
2025-10-13,1671881636.7728376,1639676395.789606,0.9807371285892009
2025-10-14,1684071206.5728376,1650994949.439606,0.9803593476308265
2025-10-15,1687443668.2228377,1654495355.839606,0.9804744223444616
2025-10-16,1697097839.7728376,1663685534.9896061,0.98031209279737
2025-10-17,1684915823.8228376,1652315564.039606,0.9806516982496691
2025-10-20,1683285977.9728374,1650754221.189606,0.9806736602045428
2025-10-21,1685415788.0228376,1653641933.6324306,0.9811477650700774
2025-10-22,1691824960.3228376,1659298541.8824303,0.9807743595210934
2025-10-23,1686928268.4228377,1654907006.6824305,0.9810180063137214
2025-10-27,1687089690.4728377,1652975203.5324304,0.9797790910980874
2025-10-28,1669753778.1228375,1637795547.7324305,0.9808605132031293
2025-10-29,1675160541.2443697,1641578377.2824306,0.9799528683161358
2025-10-30,1671513835.6943696,1641255798.1324306,0.9818978240468053
2025-10-31,1666326130.8443696,1634738812.0324304,0.9810437355405732
2025-11-03,1665214701.1943696,1634624429.7324305,0.9816298334142749
2025-11-04,1669667322.9943697,1637611294.9824305,0.9808009490450768
2025-11-05,1672086398.6443696,1639874390.4324305,0.9807354403229075
2025-11-06,1670339103.4943695,1637107383.8324306,0.9801048065076021
2025-11-07,1664711126.6443696,1632409652.8824303,0.9805963489731394
2025-11-10,1664881901.5943696,1633720803.9324305,0.9812832984537234
2025-11-11,1665820669.8943696,1633877803.0324304,0.980824546459755
2025-11-12,1657906963.5443697,1628808781.6324306,0.9824488451090576
2025-11-13,1650809658.1943696,1622540051.8824306,0.9828753083848202
2025-11-14,1636370133.7943697,1610510343.9324305,0.9841968578331504
2025-11-17,1637515349.8943696,1611434880.6824305,0.9840731451991449
2025-11-18,1616865673.1943698,1593312089.0824304,0.9854325659190936
2025-11-19,1610538240.8943696,1586925624.3824306,0.9853386800062404
2025-11-20,1639578211.6383991,1614179985.7256699,0.9845092928581008
2025-11-21,1638206036.8883991,1609525780.42567,0.9824928880635769
2025-11-24,1655152684.838399,1627293115.67567,0.9831679763335858
2025-11-25,1634402860.738399,1607929796.9915128,0.9838026080455304
2025-11-26,1641630723.9383993,1611286089.659211,0.9815155541153682
2025-11-27,1635409320.2457688,1607566797.3611176,0.9829751961542771
2025-11-28,1633709618.8957686,1603501645.0849564,0.9815095819591061
2025-12-01,1625754036.7457685,1597456880.7724955,0.9825944421273499
2025-12-02,1646356651.3163667,1612206355.2400072,0.9792570485568518
2025-12-03,1643977300.3163667,1608936837.0400074,0.978685555287402
2025-12-04,1658703698.4163666,1621201761.040007,0.9773908158448287
2025-12-05,1667053147.9663668,1629576248.4900072,0.9775190733888254
2025-12-08,1667022072.3663666,1630569672.3400073,0.9781332229305072
2025-12-09,1666723883.8163667,1630896335.4900072,0.9785042089609206
2025-12-10,1665195090.3163667,1631354934.440007,0.9796779632169522
