股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
1519,華城,120,133,2,4039,4024,86867,2,2,,38,38,86867,2, 
1521,大億,,,,451,451,19057,,,,,,19057,, 
1522,堤維西,51,11,,3584,3624,78224,,,,1,1,78224,, 
1524,耿鼎,13,66,,3674,3621,41327,,,,3,3,41327,1, 
1525,江申,,,28,237,209,18350,,,,,,18350,, 
1526,日馳,31,6,,615,640,15000,,,,6,6,15000,, 
1527,鑽全,,18,25,492,449,34642,,,,,,34642,, 
1528,恩德,27,39,,5505,5493,47832,1,,,32,31,47832,, 
1529,樂事綠能,158,3,,2914,3069,38773,,30,,692,722,38773,, 
1530,亞崴,,4,,251,247,23648,,,,,,23648,, 
1531,高林股,7,,,1564,1571,45527,,,,9,9,45527,, 
1532,勤美,4,9,5,2789,2779,105651,,,,,,105651,, 
1533,車王電,1,1,,534,534,24636,,,,2,2,24636,, 
1535,中宇,1,1,,52,52,30935,,,,,,30935,, 
1536,和大,108,126,9,6373,6346,69739,,2,,128,130,69739,2, 
1537,廣隆,1,1,,59,59,20515,,,,,,20515,, 
1538,正峰,,,,,,,,,,,,,,OX 
1539,巨庭,,,1,1213,1212,16342,,,,,,16342,, 
1540,喬福,11,13,2,1425,1421,21368,,,,1,1,21368,1, 
1541,錩泰,1,,,109,110,19700,,,,,,19700,, 
1558,伸興,6,,,166,172,16133,,,,,,16133,, 
1560,中砂,81,52,7,1291,1313,37691,,6,10,30,26,37691,, 
1563,巧新,,,,4143,4143,56402,,,,,,56402,,!
1568,倉佑,4,5,,2020,2019,25771,,,,1,1,25771,, 
1582,信錦,16,18,,3690,3688,36067,1,,,3,2,36067,, 
1583,程泰,,,,70,70,27350,,,,,,27350,, 
1587,吉茂,,1,,1668,1667,20013,,,,,,20013,, 
1589,永冠-KY,,,11,639,628,,,,,,,,,OX!
1590,亞德客-KY,5,2,,126,129,49999,,,,,,49999,, 
1597,直得,697,544,1,3349,3501,22315,4,33,,17,46,22315,7, 
1598,岱宇,10,2,,2145,2153,44785,,,,,,44785,, 
1603,華電,4,8,,1975,1971,47922,,,,,,47922,, 
1604,聲寶,40,4,,193,229,96050,,,,,,96050,, 
1605,華新,679,1228,201,42678,41928,1107833,49,32,,1216,1199,1107833,25, 
1608,華榮,47,78,,7166,7135,158193,2,,,50,48,158193,1, 
1609,大亞,310,113,,12089,12286,196315,10,,,23,13,196315,, 
1611,中電,6,1,,3261,3266,80683,,,23,89,66,80683,, 
1612,宏泰,,8,,1826,1818,79020,,,,,,79020,, 
1614,三洋電,,,,300,300,67278,,,,,,67278,, 
1615,大山,,4,,120,116,49657,,,,,,49657,, 
1616,億泰,48,1,2,2608,2653,48537,3,,,3,,48537,, 
1617,榮星,70,82,,1727,1715,42378,,,,3,3,42378,, 
1618,合機,32,44,,3261,3249,48172,,,,,,48172,, 
1623,大東電,30,,,151,181,16500,,,,,,16500,, 
1626,艾美特-KY,,3,,1626,1623,37455,,,,,,37455,, 
1702,南僑,5,,,260,265,73533,,,,,,73533,, 
1707,葡萄王,17,15,1,343,344,37034,3,,,3,,37034,, 
1708,東鹼,396,453,,6854,6797,62250,1,,,54,53,62250,3, 
1709,和益,1393,2233,,31954,31114,119254,51,37,,91,77,119254,4, 
1710,東聯,244,519,4,11719,11440,221425,5,3,,103,101,221425,, 
1711,永光,191,585,,18120,17726,136938,42,7,,279,244,136938,1, 
1712,興農,23,1,,481,503,105123,,,,,,105123,, 
1713,國化,55,302,,3311,3064,37737,,,,,,37737,, 
1714,和桐,1563,2242,,22703,22024,247956,6,5,,135,134,247956,8, 
1717,長興,1105,1821,7,17214,16491,296061,161,35,3,792,663,296061,40, 
1718,中纖,819,719,,21955,22055,421476,3,2,1,132,130,421476,8, 
1720,生達,2,1,,289,290,49141,,,,,,49141,, 
1721,三晃,,,,125,125,,,,,,,,,OX 
1722,台肥,103,38,,2873,2938,245000,,,,,,245000,, 
1723,中碳,13,15,,739,737,59226,8,6,,9,7,59226,, 
1725,元禎,,1,,253,252,45457,,,,,,45457,, 
1726,永記,,,,24,24,40500,,,,,,40500,, 
1727,中華化,410,597,,6799,6612,32004,54,1,1,310,256,32004,4, 
1730,花仙子,,,,7,7,15808,,,,,,15808,, 
1731,美吾華,1,1,,279,279,33228,,,,,,33228,, 
1732,毛寶,14,1,,727,740,10610,,,,1,1,10610,, 
1733,五鼎,4,11,,2333,2326,24987,,,,6,6,24987,, 
1734,杏輝,1,1,,308,308,47549,,,,,,47549,, 
1735,日勝化,5,,,686,691,24847,,,,,,24847,, 
1736,喬山,25,7,2,1774,1790,75848,1,,,2,1,75848,, 
1737,臺鹽,,,,80,80,50000,,,,,,50000,, 
1752,南光,,,,307,307,25247,,,,,,25247,, 
1760,寶齡富錦,9,21,,1002,990,21434,,10,,,10,21434,, 
1762,中化生,5,2,,834,837,19229,,,,1,1,19229,1, 
1773,勝一,27,38,1,1262,1250,75000,,,,1,1,75000,, 
1776,展宇,,,,639,639,15026,,,,1,1,15026,, 
1783,和康生,2,,19,449,432,20249,,,,,,20249,, 
1786,科妍,87,107,1,4943,4922,18706,,20,,,20,18706,, 
1789,神隆,34,3,,3235,3266,197684,,,,3,3,197684,, 
1795,美時,79,84,,8497,8492,66718,,1,,10,11,66718,, 
1802,台玻,2339,2414,3,35840,35762,727015,212,493,,1585,1866,727015,54, 
1805,寶徠,,9,,1419,1410,33742,,,,,,33742,, 
1806,冠軍,1,20,,2557,2538,97600,,,,,,97600,, 
1808,潤隆,123,65,,4877,4935,223257,,,,4,4,223257,, 
1809,中釉,38,69,3,5466,5432,41760,13,3,,52,42,41760,1, 
1810,和成,368,184,4,20599,20779,75575,6,5,,40,39,75575,2, 
1817,凱撒衛,,,,24,24,18150,,,,,,18150,, 
1903,士紙,12,3,,2313,2322,65009,,,,,,65009,, 
1904,正隆,97,38,,4539,4598,277068,1,5,,31,35,277068,, 
1905,華紙,106,208,,12082,11980,275708,3,,,26,23,275708,, 
1906,寶隆,,6,,7082,7076,37750,,,,,,37750,, 
1907,永豐餘,3,19,,24011,23995,415092,,,,5,5,415092,, 
1909,榮成,325,308,,10691,10708,331921,,,,39,39,331921,, 
2002,中鋼,555,437,5,39417,39530,3933715,4,5,,92,93,3933715,, 
2006,東和鋼鐵,28,99,,1081,1010,182553,2,,,9,7,182553,, 
2007,燁興,,,,5,5,,,,,,,,,OX 
2008,高興昌,,,,93,93,47713,,,,,,47713,, 
2009,第一銅,77,267,,6310,6120,89905,4,,,47,43,89905,1, 
2010,春源,3,78,,1844,1769,161913,,,,1,1,161913,, 
2012,春雨,,,,209,209,75540,,,,,,75540,, 
2013,中鋼構,,,,1397,1397,50000,,,,,,50000,, 
2014,中鴻,,12,2,918,904,,,,,,,,,OX 
2015,豐興,,1,,31,30,145399,,,,,,145399,, 
2017,官田鋼,31,16,,8225,8240,111718,,,,,,111718,, 
2020,美亞,2,5,,654,651,66757,,,,,,66757,, 
2022,聚亨,,,2,2066,2064,,,,,,,,,OX 
2023,燁輝,8,39,,2727,2696,455310,,,,4,4,455310,, 
2024,志聯,,,,67,67,24375,,,,,,24375,, 
2025,千興,13,1,,433,445,43165,,,,,,43165,, 
2027,大成鋼,414,629,,24035,23820,646065,4,20,,395,411,646065,, 
2028,威致,,4,,1152,1148,81428,,,,,,81428,, 
2029,盛餘,,1,,783,782,80295,,,,,,80295,, 
2030,彰源,230,403,,4129,3956,70131,2,10,,114,122,70131,, 
2031,新光鋼,22,39,,2687,2670,80286,,,,8,8,80286,, 
2032,新鋼,30,88,12,2320,2250,32630,,,,,,32630,, 
2033,佳大,176,333,,3498,3341,20173,,6,,58,64,20173,1, 
2034,允強,27,94,,2982,2915,132248,,1,,84,85,132248,, 
2038,海光,9,5,,3558,3562,48533,,,,,,48533,, 
2049,上銀,146,160,7,3876,3855,88448,9,4,,73,68,88448,6, 
2059,川湖,35,11,,699,723,23824,,1,,7,8,23824,, 
2062,橋椿,5,8,,1288,1285,49998,1,,,2,1,49998,,X 
2069,運錩,14,10,,574,578,41596,,,,9,9,41596,, 
2101,南港,25,254,8,19562,19325,183483,,,,,,183483,, 
2102,泰豐,22,160,,3434,3296,118332,,,,142,142,118332,, 
2103,台橡,142,234,,14644,14552,206427,8,,,94,86,206427,30, 
2104,國際中橡,31,56,,19432,19407,246183,2,,,47,45,246183,, 
2105,正新,125,111,,9391,9405,810353,4,,,31,27,810353,, 
2106,建大,17,14,,3176,3179,238722,,,,,,238722,, 
2107,厚生,,2,,122,120,75898,,,,,,75898,, 
2108,南帝,39,91,,2242,2190,123104,,,,40,40,123104,, 
2109,華豐,,1,,685,684,69837,,,,,,69837,, 
2114,鑫永銓,,2,,22,20,19497,,,,,,19497,, 
2115,六暉-KY,,2,,473,471,26093,,,,3,3,26093,, 
2201,裕隆,302,277,9,10548,10564,267500,11,56,,104,149,267500,3, 
2204,中華,18,19,5,1259,1253,138405,,,,,,138405,, 
2206,三陽工業,6,4,,3149,3151,193418,,,,1,1,193418,, 
2207,和泰車,1,3,,60,58,139275,,,,,,139275,, 
2208,台船,,,,,,,,,,,,,,OX 
2211,長榮鋼,1,7,,576,570,104272,,,,,,104272,, 
2228,劍麟,,1,,1508,1507,19944,,,,,,19944,, 
2231,為升,4,17,,2644,2631,33982,,,,146,146,33982,, 
2233,宇隆,15,33,,3499,3481,15072,3,9,,63,69,15072,, 
2236,百達-KY,71,23,,11489,11537,15782,,,,3,3,15782,, 
2239,英利-KY,7,,,1596,1603,29428,,,,,,29428,, 
2241,艾姆勒,33,14,,7858,7877,26150,,,,17,17,26150,, 
2243,宏旭-KY,18,11,,1417,1424,17343,,,,7,7,17343,1, 
2247,汎德永業,,,,106,106,20177,,,,1,1,20177,, 
2248,華勝-KY,2,2,,599,599,11900,,,,,,11900,, 
2250,IKKA-KY,3,8,1,1088,1082,9097,,,,,,9097,, 
2254,巨鎧精密-創,156,35,,3220,3341,15976,,,,,,15976,, 
2301,光寶科,2093,2657,14,19132,18554,579026,154,26,,450,322,579026,28, 
2302,麗正,96,267,,4521,4350,41575,16,6,,152,142,41575,9, 
2303,聯電,5476,19816,31,181692,167321,3142523,190,146,,4059,4015,3142523,118, 
2305,全友,459,389,1,6750,6819,51415,1,5,,66,70,51415,12, 
2308,台達電,388,461,2,9365,9290,649385,9,10,,39,40,649385,15, 
2312,金寶,807,885,,43073,42995,376492,79,4,1,424,348,376492,3, 
2313,華通,1521,3834,70,36556,34173,308455,233,75,,1406,1248,308455,17, 
2314,台揚,,,,,,,,,,,,,,OX 
2316,楠梓電,158,162,2,3820,3814,45685,9,20,,38,49,45685,, 
2317,鴻海,890,696,287,54120,54027,3518936,18,8,,473,463,3518936,5, 
2321,東訊,,,,,,,,,,,,,,OX 
2323,中環,544,600,,30281,30225,272337,1,3,,15,17,272337,, 
2324,仁寶,2335,3543,120,55703,54375,1101786,39,35,,1088,1084,1101786,18, 
2327,國巨*,1299,2366,12,43199,42120,514682,77,315,,358,596,514682,18, 
2328,廣宇,136,136,,15876,15876,129586,3,,,123,120,129586,, 
2329,華泰,95,115,2,13756,13734,164737,18,11,,289,282,164737,, 
2330,台積電,361,358,20,28476,28459,6483092,,1,,25,26,6483092,1, 
2331,精英,207,179,,9966,9994,139350,2,46,,94,138,139350,, 
2332,友訊,841,991,10,27986,27826,150542,15,76,,252,313,150542,2, 
