date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2024-06-18,TX,202406/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202406/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202407/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202407/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202409/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202412/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202406,22726.0,22812.0,22666.0,22786.0,309.0,1.37,98310,22786.0,29985,position
2024-06-18,TX,202407,22592.0,22682.0,22545.0,22668.0,322.0,1.44,33108,22672.0,58250,position
2024-06-18,TX,202408,22523.0,22629.0,22500.0,22616.0,322.0,1.44,155,22614.0,473,position
2024-06-18,TX,202409,22519.0,22602.0,22480.0,22586.0,319.0,1.43,75,22586.0,1953,position
2024-06-18,TX,202412,22570.0,22594.0,22480.0,22583.0,312.0,1.4,20,22583.0,386,position
2024-06-18,TX,202503,22530.0,22604.0,22492.0,22604.0,329.0,1.48,45,22604.0,306,position
2024-06-18,TX,202406/202407,-137.0,-113.0,-138.0,-113.0,0.0,0.0,12955,0.0,0,position
2024-06-18,TX,202406/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-18,TX,202406/202409,-205.0,-205.0,-206.0,-206.0,0.0,0.0,3,0.0,0,position
2024-06-18,TX,202406/202412,-206.0,-206.0,-206.0,-206.0,0.0,0.0,2,0.0,0,position
2024-06-18,TX,202406/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-18,TX,202407/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-18,TX,202407/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-18,TX,202407/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-18,TX,202408/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-18,TX,202412/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202406,22785.0,23008.0,22774.0,22947.0,161.0,0.71,57576,0.0,0,after_market
