code,fiscal_year,announcement_date,announcement_time,cash_ex_date,cash_payment_date,cash_dividend,source,board_date_quality
4904,100年,2012-07-04,10:07:05,2012-07-24,,2.469,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,101年,2013-07-01,16:39:36,2013-07-24,,2.928,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,102年,2014-06-25,11:46:28,2014-07-16,,3.164,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,103年,2015-06-22,10:05:22,2015-07-15,2015-08-07,3.167,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,104年,2016-06-16,15:27:14,2016-07-12,2016-08-05,3.174,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,105年,2017-06-23,18:20:21,2017-07-12,2017-08-04,3.129,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,106年,2018-06-19,14:44:01,2018-07-11,2018-08-03,3.037,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,107年,2019-06-18,14:56:32,2019-07-16,2019-08-07,3.75,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,108年,2020-06-19,15:49:43,2020-07-14,2020-08-07,3.209,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,109年,2021-07-06,16:19:34,2021-07-23,2021-08-19,2.234,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
