date,option_id,contract_date,strike_price,call_put,open,max,min,close,volume,settlement_price,open_interest,trading_session
2020-01-02,TXO,202002,11600.0,call,565.0,565.0,565.0,565.0,1,565.0,33,position
2020-01-02,TXO,202002,11600.0,put,92.0,96.0,73.0,76.0,1273,76.0,1965,position
2020-01-02,TXO,202002,11600.0,put,112.0,114.0,105.0,108.0,23,0.0,0,after_market
2020-01-02,TXO,202002,11700.0,call,489.0,489.0,486.0,486.0,2,486.0,44,position
2020-01-02,TXO,202002,11700.0,put,112.0,119.0,93.0,97.0,613,97.0,1779,position
2020-01-02,TXO,202002,11700.0,put,137.0,142.0,126.0,130.0,32,0.0,0,after_market
2020-01-02,TXO,202002,11800.0,call,389.0,419.0,362.0,419.0,10,413.0,101,position
2020-01-02,TXO,202002,11800.0,call,330.0,357.0,330.0,357.0,2,0.0,0,after_market
2020-01-02,TXO,202002,11800.0,put,145.0,147.0,116.0,122.0,607,122.0,1657,position
2020-01-02,TXO,202002,11800.0,put,171.0,173.0,165.0,165.0,17,0.0,0,after_market
2020-01-02,TXO,202002,11900.0,call,324.0,353.0,324.0,348.0,13,348.0,401,position
2020-01-02,TXO,202002,11900.0,call,281.0,293.0,276.0,293.0,3,0.0,0,after_market
2020-01-02,TXO,202002,11900.0,put,175.0,185.0,147.0,153.0,172,153.0,611,position
2020-01-02,TXO,202002,11900.0,put,211.0,213.0,196.0,196.0,18,0.0,0,after_market
2020-01-02,TXO,202002,12000.0,call,254.0,285.0,241.0,282.0,236,282.0,558,position
2020-01-02,TXO,202002,12000.0,call,222.0,234.0,222.0,223.0,7,0.0,0,after_market
2020-01-02,TXO,202002,12000.0,put,212.0,216.0,182.0,189.0,324,189.0,554,position
2020-01-02,TXO,202002,12000.0,put,249.0,254.0,241.0,241.0,13,0.0,0,after_market
2020-01-02,TXO,202002,12100.0,call,198.0,233.0,190.0,223.0,74,223.0,714,position
2020-01-02,TXO,202002,12100.0,call,173.0,187.0,173.0,187.0,18,0.0,0,after_market
2020-01-02,TXO,202002,12100.0,put,268.0,268.0,223.0,235.0,56,235.0,198,position
2020-01-02,TXO,202002,12100.0,put,302.0,309.0,292.0,292.0,11,0.0,0,after_market
2020-01-02,TXO,202002,12200.0,call,163.0,184.0,149.0,177.0,96,177.0,787,position
2020-01-02,TXO,202002,12200.0,call,135.0,146.0,131.0,137.0,11,0.0,0,after_market
2020-01-02,TXO,202002,12200.0,put,318.0,318.0,277.0,281.0,21,281.0,69,position
2020-01-02,TXO,202002,12200.0,put,365.0,365.0,354.0,354.0,16,0.0,0,after_market
2020-01-02,TXO,202002,12300.0,call,123.0,141.0,112.0,135.0,134,135.0,1817,position
2020-01-02,TXO,202002,12300.0,call,107.0,111.0,99.0,110.0,114,0.0,0,after_market
2020-01-02,TXO,202002,12300.0,put,397.0,397.0,344.0,345.0,6,345.0,22,position
2020-01-02,TXO,202002,12400.0,call,91.0,106.0,82.0,100.0,392,100.0,2032,position
2020-01-02,TXO,202002,12400.0,call,76.0,83.0,72.0,83.0,129,0.0,0,after_market
2020-01-02,TXO,202002,12400.0,put,427.0,427.0,404.0,404.0,6,404.0,21,position
2020-01-02,TXO,202002,12500.0,call,68.0,77.0,60.0,73.0,466,73.0,1484,position
2020-01-02,TXO,202002,12500.0,call,53.0,60.0,53.0,57.0,87,0.0,0,after_market
2020-01-02,TXO,202002,12500.0,put,520.0,520.0,520.0,520.0,1,482.0,11,position
2020-01-02,TXO,202002,12500.0,put,580.0,580.0,580.0,580.0,1,0.0,0,after_market
2020-01-02,TXO,202002,12600.0,call,45.0,55.0,42.0,52.0,143,52.0,978,position
2020-01-02,TXO,202002,12600.0,call,35.5,40.0,34.5,40.0,46,0.0,0,after_market
2020-01-02,TXO,202002,12600.0,put,560.0,560.0,560.0,560.0,1,560.0,11,position
2020-01-02,TXO,202002,12700.0,call,27.0,38.0,27.0,35.0,140,35.0,508,position
2020-01-02,TXO,202002,12700.0,call,24.0,25.5,22.0,25.5,27,0.0,0,after_market
2020-01-02,TXO,202002,12800.0,call,21.5,25.0,19.0,22.0,47,22.0,593,position
2020-01-02,TXO,202002,12800.0,call,18.0,18.0,13.5,18.0,11,0.0,0,after_market
2020-01-02,TXO,202002,12900.0,call,14.0,16.5,14.0,14.0,98,14.0,1534,position
2020-01-02,TXO,202002,12900.0,call,9.0,9.0,9.0,9.0,1,0.0,0,after_market
2020-01-02,TXO,202002,13000.0,call,9.3,10.5,8.4,10.5,110,10.5,501,position
2020-01-02,TXO,202002,13000.0,call,8.0,8.5,8.0,8.5,17,0.0,0,after_market
2020-01-02,TXO,202002,13100.0,call,6.1,6.7,5.6,6.7,53,6.0,221,position
2020-01-02,TXO,202002,13100.0,call,3.6,5.0,3.6,5.0,2,0.0,0,after_market
2020-01-02,TXO,202002,13200.0,call,4.5,4.6,4.5,4.6,7,4.6,108,position
2020-01-02,TXO,202002,13300.0,call,3.1,3.2,3.1,3.2,21,3.2,24,position
