date,is_session,is_settlement,kind,name,source,notes
2025-09-26,1,1,SESSION,,weekday_default,
2025-09-27,0,0,WEEKEND,,weekend,
2025-09-28,0,0,WEEKEND,,weekend,
2025-09-29,0,0,CLOSED_HOLIDAY,孔子誕辰/教師節補假,pinned_2025_ops,prior-year pin for Y-1 window
2025-09-30,1,1,SESSION,,weekday_default,
2025-10-01,1,1,SESSION,,weekday_default,
2025-10-02,1,1,SESSION,,weekday_default,
2025-10-03,1,1,SESSION,,weekday_default,
2025-10-04,0,0,WEEKEND,,weekend,
2025-10-05,0,0,WEEKEND,,weekend,
2025-10-06,0,0,CLOSED_HOLIDAY,中秋節,pinned_2025_ops,prior-year pin for Y-1 window
2025-10-07,1,1,SESSION,,weekday_default,
2025-10-08,1,1,SESSION,,weekday_default,
2025-10-09,1,1,SESSION,,weekday_default,
2025-10-10,0,0,CLOSED_HOLIDAY,國慶日,pinned_2025_ops,prior-year pin for Y-1 window
2025-10-11,0,0,WEEKEND,,weekend,
2025-10-12,0,0,WEEKEND,,weekend,
2025-10-13,1,1,SESSION,,weekday_default,
2025-10-14,1,1,SESSION,,weekday_default,
2025-10-15,1,1,SESSION,,weekday_default,
2025-10-16,1,1,SESSION,,weekday_default,
2025-10-17,1,1,SESSION,,weekday_default,
2025-10-18,0,0,WEEKEND,,weekend,
2025-10-19,0,0,WEEKEND,,weekend,
2025-10-20,1,1,SESSION,,weekday_default,
2025-10-21,1,1,SESSION,,weekday_default,
2025-10-22,1,1,SESSION,,weekday_default,
2025-10-23,1,1,SESSION,,weekday_default,
2025-10-24,0,0,CLOSED_HOLIDAY,臺灣光復節補假/連假,pinned_2025_ops,prior-year pin for Y-1 window
2025-10-25,0,0,WEEKEND,,weekend,
2025-10-26,0,0,WEEKEND,,weekend,
2025-10-27,1,1,SESSION,,weekday_default,
2025-10-28,1,1,SESSION,,weekday_default,
2025-10-29,1,1,SESSION,,weekday_default,
2025-10-30,1,1,SESSION,,weekday_default,
2025-10-31,1,1,SESSION,,weekday_default,
2025-11-01,0,0,WEEKEND,,weekend,
2025-11-02,0,0,WEEKEND,,weekend,
2025-11-03,1,1,SESSION,,weekday_default,
2025-11-04,1,1,SESSION,,weekday_default,
2025-11-05,1,1,SESSION,,weekday_default,
2025-11-06,1,1,SESSION,,weekday_default,
2025-11-07,1,1,SESSION,,weekday_default,
2025-11-08,0,0,WEEKEND,,weekend,
2025-11-09,0,0,WEEKEND,,weekend,
2025-11-10,1,1,SESSION,,weekday_default,
2025-11-11,1,1,SESSION,,weekday_default,
2025-11-12,1,1,SESSION,,weekday_default,
2025-11-13,1,1,SESSION,,weekday_default,
2025-11-14,1,1,SESSION,,weekday_default,
2025-11-15,0,0,WEEKEND,,weekend,
2025-11-16,0,0,WEEKEND,,weekend,
2025-11-17,1,1,SESSION,,weekday_default,
2025-11-18,1,1,SESSION,,weekday_default,
2025-11-19,1,1,SESSION,,weekday_default,
2025-11-20,1,1,SESSION,,weekday_default,
2025-11-21,1,1,SESSION,,weekday_default,
2025-11-22,0,0,WEEKEND,,weekend,
2025-11-23,0,0,WEEKEND,,weekend,
2025-11-24,1,1,SESSION,,weekday_default,
2025-11-25,1,1,SESSION,,weekday_default,
2025-11-26,1,1,SESSION,,weekday_default,
2025-11-27,1,1,SESSION,,weekday_default,
2025-11-28,1,1,SESSION,,weekday_default,
