as_of_date,stock_id,name,industry,source,pit_note
2023-12-25,6575,心悅,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6614,資拓宏宇,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6623,施吉生技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6647,合迪,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6659,天明,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6660,厚美德,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6717,智慧光,其他電子業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6726,鑫亞電通,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6746,全科綜電,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6772,錫安生技,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6778,安麗莎醫療器材,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6779,鋐昇,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6795,洹藝,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6822,台創材,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6837,富利康科技,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6845,仲信資融,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6849,奇鼎科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6851,立視科,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6852,精能醫學,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6866,中大生醫,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6871,新鑫,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6876,朗齊生醫,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6883,微電能源,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6897,極上教育,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6905,榮福,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6921,嘉雨思,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6930,盛新,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6934,心誠鎂,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6938,藍新資,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6942,威達高,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6943,明緯企業,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6954,全盈支付,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6960,南山產物,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6972,博瑞達應材,橡膠工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6978,愛盛科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6979,勝釩,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6985,台新人壽,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6991,精準健康,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6992,萬勝發科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6993,凱納,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6995,野獸國,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6997,博弘,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6998,友上科,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6999,瀚醫生技,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7452,乂迪生,文化創意業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7570,紫金堂,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7642,昶瑞機電,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7709,榮田,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7710,東擎科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7711,永擎,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7713,威力德生醫,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7714,創泓科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7715,裕山,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7716,昱臺國際,航運業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7718,友鋮,鋼鐵工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7720,火星控,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7722,LINEPAY,其他業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7726,暄達,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7728,光焱科,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7729,仲恩生醫,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7730,暉盛,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7731,火星生技,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,7732,金興精密,汽車工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
