as_of_date,stock_id,name,market,security_type,industry,industry_norm,listing_date,source,pit_note
2026-09-04,6706,惠特,上市,股票,光電業,光電業,2019/12/19,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6715,嘉基,上市,股票,電子零組件業,電子零組件業,2019/12/12,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6719,力智,上市,股票,半導體業,半導體業,2022/01/13,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6722,輝創,上市,股票,其他電子業,其他電子業,2026/01/16,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6742,澤米,上市,股票,光電業,光電業,2023/12/05,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6743,安普新,上市,股票,其他電子業,其他電子業,2020/12/14,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6753,龍德造船,上市,股票,航運業,航運業,2023/03/10,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6754,匯僑設計,上市,股票,居家生活,居家生活,2020/08/25,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6756,威鋒電子,上市,股票,半導體業,半導體業,2020/12/24,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6757,台灣虎航,上市,股票,航運業,航運業,2024/11/29,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6768,志強-KY,上市,股票,運動休閒,運動休閒,2021/04/22,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6770,力積電,上市,股票,半導體業,半導體業,2021/12/06,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6776,展碁國際,上市,股票,電子通路業,電子通路業,2021/03/31,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6781,AES-KY,上市,股票,電子零組件業,電子零組件業,2021/03/22,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6782,視陽,上市,股票,生技醫療業,生技醫療業,2022/11/28,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6789,采鈺,上市,股票,半導體業,半導體業,2022/06/30,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6790,永豐實,上市,股票,造紙工業,造紙工業,2021/09/29,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6792,詠業,上市,股票,通信網路業,通信網路業,2021/12/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6794,向榮生技,上市,股票,生技醫療業,生技醫療業,2025/10/16,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6796,晉弘,上市,股票,生技醫療業,生技醫療業,2022/06/01,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6799,來頡,上市,股票,半導體業,半導體業,2022/05/12,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6805,富世達,上市,股票,電子零組件業,電子零組件業,2023/11/09,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6807,峰源-KY,上市,股票,居家生活,居家生活,2022/04/25,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6830,汎銓,上市,股票,其他電子業,其他電子業,2022/08/31,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6831,邁科,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2025/11/25,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6834,天二科技,上市,股票,電子零組件業,電子零組件業,2022/09/01,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6835,圓裕,上市,股票,電子零組件業,電子零組件業,2022/11/10,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6838,台新藥,上市,股票,生技醫療業,生技醫療業,2024/08/13,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6861,睿生光電,上市,股票,生技醫療業,生技醫療業,2023/03/27,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6862,三集瑞-KY,上市,股票,電子零組件業,電子零組件業,2024/10/23,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6863,永道-KY,上市,股票,通信網路業,通信網路業,2023/03/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6869,雲豹能源,上市,股票,綠能環保,綠能環保,2024/06/19,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6873,泓德能源,上市,股票,綠能環保,綠能環保,2024/09/26,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6885,全福生技,上市,股票,生技醫療業,生技醫療業,2024/12/16,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6887,寶綠特-KY,上市,股票,綠能環保,綠能環保,2025/03/10,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6890,來億-KY,上市,股票,運動休閒,運動休閒,2024/06/12,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6901,鑽石投資,上市,股票,其他業,其他,2023/09/19,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6902,GOGOLOOK,上市,股票,數位雲端,數位雲端,2025/05/16,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6906,現觀科,上市,股票,數位雲端,數位雲端,2024/01/15,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6909,創控,上市,股票,半導體業,半導體業,2025/05/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6914,阜爾運通,上市,股票,其他業,其他,2024/05/03,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6916,華凌,上市,股票,光電業,光電業,2023/12/05,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6918,愛派司,上市,股票,生技醫療業,生技醫療業,2025/06/10,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6919,康霈*,上市,股票,生技醫療業,生技醫療業,2024/10/02,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
