date,nav_base,nav_l4,rel_l4_vs_base
2023-11-17,40204928.00966431,39562128.65489282,0.984011926234093
2023-11-20,40243749.19761012,39610821.86141468,0.9842726547895039
2023-11-21,40675644.45692876,40004061.5700011,0.9834893117025154
2023-11-22,40577015.892498374,39898972.751553334,0.9832899702939862
2023-11-23,40564893.303801216,39908154.35185997,0.9838101644438517
2023-11-24,40641673.57075989,40030635.652306,0.9849652372855651
2023-11-27,40598123.49366157,39984238.43034665,0.9848789793594583
2023-11-28,40895985.62912429,40308606.46993243,0.9856372416471715
2023-11-29,40767945.370083384,40226274.3747684,0.9867133113921293
2023-11-30,41024796.25397765,40481688.547416314,0.9867614770540469
2023-12-01,40593947.19295301,40087256.20549095,0.9875180655615075
2023-12-04,40638411.58889669,40083586.44130823,0.9863472727920288
2023-12-05,40722273.59393651,40188946.21728517,0.9869033005875499
2023-12-06,41010778.662858374,40452874.25385857,0.9863961517632661
2023-12-07,40686620.989362635,40156266.23786123,0.9869648857878843
2023-12-08,40850892.05802942,40310694.28333293,0.9867763530370615
2023-12-11,40861276.22596326,40384497.99699067,0.9883317832185173
2023-12-12,40950702.42885728,40427061.93467148,0.9872129056859156
2023-12-13,40851179.38618176,40372629.68622734,0.9882855352735228
2023-12-14,41243675.30238508,40722933.94141242,0.9873740311173834
2023-12-15,41024520.498522855,40497373.75950811,0.9871504472786288
2023-12-18,41071467.46705924,40600297.92410685,0.9885280567749306
2023-12-19,40911853.47632985,40405678.02525201,0.9876276578040959
2023-12-20,40545379.768565714,40026558.740097165,0.9872039420661491
2023-12-21,40337068.32883823,39862985.79036739,0.9882469758435095
2023-12-22,40390164.404728375,39919997.872080535,0.9883593805675919
2023-12-25,40571103.931460224,40058497.340231776,0.9873652293983809
2023-12-26,40895179.48692295,40432475.37981755,0.9886856076214715
2023-12-27,41073416.87633033,40594509.640888564,0.9883402143804172
2023-12-28,41285015.424810655,40810189.98786721,0.9884988431745118
2023-12-29,41219546.57056667,40737123.87248521,0.9882962638306668
2024-01-02,41237312.13155781,40741465.76806478,0.9879757836322808
2024-01-03,40632795.55991616,40149329.159696296,0.9881015718077543
2024-01-04,40613536.08837974,40112779.28350204,0.9876701993200495
2024-01-05,40701182.89705418,40193103.227510475,0.9875168328441757
2024-01-08,41014588.98860734,40478187.123975374,0.9869216813368297
2024-01-09,40755361.127963446,40170246.03109082,0.9856432361122875
2024-01-10,40701556.56818195,40131717.72032748,0.9859995809521463
2024-01-11,40874156.25321411,40344245.61251907,0.9870355576904815
2024-01-12,40718271.032238275,40183867.4845102,0.9868755835112702
2024-01-15,40568513.05727215,40029870.35887002,0.9867226413341375
2024-01-16,39984871.34690844,39406036.2436047,0.9855236472244271
2024-01-17,39264024.36362124,38761331.52910386,0.9871971138296477
2024-01-18,39443614.62266216,38893163.62426789,0.9860446106762739
2024-01-19,39771130.33784994,39225513.87691515,0.9862810924331329
2024-01-22,39897711.53326387,39335427.70258442,0.9859068651040135
2024-01-23,39978600.26097921,39467009.72700551,0.9872033905480919
2024-01-24,40046534.7284837,39546131.94597528,0.9875044673427761
2024-01-25,40108010.54558967,39610278.00829448,0.9875901963093026
2024-01-26,40447847.302003846,39927132.06893087,0.9871262559615336
2024-01-29,40604116.29840127,40101435.90639437,0.987619964726909
2024-01-30,40235345.09931157,39736999.597313836,0.9876142356734438
